book|书
bl|法学士（Bachelor of Law）；架桥装置（Bridge-Layer）；提货单（bill of lading）
backing|后退, 衬背, 后援, 支持者
blake|布莱克（英国作家）
bg|[计] 后台
bryant|布赖恩特（男子名, 等于Brian）
budgets|预算（budget复数形式）
barbie|芭比（女子名）；芭比娃娃（商标名）
bool|[计] 布尔, 逻辑的
bbs|[计] 电子公告牌系统
budapest|布达佩斯(匈牙利首都)
blennorrhea|脓性卡他, 脓性粘液溢, 淋病
backrun|反转; 逆向
balistes|鳞属
boccaro|宜兴陶瓷
bichir|多鳍鱼
befalls|降临到（某人）头上, 发生( befall的第三人称单数 )
bilbo|好剑, 带枷的铁镣
blatherskite|爱说废话的人
burglaries|夜盗( burglary的名词复数 ); 夜盗行为; 入户行窃; 入户盗窃罪
bismarck|俾斯麦(Otto von, 1815-1898, 德国政治家, 德意志帝国第一任首相)
bottomland|洼地
boulle|镶嵌细工
bandsman|管乐队队员
bornane|(=camphane)莰烷
breccias|(breccia 的复数) n. 角砾岩
brumous|多雾的, 冬天的
bicameralism|[法]两院制
blobbing|弄脏（blob的现在分词形式）
backfilled|回填（挖掘的洞穴）( backfill的过去式和过去分词 )
boomers|baby boomer generation 从小就赶往新兴地区安家的一代人
balsamy|balsam的变形
bangiaceae|头发菜科；红毛菜科
bondmaids|(bondmaid 的复数) n. 女奴隶
brahms|布拉姆斯（姓氏）
barbeque|(=barbecue)烤肉野餐, 烤肉架
bieberite|[矿]赤矾, 钴矾
biophagous|寄生的, 食生物的
burier|埋葬者
blizzardly|blizzard的变形
bumbles|犯错误( bumble的第三人称单数 ); 杂乱无章地说; 发出嗡嗡声; 笨拙地进行
burman|缅甸人[语]
bcf|[医][=bacterial chemotactic factor]细菌趋化性因子
bienvenue|[法](=welcome)受欢迎的(人)
borrowers|借用人, 剽窃者( borrower的复数形式 )
biodegrade|生物递降分解
bouses|（用索具等）拉, 升起（bouse的第三人称单数形式）
ballgames|（美）棒球运动
broiling|灼热的, 酷热的, 似烧的
bogeymen|(bogeyman 的复数) n.可怕(或可憎)的人或物,妖怪,精灵
baptise|给...施洗礼, 命名, 使纯化, 洗炼
belfried|有钟楼的
baresark|不披挂甲胄地
bacteriostat|[微]抑菌剂
bonniness|bonny的变形
bearish|如熊的, 粗暴的
bixin|胭脂树橙
bootees|毛线鞋, 女人的短靴( bootee的复数形式 )
broadhead|[人名] [英格兰人姓氏] 布罗德黑德绰号, 宽额或大头者, 来源于中世纪英语, 含义是“宽阔的+头”(broad+head)
balloted|（使）投票表决( ballot的过去式和过去分词 )
bradypus|[医]三趾树懒属
bookcraft|文学技巧, 著书工作
brides|新娘（杂志名）
broached|谈起( broach的过去式和过去分词 ); 打开并开始用; 用凿子扩大（或修光）; （在桶上）钻孔取液体
blotter|吸墨纸, 记事簿
bisulfide|[化]二硫化物
battering|[机] 打碎, 捶薄, 混合
bifoil|[建]双叶, 双拱
bedrail|床侧板, 床栏杆
barred|上了闩的, 划出线条的, 受阻的, 被禁止的
biharmonic|[计] 重调和的
baja|巴哈（人名）；包姚（匈牙利城市）
behests|<文>命令, 吩咐, 请求( behest的复数形式 )
bathochrome|[化]向红团(指能使一个化合物的吸收光谱向光谱带的红端移动的基团)
basest|base的变形
bismutite|泡铋矿
behenate|山嵛酸盐[酯]
bunglingly|bungling的变形
biographize|为...作传记
bistorta|拳参
bikinied|穿比基尼泳装的
blackies|(blacky 的复数) n.黑人,黑色鸟,黑色动物
burgeons|发芽, 抽枝( burgeon的第三人称单数 ); 迅速发展; 发（芽）, 抽（枝）
baptizing|给…施洗礼( baptize的现在分词 ); （施洗时）授…以教名; 给…精神上的洗礼; 使经受考验
bdrm|bedroom 卧室, 寝室
bails|（法庭命令缴付的）保释金( bail的名词复数 ); 三柱门上的横木
biliverdin|[生化]胆绿素
biparentally|biparental的变形
bilsted|[植]北美枫香树,胶皮糖香树
batt|棉絮
bromellite|铍石
belches|嗳气( belch的名词复数 ); 喷吐; 喷出物
baldheaded|秃头的
bogland|沼泽地；[贬义]爱尔兰的别名
brewmaster|酿酒专家
becloud|使变暗, 遮蔽
broomweed|[医]多年生小头古蒂里齐亚
bronchium|[解]支气管,小支气管
blacklight|trap 利用不可见光的昆虫诱捕器,黑光诱虫灯
bacalao|[动] 鲈科鱼类(西印度产)
banderillas|(banderilla 的复数) n.斗牛用的带有倒钩的短标枪
bellpulls|铃扣
basely|下贱地, 卑鄙地
blastemata|[医] 胚基, 芽基
buckland|(Buckland)人名；(英)巴克兰
bufotoxin|蟾毒素
baraka|天地玄黄（电影名）；巴拉卡（男子名）
betweenmaid|打杂女佣
backhauling|(为了避免空车返回而)回程载货，归途运货，回程运输的货物
bumpkins|土包子, 乡下佬( bumpkin的复数形式 )
blackstrap|[机] 赤糖糊
bushiness|繁茂
beaumontia|[网络] 清明花属；炮弹果
burgundy|勃艮第(法国一地区), 勃艮第葡萄酒
banal|平凡的, 陈腐的
bowstrings|(bowstring 的复数) n. 弓弦, 绞索
boules|法国式滚球游戏（等于boule）
backstairs|后面楼梯, 密谋(手段)
bimaculate|具二斑的
bloedite|[化] 白钠镁矾
balletomane|芭蕾舞迷
blobs|一滴, 一团( blob的名词复数 ); （板球）零分
benedictive|赐福的, 祈求式的
ballium|[法] 堡垒, 要塞
baddeleyite|[矿]斜锆石
beefing|牛肉；肌肉；食用牛；牢骚
bickered|闪动；斗嘴；潺潺而流
blastula|囊胚
bractea|[医]苞, 苞片; 苞叶
buxomly|buxom的变形
blackdamp|窒息性空气
bowdlerise|删除（书刊、剧本等中）有伤风化的词语或场面
bugaboos|(bugaboo 的复数) n. 吓唬人的东西, 令人头痛的事, 无端的恐惧, 鬼怪
bream|欧鳊属淡水鱼, 鲷科海鱼
balefulness|灾难, 有害
banak|巴内克木
brushy|如毛刷的, 毛茸茸的, 矮林多的
bastide|中世纪专为防御而建的法国的乡村(城镇)
boult|筛子
biperforate|[医] 二[穿]孔的
bloodsuckers|吸血生物, 水蛭, 剥削者( bloodsucker的复数形式 )
bencher|坐凳子的人, 律师协会的主管委员, 划手
borosilicate|[机] 硼硅酸盐
bananalander|<澳口>香蕉乡人( 指澳大利亚东北部昆士兰州人)
buccaneerish|海盗似的
backers|支持者, 赞助者( backer的复数形式 )
burgundian|(法国)勃艮第(人)的
buttresses|扶壁, 扶垛( buttress的名词复数 )
beholder|观看者
belga|贝尔加(比利时的旧时货币单位)
bereavements|亲人丧亡, 丧失亲人, 丧亲之痛( bereavement的复数形式 )
beauish|花花公子的, 轻浮的
bor|掉电复位, 欠压复位（Brown-out Reset）；资源清单（Bill Of Resource）
bobsledding|乘大雪橇, 滑大雪橇运动(或比赛)
befrogged|饰有盘花钮扣的
blows|吹；管乐器声；疾风（blow的复数）
babbitt|巴比特式人物
biocenotic|[医] 生物群落的
biochron|生物年代, 较短时期的化石, 生物时
burritos|(burrito 的复数) n.墨西哥玉米煎饼
burgers|汉堡包( burger的复数形式 ); （汉堡牛肉式的）鱼松饼; 菜末饼; 果仁饼
bodysurfer|人体冲浪, 作徒手冲浪, (不使用冲浪板)以胸腹冲浪, (不用冲浪板而将胸腹贴于水面滑行)作卧式冲浪
baruria|[医] 高比重尿
biopotential|[生理]生物电势
beaconed|灯塔, 信号浮标；烽火；指路明灯
bulimy|[医]食欲过盛
brasses|铜管乐器（brass的复数形式）
blotters|吸墨纸( blotter的复数形式 ); 临时记录簿, 记事本
bailers|水斗；舀船舱水的人
biotics|[医] 生命学
bagrationite|[地质]褐帘石
bisiliac|[医] 二髂嵴的(两髂嵴相距最远点)
bounciest|有弹性的；快活的；精神饱满的；自大的 (bouncy的变形)
bight|海湾, 绳圈
bloodwort|[植]仙茅科植物, 血红酸模, 地榆, 美洲血根草
besmeared|涂抹( besmear的过去式和过去分词 ); 弄脏; 败坏; 玷污
betokened|预示, 表示( betoken的过去式和过去分词 )
brontides|(轻微地震引起的)短暂的震声, 潮鸣[吼]
brainy|脑筋好的, 聪明的
bersagliere|狙击兵
botching|修补( botch的现在分词 ); 搞坏, 搞砸, 笨拙地做
bryonia|[化] 欧薯蓣
basked|晒太阳, 取暖( bask的过去式和过去分词 ); 对…感到乐趣; 因他人的功绩而出名; 仰仗…的余泽
bioptic|[医] 活组织检查的
bibulous|饮酒的, 嗜酒的, 吸水的
battel|(牛津大学)膳宿费(帐),膳宿及学杂费(帐)
blockhouses|(blockhouse 的复数) n. 碉堡
blabbering|多嘴的人；泄密者；胡言乱语
bandolero|剪径强盗
bournless|bourn(e)的变形
biosterol|(=vitamin A)维生素A
borrowed|借来的, 伪造的, 虚构的
backcloth|背景
backwall|[电] 背墙
buqsha|布格席(阿拉伯也门共和国旧货币单位,40 布格席=1 riyal)
biotherapy|生物制剂疗法
buffaloed|水牛
brassicaceae|十字花科
bifronted|双面的, 双锋的
barytine|重晶石
bookland|[英史](经君主特准)授予私人的公地
bookful|足够成一本书的量, 大量
brucine|[化]番木鳖碱,二甲马钱子碱
barbaric|野蛮的, 粗野的
beniseed|芝麻(指籽)
bannerman|旗手, <美>海军少校
beetleheaded|笨的
bds|用硬纸板作封面（bound in boards）
baldest|秃头的( bald的最高级 ); 明显的; 简单的; 赤裸裸的
bovids|(bovid 的复数) adj.牛科的
boryl|硼(烷)基
biddability|顺从, 驯良
bootjack|V字形脱靴器
bangle|手镯, 脚镯
banquette|射击壕沟, 驾驶后座
bucklers|(buckler 的复数) n. 小圆盾, 防卫物, 防卫
bespeckled|在…上加斑点
bluepoint|蓝点牡蛎
blinks|闪光小鸡草；水生小鸡草；小繁缕；闪光繁缕
butlery|(=buttery)主管家的房间, 餐具室, 配膳室
bloodlessly|bloodless的变形
bipolarity|[机] 双极性
blastoid|[古生]海蕾
bloop|做蠢事；发出剌耳杂音
biflorous|双花的
blackcap|黑顶莺, 威式莺
bridesmaid|女傧相
blundering|粗笨的, 易犯错的
butyrate|[化] 丁酸盐(酯或根); 丁酸
brunets|浅黑肤色的男人( brunet的名词复数 )
boshvark|薮猪
brattle|隆隆地响, 呱哒呱哒地跑, (动物)受惊而奔跑
biometer|生物计, 微量二氧化碳测定仪
badinaging|打趣, 玩笑( badinage的现在分词 )
birthrates|(birthrate 的复数) n. 出生率
bankroll|一卷钞票, 资金
blepharedema|[医] 睑水肿
bradylogia|[医] 语言徐缓
bakula|[植]巴古拉木(亚热带的一种乔木)
boilers|锅炉, 烧水器, 水壶( boiler的复数形式 )
boilermaker|锅炉制造[装配、修理]工
briefness|简单, 短促
benzoic|安息香的
blithesome|愉快的, 高兴的
bakersfield|贝克尔斯菲市（美国加利福尼亚州中南部城市）
baffleplate|障板
bloodflower|【植物】马利筋(Asclepias curassavica,产于南美和南非)
bahiaite|[地质]橄闪紫苏岩
baddie|坏人, (尤指电影中之)恶人
bookends|挡书板；书夹；书挡（bookend的复数形式）
biota|生物区
breathlessly|气喘地, 屏息地
boomtown|新兴城市
bionomic|生态的
batholite|岩基
bimaxillary|上颌宽
bismuthite|[化] 泡铋矿
bodied|有形的；有躯体的
brigalow|<澳>[植]镰叶相思树, 粉绿相思树[土著语]
boffo|受欢迎的, 极成功的
bankruptcies|破产( bankruptcy的名词复数 ); 倒闭; 彻底失败; （名誉等的）完全丧失
barghest|(英国民间传说中的)犬状妖怪
basswoods|椴木；椴树；菩提树
baled|将某物打成包或包装成捆
besmearing|涂抹( besmear的现在分词 ); 弄脏; 败坏; 玷污
bole|树干
backheel|驴回头
benightedly|benighted的变形
bingey|肚子
bromegrass|[植]雀麦草
bystreet|横街, 胡同
bravoes|喝彩；亡命徒
basialveolar|[医] 颅底牙槽的
beacher|浪涛
banteng|[动]白臀野牛,爪哇野牛(产于南亚和东南亚, 经驯化可用作耕畜)
bloomer|布卢默(姓氏)
begirded|围绕, 缚, 以带子缠绕( begird的过去式和过去分词 )
bibliothetic|书架图书分类的
bodger|撬杆
bales|（货物）包, 捆( bale的名词复数 )
balsamroot|香根
blanketed|覆盖；遮掩（blanket的过去分词）
bumps|碰撞( bump的名词复数 ); 肿块; 轻微撞车事故; 隆起物
becuiba|(bicuhyba(o), bicuiba)贝块巴木
bursa|囊, 黏液囊
berwick|贝里克郡（英国苏格兰原郡名）；伯威克（墨尔本东南40公里）
bromoprotein|溴蛋白
blear|朦胧的, 模糊的
brott|[人名] 布罗特
bedcovers|(bedcover 的复数) n. 床罩
bhat|(Bhat)人名；(印、尼)巴特
beastie|动物,小动物
busbar|汇流排;  汇流条; 母线; 汇刘
butcherly|残忍的, 笨手笨脚的
baboonish|baboon的变形
broadbrim|宽边帽, 贵格派教徒
begats|系谱, 宗谱
bethink|使考虑, 使想起
balletic|象芭蕾舞的
bituminizing|[化] 沥青浸渍
baikie|[人名] 贝基
barie|[机] 巴
bae|航空工程学士（Bachelor of Aeronautical Engineering）
besieged|包围, 围困, 围攻( besiege的过去式和过去分词 )
bruisers|（尤指）职业拳击家, 彪形大汉, 粗壮的人( bruiser的复数形式 )
biose|乙糖
basseting|露出；矮脚长耳猎犬
bulbiform|球茎状的
berliners|Berlin的变形
brockage|(铸造上)有缺陷的硬币
buckets|水桶( bucket的名词复数 ); 一桶（的量）; 大量
bromic|溴的, 含有溴的
bittiest|片断的, 零碎的；细短的 (bitty的变形)
beadhouse|感恩赈济所
brumal|冬天的, 冬天发生的, 冬天出现的
benisons|(benison 的复数) n. 祝福
bura|[地名] [俄罗斯、肯尼亚] 布拉
bicorne|双角帽
bumpy|颠簸的, 崎岖不平的
backscatter|[计] 反向散射
bugeye|平底轻帆船
balaenoptera|鲸属
bathwater|浴缸里的水
ballgowns|(ballgown 的复数) n. 长舞服；长舞裙；女夜礼服；舞会礼服
bromo|[机] 溴代, 溴基
baccharis|[医] 酒神菊属
balled|球
bimastoid|[医] 两乳突的
blackly|抑郁地；愤怒地；阴险地；黑暗地
besting|1。[口]打败, 胜过( best的现在分词 )
blighters|可耻[讨厌]的人（尤作为轻蔑、诋毁词语）( blighter的复数形式 )
baiter|bait的变形
brennschluss|断火; 熄火
becket|索环, 环扣
blasts|爆炸( blast的名词复数 ); 一阵（疾风等）; （吹奏乐器、哨子、汽车喇叭等突然发出的）响声; 突如其来的强劲气流
boggled|迟疑( boggle的过去式和过去分词 ); 退缩; 躲闪; 犹豫
barfed|呕吐( barf的过去式和过去分词 )
bouncily|活跃地; 轻快地; 骄傲地(bouncy的副词形式)
begat|<废> beget的过去式
babouche|巴布什平底软拖鞋
bullethead|圆头者, 笨蛋
buddhology|佛教学
birettas|四角帽( biretta的名词复数 )
biographers|传记作者( biographer的复数形式 )
bespotting|bespot的变形
beachmaster|登陆指挥官
boller|[人名] 博勒
bardic|吟游诗人的
bismosol|[医] 活化铋(成药,含有铋酒石酸钾钠、胡椒嗪和葡萄糖的注射液,抗梅毒剂)
beadleship|游行领队；教区执事；小吏 (beadle的变形)
bratticing|脊饰
brackets|支架；方括号；舱口围板支架（bracket的复数）
booms|（生意）繁荣( boom的名词复数 ); 深沉的响声; 帆桁
benzylic|[化] 苄型; 苄型的
biff|一击
betula|[医] 桦属
blowzier|邋遢的(比较级)
branchiopod|& adj.鳃足动物(的),叶足动物(的)
bateleur|短尾鹰
bakelite|酚醛塑料, 胶木
bristlier|有刚毛的；易怒的 (bristly的变形)
besieges|包围, 围困, 围攻( besiege的第三人称单数 )
blastopore|胚孔, 原口
basigamy|[植]基部受精
brabbles|争吵, 争论（brabble的复数形式）
bason|(=basin)脸盆, 盆地
bellis|(Bellis)人名；(英)贝利斯；(法)贝利
blistering|[计] 起泡, 生泡
bianchi|比安奇（人名）
biod|生命力, 生气
brimless|无边的, 无边缘的
blennemesis|粘液呕吐
binational|两个国家的,两个民族的
basinasial|[医] 颅底鼻根的
bryanthus|[网络] 线香石南属
bemoans|为（某人或某事）抱怨( bemoan的第三人称单数 ); 悲悼; 为…恸哭; 哀叹
bastite|[矿]绢石
baggy|袋状的, 松垂的
blackhead|粉刺
bifrost|(北欧神话中)连接天地的彩虹桥
bacillogenic|[医] 杆菌[原]性的, 生杆菌的
biasness|斜折
bluffed|以假象欺骗, 吹牛( bluff的过去式和过去分词 ); 以虚张声势找出或达成
benightment|benight的变形
browny|带褐色的
biphase|[计] 双相制
backlit|后面打光；背光式
bachelorette|未婚女子
beardie|[医]泥鳅; 须鳕
breathed|清音的, 有气的
blusterous|狂吹的, 叫嚷的, 咆哮的
brobdingnag|大人国(出自<<格列佛游记>>)
bosselation|[医] 小圆凸, 圆凸形成
baneful|有害的, 致命的
bedrabbled|被雨和泥弄脏了的, 头发散乱的, 衣冠不整的
bester|(Bester)人名；(德、法)贝斯特尔
blazoning|广布( blazon的现在分词 ); 宣布; 夸示; 装饰
biconcave|双凹的
backlashing|反冲；强烈抵制
blames|指责, 责怪, 归咎于( blame的第三人称单数 )
bearder|除壳芒机
bldg|building 房屋, 建筑物
becker|贝克尔（美国经济学家）
banqueted|宴会, 盛宴；宴请, 款待
basyl|[医] 硷基
bulkheads|隔离壁（用在船舱、隧道、太空飞行器, 以防止在一部分损坏时水或空气流入其他部分）( bulkhead的复数形式 )
batta|战时津贴
backlogging|（使）积压( backlog的现在分词 ); 储存; <商>（为日后装运而）登账确认（订货）
bicep|[体]二头肌训练机
beetlehead|笨蛋, 呆子
blotching|大斑点, 污斑, 疹块
buttle|<谑>做男管家(或男仆)
barometry|气压测定法
blissful|充满喜悦的
bottommost|最低的, 最下的
bowtie|领结
bivalve|双壳类动物
biogeny|生源论
bengali|孟加拉人
bahaist|, adj. Bahaism, Baha'ism的变形
bostryx|[医] 旋伞花序
barabara|用草皮(干草)所盖之半地下房屋
bedizen|俗丽地打扮(或装饰)
breads|各种面包（bread的复数形式）
banting|班廷式减肥疗法
beechwoods|(beechwood 的复数) n. 山毛榉木材
bearpaw|[加拿大英语]；(多用于陡峭崎岖地带的)熊爪雪鞋
backsheesh|(=baksheesh)酒钱, 小费
bootprint|靴印
bouet|小手提灯
bemusement|困惑
banders|打包机；打捆工，[包装] 打捆机
blinding|使人眩目的, 使人失去判断力的
basifies|碱化( basify的第三人称单数 )
biont|生物, 有机体
boho|波希米亚式的, 颓废派文化人的, 放荡不羁的
bequests|遗赠( bequest的复数形式 ); 遗产, 遗赠物
bidar|(主要在阿留申群岛使用的)一种大型皮艇
bucephalus|亚历山大王的战马
bilinigrin|胆汁黑
bally|非常, 极
borderline|边界, 界线
bolshevik|布尔什维克, 激进分子
bourses|（非英语国家, 尤指法国的）股票交易所( bourse的复数形式 )
blacktop|沥青, 柏油路
browallia|布洛华丽茄（一种美国热带草本植物, 布洛华丽茄属, 开蓝色、紫色或白色花, 花萼聚合在一起 ）
backwardness|(无比较级)向后, 相反, 倒, 回顾, 倒向, 落后, 进展缓慢, 迟疑, 智力差, 畏缩
blitzkrieged|（德）闪电战；突然袭击
billiard|台球的
breadmaking|[机] 做面包
budging|（使）稍微移动( budge的现在分词 ); （使）改变主意, （使）让步
buchanan|布坎南
bookdealer|[网络] 书籍批发商
bargh|矿山企业
blared|（喇叭或其他高音器具）刺耳地大声鸣响( blare的过去式和过去分词 ); 嘟嘟地发出; 高声发出; （音乐）声音响亮
bacterize|借细菌作用治疗或改变
bekinkinite|方沸霞辉岩
banderol|小旗, 飘带
buttercups|毛茛, 金凤花( buttercup的复数形式 )
bondwoman|女奴隶
bandore|三弦琴
bro|兄弟（brother）
berghaan|山鸡
briars|石南( briar的复数形式 )
beckiron|(=bick-iron)角砧, 双嘴砧
bloodroot|美洲血根草
bates|贝茨
bioplasmic|[医] 原生质的
bunkmate|<美>同寝室伙伴
broussonetia|构属
battled|有雉堞的；有城垛的
banat|[印]巴纳特呢(印度制, 全毛, 宽幅)
bryaceae|真藓科；伞藓科
beadles|(beadle 的复数) n. 教区执事, 英国大学典礼仪仗官
blastemas|[胚] 芽基；胚芽
baud|[计] 波特
baculine|棍棒的, 鞭刑的
bola|流星锤（捕牛时使用的）；两端系有铅坠的绳子（等于bolas）
bitterns|(bittern 的复数) n. 盐卤
bongs|（锣、大钟）发出的响声( bong的名词复数 )
brutus|布鲁特斯（罗马政治家）
bedabbled|泼湿
becher|比彻(姓氏)
bastille|城堡；牢狱
biokinetics|[医] 生物运动学
blatancy|喧哗
bolted|用螺栓栓的；脱离的, 分开的
blurting|突然说出, 脱口而出( blurt的现在分词 )
beaugregory|[医]白斑雀鲷
bicaudate|具二尾的, 双尾的
baptistery|洗礼池, 洗礼用桶
biotas|(biota 的复数) n. 生物区
boleros|波列罗舞( bolero的复数形式 ); 波蕾若外套
basipetally|由顶往底地, 由上往下地
biocenology|生物群落学
butteris|(兽医等用的)削蹄刀
bipyramidal|双锥体
blackhearted|黑心的, 邪恶的
borghese|鲍格才家族(意大利一贵族世家)
batwoman|(英国军队中的)女勤务兵, 女传令兵
burlesquing|（嘲弄地）模仿, （通过模仿）取笑( burlesque的现在分词 )
bemoaned|为（某人或某事）抱怨( bemoan的过去式和过去分词 ); 悲悼; 为…恸哭; 哀叹
butchers|屠夫( butcher的名词复数 ); 肉商; 杀人狂; 刽子手
bilection|凸嵌线
bins|箱子；素材屉；工具屉（bin的复数形式）
bushfires|(bushfire 的复数) n. 林区大火
bidders|出价者, 投标人( bidder的复数形式 )
bichrome|两色的
binocs|[复]n.=binocle
bondholders|债券持有人, 公司债所有者, 公债证书所有者( bondholder的复数形式 )
bombycid|蚕蛾
bigamist|重婚者
bearlike|像熊一样的
brahmanical|婆罗门(教)的
brahmanism|婆罗门教
birthroot|[植]直立延龄草(其根可用作催产药)
baisakh|印度历的2月
bibles|圣经（Bible的复数形式）
bechancing|使发生, 产生( bechance的现在分词 )
bastardy|私生子地位, 私生
baun|[人名] 鲍恩; [地名] [印度尼西亚] 包恩
baggiest|宽松下垂的( baggy的最高级 ); 2。膨胀的
beefiest|牛肉似的( beefy的最高级 ); 结实的, 肌肉发达的
bilharzic|[医] 裂体吸虫的, 血吸虫的
bullshits|胡说, 哄骗( bullshit的第三人称单数 )
bowse|（用索[船]具等）拉起
boardings|验船条款
bedrenching|使湿透, 弄湿
brinkmanship|边缘政策
billhook|钩镰
boatwright|造木船的匠人
boart|[矿]圆粒金刚钻
banknotes|钞票, 纸币( banknote的复数形式 )
baconer|猪, (尤指用作熏咸肉而饲养的)肉猪
bannisters|栏杆
bisegment|(等分线或等分角的)平分部分之一
befriended|以朋友的方式对待, 照顾( befriend的过去式和过去分词 ); 帮助
blennuria|[医] 粘液尿
bander|打捆机, 箍工
bursati|夏疮
biflorate|(=biflorous)具两花的
bedevilment|着魔, 大混乱, 苦恼, 迷惑
bacchantes|[希腊神话] [罗马神话] 酒神的牧师, 酒神的信徒, 闹酒狂饮者; 酒神祭司, 酒神追随者( bacchant的名词复数 ); 狂饮作乐者
billionths|(billionth 的复数) num. 第十亿个, 十亿分之一
balmier|疯狂的
bygones|过去的（不愉快的）事( bygone的复数形式 )
bulbously|bulbous的变形
blitzes|闪电战, 大规模空袭( blitz的名词复数 ); 广告战
befog|罩入雾中, 使困惑, 使模糊
bikeway|自行车车道
bristles|猪鬃（bristle的复数形式）
broadcasters|播送设备( broadcaster的复数形式 ); 广播员; 撒播物; 广播公司
bilboa|好剑, 一种铁制之脚镣
booboisie|<美俚>愚民大众,愚民阶级
boloney|废话, 瞎扯
bungler|工作笨拙的人
battements|敲打，拍打，捶打；敲击声，拍打声；搏动，跳动；间歇；活塞冲程
bryophyte|苔藓植物
blinder|眼罩
bever|毕弗（姓氏）；瑞士格劳宾登州的一个小镇
booklets|小册子( booklet的复数形式 )
bulginess|凸面木杆
bisexuality|雌雄同体[株]
boldfaced|厚颜的, 冒失的, 粗体的
beakiron|砧,砧子
berkeleian|贝克莱的, 贝克莱主义的
ballo|(Ballo)人名；(匈)鲍洛；(西)巴略；(意、罗)巴洛
backstrap|对接贴板；后带；脊框；背带
blackfoot|(北美印第安人中的)黑脚族人
boethian|adj. Boethius, Anicius Manlius Severinus的变形
bragger|吹牛
bromized|[医] 溴化的
blaring|（喇叭或其他高音器具）刺耳地大声鸣响( blare的现在分词 ); 嘟嘟地发出; 高声发出; （音乐）声音响亮
brutalised|(brutalise 的过去分词) vt. 使丧失人类情感, 使变残忍; 残酷对待
beruffled|有褶皱的
brisling|小鲱鱼
befallen|befall的过去分词
baptize|施洗礼, 使经受考验, 命名
bootlessness|无益
battlement|城垛, 雉堞墙
blaubok|[动]蓝灰弯角羚
broughams|一种有篷马车
beatrice|比阿特丽斯（女子名）；碧翠斯（女子名）
banked|有坡面的；堆积的
bamboos|竹, 竹竿( bamboo的复数形式 )
burrawang|<澳>[植]螺旋大泽米(或其硬壳果)
bewitchment|中妖术, 魔力, 妖术, 迷惑
barbarically|野蛮人, 肆无忌惮, 粗野
bumbledom|妄自尊大, 小官僚作风
bellyached|无故抱怨( bellyache的过去式和过去分词 )
basipetal|由上往下的
beltless|无带的
brittany|布列塔尼（法国西北部一地区）
bossism|头领的支配, 领袖的政党控制
benamed|为…取名
beatster|<美>=beatnik
buckjumper|跃腾使骑者跌落的马匹
bluing|蓝色漂白剂
bracketed|把…括在括弧内( bracket的过去式和过去分词 ); 把…归为一类
birches|桦树, 桦木( birch的名词复数 ); （鞭打用的）桦条
besnowed|覆以雪；使雪白
botryose|总状的, 葡萄串状的
bodysurfs|人体冲浪（指不用冲浪板而以胸腹冲浪）( bodysurf的第三人称单数 )
bottega|画室; 小手工作坊；车间；工作室; 酒馆，酒店
batton|[人名] [英格兰人姓氏] 巴顿 Batt的昵称
bards|诗人( bard的名词复数 )
bijous|<法>珠宝, 宝石, 小巧美观的东西( bijou的名词复数 )
beechnut|山毛榉果实
bentwood|弯木制的
bodo|[医] 波陀虫属, 胞滴虫属
blossoming|（植物）开花( blossom的现在分词 ); 发展; 长成; 变得更加健康（或自信、成功）
busway|[电]汇流条通道, 配电通道, 母线通道
bohunk|从东欧来的低层工人
billbug|[昆]喙甲, 谷象(其幼虫食谷类植物及谷粒)
bioassay|生物鉴定, 活体检定, 生物测定
boxthorn|枸杞
buttony|钮扣状的, 多钮扣的
boozy|酩酊的, 嗜酒的
bors|鲍斯爵士（圆桌骑士之一, 兰斯洛特爵士之侄）
beest|Bachelor of Electrical Engineering 电机工程学士
bradytocia|[医] 分娩延缓, 滞产
buccinal|似号角的, 似喇叭的
barosmin|布枯叶脂
basilian|(4世纪基督教希腊教父)圣巴西勒的, 圣巴西勒修会的
barwood|[机] 苏木
begad|interj. 天哪
behoving|<英>理应, 应该, 理所当然( behove的现在分词 )
blustering|狂风大作的, 狂暴的
bromid|溴化物;平凡佣俗的人
blurbs|(blurb 的复数) n. 推荐广告
beaconless|beacon的变形
betrim|修剪；装饰, 装点
baskerville|巴斯克维尔体(John Baskerville 所设计的古式艺术字体)
bluestocking|女学者, 装做有学问的女人
bounder|粗鲁的人, 暴发户
beggiatoa|[医] 白硫菌属
booleans|(Boolean 的复数) [计] 布尔的, 逻辑的, 布尔型
brack|分等, 挑选；（爱尔兰）果子面包
basenji|[动]巴辛吉(产于非洲的小猎狗)
borneo|婆罗洲
bouquetiere|<法> adj.[烹]加蔬菜作配菜的
bilifaction|[医] 胆汁生成, 胆汁分泌
bicuspidal|[医] 二尖的, 双尖牙的
berteroa|[网络] 团扇荠属
bradded|曲头钉( brad的过去式和过去分词 )
boranes|(borane 的复数) n.[化]硼烷
blackbeard|海盗黑胡子；黑海盗（电影名）
boswellism|博斯韦尔写作传记的风格
brev|brevetto (Italian=patent) （意大利语）专利; breviate 摘记; brevetted 名誉晋级的; breviary （天主教）每日祈祷书
blastodisc|[生]胚盘
biaxal|【晶体学】(晶体)具有两个光轴的, 双轴的
breechcloth|腰布
behoof|好处, 利益
beamy|光亮的, 象梁一样的, 船身宽大的
brachygraphy|速记；速记术, 速记学
breviradiate|[医] 短形的(神经胶质细胞)
bonce|头；脑袋
