sun|太阳
sufficed|足够( suffice的过去式和过去分词 ); 满足…的需要
spatium|隙, 间隙
sapheaded|saphead的变形
savara|[网络] 南亚语系蒙达语族萨瓦拉语
sabbathly|在每一安息日
syndeton|[语]连接结构
shindigs|狂欢会( shindig的复数形式 ); 舞会; 吵闹; 骚动
squiffy|微醉的, 稍带醉意的
sulfinate|[机] 亚磺酸盐
shunting|[电]分流
stipulated|& vi. 规定; 约定
salamandra|[网络] 真螈属；火蜥蜴；火蝾螈
sovietized|苏维埃化；共产化
steamiest|steamy（蒸汽的, 充满水汽的）的最高级形式
sinkage|下沉, 下沉度, 低洼地
samurais|（日本）陆军将校( samurai的名词复数 ); <史>（日本封建时代的）武士
serotinal|迟季的, 晚夏的
spacewalked|太空漫步, 太空行走；航天舱外活动
stipulates|（尤指在协议或建议中）规定, 约定, 讲明（条件等）( stipulate的名词复数 ); 规定, 明确要求
scolopendrid|蜈蚣科百脚
sporangial|[生]孢子囊的, 孢蒴的
savior|救助者, 救世主, 救星
slogging|苦工
surtax|附加税
schomburgkia|[网络] 香蕉兰；兰属；匈伯加兰属
sunseeker|向日仪, 寻日器
scrobe|窝
spackling|填平
salma|意大利重量单位(=217.728公斤)
sunhat|遮阳帽
sinkhead|[冶]浇口杯, 补缩冒口
spud|除草铲, 剥树皮用的铲刀, 马铃薯
schematize|把...图式化, 将...列入计划
shins|胫, 小腿( shin的名词复数 )
synacmy|[医]雌雄同熟：雄蕊、柱头同时成熟
stereophony|立体音响
semen|精液, 精子
sternness|严格, 严厉
supervised|有监督的
syruped|糖浆, 果汁；含药糖浆
sfumato|<意>[画]n.( 使素描中的明暗或色彩中的色阶有层次地调和的)渲染层次
stockiest|（指人、动物、植物）粗短而结实的, 矮而粗壮的( stocky的最高级 )
scroop|嘎嘎响
scum|浮渣, 糟粕, 浮藻, 熔渣, 不起好作用的人
screwed|以螺丝拧紧的, 螺丝状的, 喝醉了的
sepiae|乌贼( sepia的名词复数 ); 乌贼属; 乌贼的墨; 颜料
slayers|杀人者, 凶手( slayer的复数形式 )
snipefish|[医]鹭管鱼
shined|shine的过去式和过去分词
scotomata|暗点, 盲点
seizures|癫痫, 痉挛；发作（seizure的复数）
steepled|有尖塔的, 尖顶的
scotchwoman|苏格兰女人
stylings|(styling 的复数) n. 款式, 式样
subnivean|雪下的
spandrels|(spandrel 的复数) n. 拱肩
statuesquely|statuesque的变形
screever|马路画家, 告地状者
sonority|响亮, 响亮程度
synneusis|聚晶状; 聚晶状
stammered|结巴地说出( stammer的过去式和过去分词 )
sniffles|抽噎, 抽噎声( sniffle的名词复数 )
semiprone|[医] 半俯卧位的
shippen|牛棚
stearoptene|[化]硬脂萜, 硬脂脑, 玫瑰蜡(香精油的固体氧化部分)
stimulants|兴奋剂；刺激剂（stimulant的复数形式）
similimum|[医] 类似药(顺势疗法派的理想药物)
sere|干枯的
stannic|锡的, 四价锡的
stylite|高柱修士
shoetrees|鞋楦
shoad|漂流矿石, 矿砾
stroller|散步者, 流浪者
saxons|撒克逊人（Saxon的复数）
saft|Statistical Association Fluid Theory,统计缔合流体理论
swinishly|卑鄙地;贪心地
synchronal|同时的, 同步的
sods|愚笨的（男）人( sod的名词复数 ); 讨厌鬼; 招惹麻烦的事情; 草皮
sothic|天狼星的
shouldst|将会..., 万一...
stresses|强调( stress的名词复数 ); 重音; 压力; 重力
stockwork|网状脉
snowbreak|防雪林, 雪之融化
spaewife|女算命者
saddlebow|前鞍桥
slalomed|障碍滑雪
stonewaller|过分小心地打板球者, (英)阻碍者, 阻碍议事者
sketchily|大略地
sitio|[地名] [奥地利、古巴] 锡蒂奥
stippen|[植]苦坑病
suspensory|悬吊的, 暂时中止的
stimulates|刺激( stimulate的第三人称单数 ); 激励; 使兴奋; 起兴奋作用, 起刺激作用, 起促进作用
schismatics|(schismatic 的复数) n. 宗教分立派论, 分离教会会员
scurfiness|[医]糠秕性
sickliness|多病
silvan|森林的, 乡村的
scarping|在…设内斜坡, 将…辟成陡坡( scarp的现在分词 )
sempiternity|<书>永久,永恒
spunkie|鬼火, 磷火; 威士忌, 烈性酒; 勇敢的人; 暴躁的人
skydiver|做空中造型动作的跳伞运动员
stupefaction|麻醉, 昏睡, 昏迷
semiannular|半圆形的
sphaerolitic|球粒状
stubbed|多残根的, 残段的, 粗短的
sodding|给予帮助( succor的过去式和过去分词 ); 激动, 大怒; 强压怒火; 生闷气(~with sth|~ at sth)
steeve|装货吊杆
superhive|[网络] 超级
surbased|有台基上部装饰线脚的, 扁拱形的
spangling|用闪光饰片等小物件布满或装饰某物, 使闪烁发光( spangle的现在分词 )
scion|接穗, 子孙
savery|[人名] [英格兰人姓氏] 萨弗里 Savory的变体; [地名] [美国] 萨弗里
saleably|saleable的变形
salvationist|救世军军人, 传道者
slowgoing|缓步的, 不想有所作为的
subliterary|通俗文学的,二流文学的
styracaceous|[植]安息香料的
skimmers|撇渣器；撇油器；泛泛阅读者（skimmer的复数）
strangles|腺疫
stedfastly|stedfast的变形
succinate|[化]琥珀酸盐(或酯)
stalactites|钟乳石( stalactite的名词复数 )
stockinette|弹力织物；布袋；松紧织物（等于stockinet）
sauls|索尔斯
skewness|[计] 倾斜度
shimmery|微微发亮的
sulphuration|硫化作用
stokes|斯托克斯（姓氏）
skinhead|理光头的男人
sheetlike|sheet的变形
sarcolyte|肌屑(双翅目昆虫蛹的血液中)
swotting|<英, 非正>（尤指为准备考试）刻苦学习, 用功( swot的现在分词 ); （尤指为准备考试）刻苦学习（某门课程）
surma|[医]苏玛
saleslady|女售货员
sphaerotilus|[医] 球衣细胞属
shillings|先令（英国1971年以前的货币单位, 为一镑的二十分之一）( shilling的复数形式 )
sanicula|[网络] 变豆菜属；山芹菜属；山芹属
saddhu|(印度的)圣人, 哲人, 苦行僧
sastrugi|<俄>雪面波纹; 雪波; 砂波
santy|圣诞老人（等于Santa Claus）
spasmus|[医] 痉挛
shlep|& n. 拖; 拉; 无用的人; 废物
scotophilia|[医] 黑暗癖
santos|桑托斯(巴西港市)
sinarchist|墨西哥国粹党党员
scuttlebutt|饮水容器, 清水桶, 谣言
spiraliform|螺旋装饰的
snoopers|刺探者；爱管闲事者
strontianite|[矿]菱锶矿
sumos|相扑（sumo的复数形式）
supposably|supposable的变形
supergenual|[医] 膝上的
sodality|友好, 伙伴关系, 慈善团体, 联谊会
stradlings|(stradling 的复数)  [人名] 斯特拉德林
spinneries|纺纱工厂( spinnery的名词复数 )
solfeggio|唱名练习
sialoschesis|[医] 涎液分泌抑制
satem|[语]S类语言的,咝音语言的
squalls|飑( squall的名词复数 ); 号啕, 高声喊叫
salve|油膏, 药膏, 安慰, 奉承话
stratiform|层状的
subdolous|有点狡猾的,有点诡谲的
shamal|[气]夏马风(中亚及波斯湾一带的一种寒冷的西北风)
sinitic|中国的, 中国文化的
swabbing|[化] 刷浆
sourpusses|(sourpuss 的复数) n. 整天绷着脸的人, 讨人嫌的家伙
souther|南风, 正南强风
settlings|(settling 的复数) n. 沉淀物
stenochromy|彩色一次印刷法
spermatism|[医] 射精; 精液生成
spraying|[化] 喷镀; 喷涂
sorrowfully|伤心地, 悲伤地
speciousness|似是而非
spindler|将卷筒纸放在轮转印刷机轴上的人[机械]
stainable|可染色的
shrilled|（声音）尖锐的, 刺耳的, 高频率的( shrill的过去式和过去分词 )
saddened|（使某人）悲哀, 忧愁( sadden的过去式和过去分词 ); 怛; 惨然
strontian|菱锶矿； 锶
shellacs|虫漆( shellac的名词复数 )
squanderer|浪费者, 放荡者
salivator|[医]催涎药
sequestered|隐退的, 幽静的, 偏僻的
sledged|乘雪橇( sledge的过去式和过去分词 ); 用雪橇运载
sitta|[网络] 鳾属；谁达
scapose|[植]具花葶的, 有根生花梗的
shri|先生(印度人对男子的尊称)
smallness|小, 贫乏, 小气
spectrogram|光谱图, 声谱图
spiceberry|香料作物
skivvy|女佣人, 女仆, 男式汗衫
silico|silicosis (sickness caused by stonedust inhalation) 硅肺（因吸入灰尘造成的疾病）
spars|圆材( spar的名词复数 )
shipbuilder|造船专家, 造船工程师
saddlebag|鞍囊
showered|下阵雨( shower的过去式和过去分词 ); 似阵雨般降落; 洒落; 纷纷降落
sousaphone|苏萨号
stipellate|具小托叶的
subcarbide|低碳化物
snottiest|流鼻涕的, 尽是鼻涕的；下贱的 (snotty的变形)
subschema|[计] 子模式
satiated|[对...厌倦的；充分满足的；生腻的[with]
subtonic|音阶第七音
shoats|(shoat 的复数) n. 小猪
sazerac|<美>萨泽拉克鸡尾酒
statists|(statist 的复数) n. 统计学者, 中央集权论者
stingiest|小气的, 吝啬的( stingy的最高级 )
sphyraenidae|[网络] 金梭鱼科；魣科；鲐科
seamen|水兵, 海员, 水手
splenotoxin|脾毒素
spills|漏损, 溢出（spill的复数）
sinuosities|蜿蜒( sinuosity的名词复数 )
staider|(staid 的比较级) a. 认真的, 沉着的, 固定的
sextan|每六天发生一次的
sonorants|(sonorant 的复数) n.响音
scrunchy|（包）布发箍, 布发圈
skeletonize|使成骸骨, 记下概要, 大量减掉人员
subclavian|锁骨下的
straggle|掉队, 落伍, 蔓延, 散乱
spasmed|(spasm 的过去时) n. 痉挛, 抽搐, 发作
swainish|[诗、古]土头土脑的, 情人的, 情郎的
spikier|spiky（大钉似的）的比较级形式
smarties|(smarty 的复数) n. 自作聪明的人
shoogle|来回摇
sclaffing|轻拍；轻拍声
sorrower|悲伤；懊悔；伤心事 (sorrow的变形)
stylostixis|针刺疗法
supraliminal|阈上的
spissitude|浓(度), 密(度)
sphaeroma|浅水虱
saan|South African Associated Newspapers 南非的联合报纸
sabaoth|千万军马, 军队
spector|斯佩克特（姓氏）
sang|sing的过去式
swinish|猪的, 猪一般的, 贪婪的
sermoning|布道；训诫；启示；冗长的讲话
stippling|呈点画状, 呈点刻状
sideslip|侧滑, 私生子
scophony|史柯风电视系统
separatistic|separatist的变形
supergiant|特大的, 超巨型的
shallowness|浅；肤浅
sterin|硬脂酸甘油酯, 硬脂酸精
saltpan|盐田, 盐场
sampler|样品检验员, 刺绣样品
stetch|伸展
sarcoid|肉质的, 肉状的
shelley|谢莉（女子名）
scree|山麓碎石, 岩屑堆
sequencing|[计] 排序; 定序
sicca|新铸的卢比
stapes|镫骨
scutel|小盾片
spinulous|有小刺的
shapeliest|shapely（身材好的；姿态优美的）的变形
stunted|成长受妨碍的, 发育不良的
sagital|羽状三辐骨针
subtropics|亚热带
scarpering|跑开, 跑走( scarper的现在分词 )
shikaree|猎人
sprucing|（把…）打扮得整洁漂亮( spruce的现在分词 ); 打扮, 把…收拾整洁
smokelike|smoke的变形
signets|图章, 印( signet的名词复数 )
settlors|(settlor 的复数) n. 财产授予者
squaretail|[医]方尾鱼
schismatic|宗教分立派论, 分离教会会员
sensing|测向, 偏航显示
sidearms|(sidearm 的复数) a. 侧投球的
striptease|脱衣舞
synarthrosis|不动关节
suberize|[植]使(细胞壁)栓化
stressed|感到有压力的；紧张的
sog|sogenannt (German=so called) （德语）所谓的; short gastrulation 短原肠胚形成; small operations group 行动小组; speed over (the) ground 地表速度
serenely|安详地, 沉着地, 宁静地
sune|[医]鼻咽低分化鳞癌细胞株（中山医科大学肿瘤研究所建株）
strobiloid|[医] 链体样的(绦虫)
sungar|[建](用石块砌成的)胸墙,矮防护墙
soapwort|皂草
scrimmages|混战, 并列争球( scrimmage的名词复数 )
spalacidae|[网络] 鼹形鼠科；瞎鼠科；鼢鼠科
smolts|(smolt 的复数) n. 三龄大的小鲑鱼
snip|剪, 剪断, 削减, 删节
slumping|大幅度下降, 暴跌( slump的现在分词 ); 沉重或突然地落下[倒下]
simulatory|simulate的变形
smidgeon|少量, 一点点
simous|扁平的
synephrine|[生化]脱氧肾上腺素
stuntedness|矮化；枯谢
santonine|山道宁[蛔虫驱除剂]
sembling|集合
sorrows|悲痛( sorrow的名词复数 ); 遗憾; 不幸的事; 忧患
skipjacks|(skipjack 的复数) n. 跳跃玩偶, 飞鱼类(如鲣鱼), 叩头虫
scomber|[鱼]鲭科鱼,鲭
seismometer|地震检波器
subgenital|[解]位于生殖器下的
safrol|<旧>= safrole
swill|冲洗, 痛饮
serializable|[计] 可串行化的
specularly|镜面反射地
shunt|使转轨, 使分流, 回避讨论, 推延
seedsmen|播种者, 卖种子的店铺( seedsman的名词复数 )
sporidia|[医] 孢子虫
semivalvate|半瓣裂的
stibophen|[药]波酚(治血吸虫病药)
sai|社会责任国际组织（Social Accountability International）；单指针自动同步指示器（single autosyn indicator）
spirochetic|螺旋体的
semifossil|半化石的,半石化的
sacredly|神圣地
slitty|有裂缝的
santol|檀紫素
snubbingly|斥责地, 冷落怠慢地
slops|泔脚
savaging|（动物）凶狠地攻击（或伤害）( savage的现在分词 ); 残害; 猛烈批评; 激烈抨击
stounding|[主苏格兰英语]
spectates|出席观看( spectate的第三人称单数 )
soapbox|肥皂盒, 临时演说台
sabbatism|守安息
subcell|亚晶胞
subsellium|(教堂座位的活动座板底面的) 凸出托板
suffocates|（使某人）窒息而死( suffocate的第三人称单数 ); （将某人）闷死; 让人感觉闷热; 憋气
sphendone|古希腊妇女的束发带
semiuncial|半恩锡尔字体,半恩锡尔字体的字母(或书法)
sinuosity|弯曲, 曲折, 弯曲处
slacks|宽松的裤子, 便裤
sublittoral|近海滩的
subman|发育极差的人, 理解力极差的人, 残暴的人
sander|[电] 散沙
stap|<古>堵塞,阻止,中止
swounds|(=zounds)[古]畜牲! 该死的家伙!(为God's wounds 的缩简形式)
sepium|乌贼骨, 海螵蛸
stylohyal|[医] 茎突舌骨的
serofluid|浆液
scrim|平纹棉麻织物
sporodochium|分生孢子座
semifloating|半浮动
shunters|(shunter 的复数) n. 扳道员, 能干的组织者
syncrisis|<罕>(修辞学中的)对立事物比较法
sheephook|牧羊杖
sweatproof|不透汗水的,防汗的
summonsing|召唤；传票；传唤；召集
smugglers|走私者( smuggler的复数形式 ); 走私船
screwy|螺旋形的, 扭曲的, 乖诞的, 疯颠的, 讨价精明苛刻的
seroreaction|[医]血清反应
sneakiness|sneaky的变形
sulfurator|<美> = sulphurator
sucklers|(suckler 的复数)  哺乳动物
subartesian|[网络] 亚军
semiannual|半年一次的, 一年两次的
salol|[化]水杨酸苯酯,萨罗
suns|太阳队（美国篮球队名）
squinch|对角斜拱
syllabifying|分成各个音节, 按音节发…的音( syllabify的现在分词 )
sprouts|新芽, 嫩枝( sprout的名词复数 )
spooled|假脱机的
sylvian|[医]Sylvius的：由Sylvius 〔Franciscus sylvius de la B〖AKa¨D〗e,荷兰解剖学家，1614～1672〕描述的或用其名命名的，如Sylvian动脉
shortens|弄短, 缩短( shorten的第三人称单数 )
scorchingly|灼热地
sinuatrial|[解]窦房的
scoptophobia|[医] 被视恐怖
sevastopol|塞瓦斯托波尔[苏联克里米亚半岛西南岸港市]
selion|三圃制中的耕地
semicolumn|半圆柱
scungy|<澳口>悲惨的,可怜的,肮脏的
sire|陛下, 殿下, 父亲
sgd|[医][=sebaceous gland duct]皮脂腺管
sclerocauly|硬化茎性
skullduggery|欺骗, 诡计, 诈骗
shoals|浅滩( shoal的名词复数 ); 沙洲; 鱼群; 大量
swayed|（使）摇摆, （使）摇动( sway的过去式和过去分词 ); 影响、改变…的观点[行动]
scandalised|（英）使感震惊；使愤慨；诽谤；使丢脸（等于scandalize） (scandalise的变形)
snakebird|蛇鹈
sauries|刀鱼, 竹刀鱼, （短吻）秋刀鱼( saury的名词复数 )
sporogenic|[医] 产孢子的
submarined|用潜艇攻击（submarine的过去式与过去分词形式）
splashback|（厨房内水槽与墙之间的）防溅板
servette|小折叠桌
silveriness|银白; 清脆, 悦耳; 似银
shawled|(shawl 的过去时) n. 披肩, 围巾
statesmanly|政治家的, 有政治家才能的, 有政治家风度的
smilax|菝葜
submatrix|[计] 子矩阵
serbian|塞尔维亚人（语）的；塞尔维亚的
sevennight|七昼夜, 一周
suprising|(suprise 的现在分词) n. 惊讶,惊奇<br />v. 使…惊讶
saddlecloth|鞍褥
salivated|（过量地）分泌唾液( salivate的过去式和过去分词 )
senvy|芥菜
satinpod|[植](一年生)缎花
spartacist|Spartacus党员
storying|用历史故事画装饰（story的现在分词形式）
satyagraha|非暴力抵抗及不合作主义
soutanes|(soutane 的复数) n. (神父的)法衣, (修士以往所穿的)黑色长袍
stationed|配置, 安置（station的过去式与过去分词形式）
scrips|(scrip 的复数) n. 便条, 纸条, 纸片
sylvine|钾盐
scyelite|闪云橄榄岩
sengreen|景天属植物
sunbeam|阳光
stigmatize|打烙印, 诬蔑
swaybacked|背部特别凹陷的
scission|切断, 分离, 分裂
staver|[美俚]活动家, 精力充沛的干将, 努力而忙乱的工人
sati|殉死（等于suttee）
shandite|[矿]硫铅镍矿
sidesmen|教会执事；教区候补委员
soundboards|(soundboard 的复数) n. 共鸣板, 响板; 音板
salvor|难船救助者, 救难者, 救难船
sard|肉红玉髓
staithe|装卸转运码头
swellish|俊俏的, 潇洒的, 时髦的
schlump|<俚>傻瓜, 笨蛋, 讨厌鬼； 衣衫邋遢的人
suchlike|这一类的人
sutured|缝合；缝合处；缝合用的线
stirred|（使）移动( stir的过去式和过去分词 ); 搅拌; （使）行动; （使）微动
sarcocele|[医]睾丸肉样肿
siltstone|[地]粉砂岩
scotosis|[医] 暗点, 盲点
supersex|[生]超性
synergically|增放作用地; 协和作用地
sered|[斯洛伐克] 塞雷德
somatopleure|[生]胚体壁(外胚层和体壁中胚层)
shastra|印度教圣典
semiring|[医]半环状（的）
savoys|(savoy 的复数) n. [植]皱叶甘兰
surlier|脾气坏的, 不友好的( surly的比较级 )
sorters|(sorter 的复数) n. 从事分类的人, 分拣的人
serphid|细蜂
sourball|酸味水果糖, 常发牢骚之人
stassfurtite|纤硼石
silicane|硅烷, 甲硅烷
sodomist|鸡奸者,口交者,兽奸者,尸奸者
stromatic|[医] 基质的
sergipe|塞尔希培（巴西东部州）
subchronic|亚慢性的
sartorius|缝匠肌
sincerities|(sincerity 的复数) n. 诚实, 真实, 诚心诚意
swirling|漩涡；涡流
shackanite|方沸响岩
skaters|滑冰者（ skater的复数形式 ）
scandalous|不体面的, 可耻的, 诽谤性的, 爱传播丑闻的
shp|轴马力
shelvy|渐渐倾斜的
soothsay|预言
santon|穆斯林圣人,(伊斯兰教的)遁世修道者
sunbathing|日光浴
solute|溶解物, 溶质
sialosyrinx|[医] 涎腺瘘; 涎管注射器, 涎管引流管
salsa|洋葱做的辣调味汁；萨尔萨舞曲
serotypes|(serotype 的复数) [医] 血清型
slatelike|slate的变形
sprayer|喷水车, 喷枪, 喷雾器
soaves|(soave 的复数) n.(意大利)苏瓦韦白葡萄酒(一种不带甜味的白葡萄酒) , <意>adj.& adv.[音]甜蜜的(地), 柔和的(地)
stith|[人名] 斯蒂恩
semihydrate|半水合物
scaped|,vt.,vi. scaped, scaping [古语]＝escape [亦作 'scape]
scroungers|(scrounger 的复数) n. 乞讨者；行乞者
syenites|(syenite 的复数) n. 正长岩
shales|(shale 的复数) n. 页岩
somnolency|思睡, 困倦, 瞌睡, 嗜眠, 嗜眠症
shrieker|尖叫者
subprior|修道院副院长
sheds|棚, 库( shed的名词复数 )
summating|(summate 的现在分词) v.[数]求(…的)和
slipperily|滑地
satanophobia|<罕>魔王恐怖
shide|大连实德（公司名）；（中）士德（男子名）
santiago|圣地亚哥
sewings|(sewing 的复数) n. 缝制品, 缝纫
spitball|纸团, 唾沫球
semifinished|经轧制的
sclerodermia|[医]硬皮病
sandbanks|沙洲, 沙丘( sandbank的复数形式 )
seltzogene|碳酸水制造器
spodumene|[矿]锂辉石
scarabaean|圣甲虫, 甲虫形宝石,金龟子科甲虫
snath|大镰刀的柄
semisomnous|[医] 轻昏迷的
skegger|一龄鲑,幼鲑
sawbill|齿喙鸟
stacked|体态漂亮的
somatotropic|[医] 亲躯体的, 亲躯体细胞的; 促生长的
synclinore|复向斜
scacchite|氯锰矿
shoesmith|[人名] [英格兰人姓氏] 休史密斯职业名称，给马钉掌的铁匠，来源于古英语，含义是“蹄铁+工匠”(shoe+smith)
squillidae|虾蛄科
spik|<美俚><贬>美籍西班牙人,在美国讲西班牙语的人
smokiest|多烟的( smoky的最高级 ); 冒烟的; 有烟熏味的; 烟状的
snatching|冲动；抢掠；[印]纸张撕裂
subaerial|地面上的, 接近地面的
subscale|内部[扩散]氧化物
souffles|吹气音；[临床] 杂音
stutteringly|结结巴巴地
swivet|极度激动, 狂乱
salpingocele|输卵管疝
stubbled|花茬的, 满是茬的
sarkine|(=hypoxanthine)次黄质
sibylic|女巫的, 预言性的
skyrin|[化] 醌茜素
septifragal|[植]室轴开裂的
squiring|乡绅；侍从；大地主；地方法官
saprolegnia|[医] 水霉属
sulphurize|使硫化, 用硫处理
shoehorn|鞋拔
subbase|底基层, 副基层
sonny|宝贝, 小家伙
slammed|砰地关上（门或窗）( slam的过去式和过去分词 ); 用力一放; 使劲一推; 猛劲一摔
spitsticker|(刀尖呈船首形、用以刻曲线的)船首形木刻刀
samplings|(sampling 的复数) [计] 抽样; 采样
sapphic|沙弗诗体的；沙弗风格的
superdural|[医] 硬膜上的
storiated|用历史故事或传说事迹为图案装饰的
serrated|锯齿状的
snicking|刻细痕于, 留刻痕于( snick的现在分词 ); （在板球比赛中）用球棒的边沿撞击（球）
secretion|分泌, 分泌物, 分泌液, 隐蔽
stimulatory|刺激, 激励, 激发, 鼓舞, 促进, 鼓励, 起刺激作用
supermale|超雄性, (具有一个X染色体和三组或三组以上的常染色体的)不生育的男性
swoons|<文>昏厥, 昏倒( swoon的第三人称单数 )
suasively|劝告地
steeping|浸渍的
stokesia|【植物】琉璃菊(Stokesia laevis)
synonymously|同义
staphylea|[网络] 省沽油属
sniffily|嗤之以鼻地
strangely|奇妙地, 奇怪地, 不可思议地
sandspit|沙嘴
scarfe|[人名] [英格兰人姓氏] 斯卡夫绰号，来源于北方中世纪英语，含义是“鸬鹚”(cormorant)
soaproot|皂根
salmonoid|鲑科的, 似鲑的
sutlers|(sutler 的复数) n. 随军小贩
sniffer|嗅探器
symphalangus|[网络] 合趾猿属；合趾猿亚属；合趾猴属
snowcreep|积雪徐动(指山坡积雪不断向下的缓慢移动)
synchros|(synchro 的复数) n. 同步机
spoused|配偶, 夫或妻( spouse的过去式和过去分词 )
sanhedrim|(古犹太国的)最高法院兼参议会(由71人组成, 兼管宗教事务)
standpipe|竖管
shickered|<澳俚>喝醉的
sunburns|晒伤, 晒太阳过量而引起皮肤灼痛( sunburn的复数形式 )
solstices|至, 至日, 至点( solstice的复数形式 )
shirtdress|(上身像衬衫的)衬衣式连衣裙
shammies|麂皮革( shammy的名词复数 )
stabbers|(stabber 的复数) n. 刺的东西, 锥子, 刺客, 穿索针
studhorse|种马
splinters|尖片, 碎片, 刺( splinter的名词复数 )
sloshes|溅, 泼, 泼溅在…上( slosh的第三人称单数 ); （尤指钱）大量存在; 涉水而行; （液体）（在容器里）晃荡作响
spionid|海稚虫
secale|[医]黑麦属
siskin|黄雀, 松金翅
sory|硫酸黑土
surculi|surculus 的复数
sion|锡安；以色列人
sternly|严格地, 严肃地, 严厉地
segno|(音)从标有记号处开始重复
signiory|领土, 主权, 领域
scopulate|[昆]帚状的, 帚形的, 有花粉刷的
snafus|天翻地覆、无法可施的状态, 一时的混乱( snafu的名词复数 )
stenosed|患狭窄症的
syndesmoses|[医]（单syndesmosis）韧带联合
spindleage|[纺]纺锭设备,总锭数
sorrily|悲伤地, 可怜悯地, 拙劣地
stagier|做作的（等于stagy） (stagey的变形)
seborrhea|[医] 皮脂溢
shamus|警察, 私家侦探
spondaic|扬扬格的
suberate|[化]辛二酸盐
showdowns|摊牌, 一决胜负( showdown的复数形式 )
sailoring|海员生活
shanghaier|拐骗者, 胁迫者
solenodon|[动](西印度群岛的)沟齿鼠
suffuse|遍布, 弥漫, 充满
saligenin|水杨甙
slanders|诽谤, 诋毁( slander的名词复数 )
salmonsite|黄磷锰铁矿
screened|筛过的, 屏蔽的
scubas|水肺, 便携式水下呼吸器( scuba的名词复数 )
snollygoster|不讲原则而善为自己打算的人
simuliid|蚋
servileness|servile的变形
supples|使柔软, 使柔顺（supple的第三人称单数形式）
slotback|[橄]进攻前卫
scents|香水( scent的名词复数 ); 气味; （动物的）臭迹; （尤指狗的）嗅觉
sunbathers|日光浴者；晒太阳的人
shune|<主方> shoe的复数
semimatte|半无光的
splayed|张开( splay的过去式和过去分词 ); 八字形
sheikhdom|酋长国
scotoma|暗点, 盲点
smarten|使潇洒, 使整洁
saddlecloths|(saddlecloth 的复数) n. 鞍褥
shipway|造船台
scandalize|使生反感, 使震惊, 诽谤
stilette|[医] 通管比, 管心针; 细探子; 锥刺; 花柱(植物)
subcontrol|[计] 副控制, 子控制
sewages|(sewage 的复数) n. 脏水, 污水
stupefying|使发呆, 使昏昏沉沉( stupefy的现在分词 ); 使惊讶
spalled|(spall 的过去时) n. 残瓦破片, 碎片
schematized|系统化；计划；扼要表示
sabering|用军刀斩( saber的现在分词 )
souses|将（某人或某物）投入或浸入水中, 将水泼在…上( souse的第三人称单数 ); 腌制（鱼等）
sluttery|邋塌, 懒惰, 淫荡
saprostomous|[医] 口臭的
seriola|[医]？
snatches|一阵
socle|台石, 柱脚
subtopic|副主题；小标题
steinbok|石羚
shortish|相当短的
skunkweed|臭菘（属植物）
sheikdoms|(sheikdom 的复数) n. （阿拉伯）酋长统辖的领土, 酋长国
stooges|喜剧里的配角或丑角, 助手, 伙伴( stooge的名词复数 )
staminode|[植]退化雄蕊
subterrane|地下洞穴, 地下室
scenograph|透视图
spherules|(spherule 的复数) n. 小球, 小球体
snuggery|温暖舒适的地方, 舒适的私室, 旅馆中的酒吧间
semimetallic|半金属的
straightaway|直道
stang|[古英语]刺；刺伤（sting的过去分词）
stellular|小星形的, 象星形放射的, 布满星状物的
surpassable|可超过的
screwstock|螺钉条料
splashproof|[电] 避溅
spicers|(Spicer 的复数) 斯派瑟（美国）
sniggers|暗笑（声）, 窃笑（声）( snigger的名词复数 )
searchlights|探照灯( searchlight的复数形式 )
skyhook|扁平空投器
surveyorship|[法] 测量员或检验员的职位
screwing|螺丝接合；车削螺纹
smither|[人名] [英格兰人姓氏] 史密瑟 Smith的变体
seventhly|在第七(次、个)
scanting|不足的, 缺乏的( scant的现在分词 )
subtility|(=subtlety) 狡猾
spoofing|哄骗, 电子欺骗
speared|用矛刺（spear的过去式与过去分词形式）
samlet|幼鲑
spitbox|痰盂
smokebox|烟箱
spiceless|香料；情趣；调味品；少许 (spice的变形)
stimulations|(stimulation 的复数) n. 刺激, 激励, 鼓舞
screwhead|螺丝头,螺钉头
surrebut|第三次辩驳被告
scummed|浮渣( scum的过去式和过去分词 ); 卑鄙的人; 人渣; 社会渣滓
semibreve|全音符
subvitreous|光泽不及玻璃的
stonefish|石鱼（背脊上的刺有毒, 鱼肉鲜美）
sledded|<美>乘雪橇( sled的过去式和过去分词 )
swankiness|swanky的变形
sambo|[拉丁美洲]黑人与印第安人或欧洲人的混血儿
seth|赛斯（男子名）
snoop|调查, 窥探
steinbock|石羚
sones|(sone 的复数) [医] 味(音响单位)
spume|泡沫
saprozoic|动物腐生的, 食腐的
supertension|过[超]高压
stapled|用钉书钉钉住( staple的过去式和过去分词 )
spitefulness|怀恨在心；充满恶意
supercooled|过度冷却( supercool的过去式和过去分词 )
subhedral|[晶]半形的,仅有部分晶面的
stereoisomer|立体异构体
somnambular|梦游者的,梦游(症)的
schipperke|(比利时种)无尾短毛小黑狗
sensa|sensum的复数
stabilizes|（使）稳定, （使）稳固( stabilize的名词复数 )
sporoblast|孢子母细胞
spumy|泡沫的, 泡沫状的
sophism|诡辩
shootings|射击( shooting的复数形式 ); 打猎; 射击竞赛; （通常指犯罪行为的）开枪
supersolid|超立体, 多次体
