phone|手机
pax|圣像牌, (大弥撒中的)接吻礼, 和平女神
peracarida|囊虾总目
pacifism|和平主义, 反战论, 不抵抗主义
polyborus|[网络] 卡拉鹰；凤头巨隼属
preconize|公开宣言, 指名召见, 公布任命
phagolytic|[医] [吞]噬细胞溶解的
plutocrat|富豪, 财阀
pseudosphere|伪球面
paedagogic|教师的, 教育学的, 教授法的
privets|(privet 的复数) n. 女贞
pachymenic|[医] 厚皮的, 厚膜的
peasecod|豌豆荚
plagiarisms|剽窃( plagiarism的复数形式 ); 抄袭; 剽窃物; 抄袭物
panoan|adj. 帕诺人的；帕诺语的
pancreectomy|[医] 胰切除术
palaeoconcha|古壳目
polaris|北极星
paving|铺筑过的地面, 铺过的道路, 铺筑过的路, 修筑路面/地面的材料
pterocarya|枫杨属
pyloralgia|幽门痛
photoglyphy|照相凹版制版法
pouching|& vi. （使）成为袋状（pouch的现在分词形式）
plundered|掠夺, 抢劫( plunder的过去式和过去分词 )
pleuston|水漂生物
pricker|刺的人, 针, 刺针
pillagers|(pillager 的第三人称 -s形式) n. 掠夺者, 抢劫者
pinkness|粉红色；化身, 典范；石竹花；头面人物 (pink的变形)
polyadenia|假白血病
pteromalid|金小蜂
photophobe|避光生物( 或器官) , 畏光生物( 或器官)
postulants|(postulant 的复数) n. 申请人
pleiotropic|[生]多效性的,多向性的
pyridoxin|维他命B6
proselytise|<主英>=proselytize
persulfate|[医] 过硫酸盐
phyllosoma|叶状幼体
piranha|水虎鱼(南美产)
papyrology|纸莎草学
pitchman|摊贩
pinyin|<汉>n.拼音(指汉字拉丁化注音和拼写方案)
paunch|腹部, 瘤胃, 大肚子
prickle|刺, 刺痛, 柳条篮子
prosopotocia|面先露
pseudotsuga|〔植〕黄杉属
papyrograph|复写器, 简易胶版
phyllode|[植]叶状柄
puriri|新西兰牡荆
photocurrent|光电流
philatelist|集邮家
personation|演角色, 扮装, 假冒人名
portrays|画像( portray的第三人称单数 ); 描述; 描绘; 描画
praam|<挪威>平底船
paba|[化]对氨基苯(甲)酸
phagocytable|[医] 可被吞噬的
pisanite|铜绿矾
polydipsic|polydipsia的变形
provence|普罗旺斯(在法国东南部)
preorder|[计] 先根次序
pesterer|pester的变形
pmsg|[化] 血清促性腺激素
praiss|烟草汁
parlors|客厅( parlor的复数形式 ); 起居室; （旅馆中的）休息室; <美>（通常用来构成合成词）店
preterition|省略
pretrochal|前纤毛轮
pallets|托盘( pallet的复数形式 ); 平台; 运货板; 草垫子
preadapt|[生物学]预适应
plainchant|单声圣歌
prier|刺探者, 窥探者
papyrus|纸草, 草制成之纸
paralytical|[网络] 瘫痪
pesetas|西班牙银币( peseta的复数形式 )
punted|用篙撑方头平底船( punt的过去式和过去分词 ); （在某些牌戏中）对庄家下赌注; 乘方头平底船沿河航行（尤指游览）; 进行股票投机
parasitemia|[医]寄生虫血症
plaiting|把…编成辫绳( plait的现在分词 ); 添纱; 折布
pinda|<美方>花生,花生果,花生米
phrenopathic|[医] 精神病的
periuranium|近天王点
plagiophyre|斜长斑岩
puromucous|[医] 粘液脓性的
pericolpitis|[医] 阴道周炎
pusher|推者, 推销员
parlay|连本带利的赌
postdicrotic|[医] 重波后的
pretoria|比勒陀利亚[南非（阿扎尼亚）首都]
pythagoric|毕达哥拉斯的
precarium|[法] 无偿占有, 随时可被收回的假占有
polyembryony|[生]多胎,多胚
pendants|（装在项链等上的）垂饰, 坠儿( pendant的复数形式 )
peacockish|孔雀似的, 艳丽浮华的, 过于自负的, 虚荣心强的, 虚荣的
paeoniaceae|牡丹科
panurge|巴汝奇(讽刺小说《巨人传》中人物庞大固埃)
postiler|(基督教《圣经》的)旁注；批注；注解；评注
pyromaniac|放火狂者
parahydrogen|[化]仲氢
paunchiest|大肚子的( paunchy的最高级 )
prodigalize|浪费, 挥霍
photocells|(photocell 的复数) n. 光电池, 光电管
precept|规诫, 规矩, 格言, 训令
pleomastic|[医] 多乳房的
perpetuance|使永存, 使人记住不忘（perpetuate的名词复数）
portholes|舷窗( porthole的复数形式 )
phlorrhizin|[医] 根皮甙
pteropods|(pteropod 的第三人称 -s形式) adj.翼足目的
postmarked|有邮戳的；盖邮戳的
prost|int. （拉）恭喜；（拉）祝成功；（拉）祝健康
polloi|<希>n.= hoi polloi
pupal|蛹的
preachifying|讲道, 唠唠叨叨地讲( preachify的现在分词 )
plasmotomy|原质团分割
potsherd|陶器碎片
pallesthesia|[化] 振动觉
puppets|木偶( puppet的复数形式 ); 玩偶; 受他人操纵的人或集团; 傀儡
pipile|[网络] 普通鸣冠雉；盔凤冠雉属
porta|[医] 门, 室间孔
paperbark|(澳大利亚的)白千层属植物
phylactery|经匣, 提醒者(物), 令人联想的事物, 护符
punketto|[网络] 派克托
preppies|（大学）预科生( preppie的名词复数 )；预备学校学生[毕业生]( preppy的名词复数 )；（尤指在衣着、举止等方面）像预备学校学生的人
postcondylar|[医] 髁后的
parkas|风雪大衣( parka的复数形式 )
plodder|沉重行走的人, 辛勤工作的人, 做事慢条斯理不开动脑筋的人
perigean|近地点的
pschent|(古埃及国王的)双重王冠
proselytes|(proselyte 的复数) n. 改信仰者, 皈依犹太教的人
portioner|[法] 获得遗产, 嫁奁的人, 分得财产的人
pasi|psoriasis area and severity index 牛皮癣区和严重性指数
paiute|居于美国印第安人的一部族
platycelous|平凹型的
plotty|<口>情节错综复杂的
penial|阴茎的
pores|气孔；毛穴（pore的复数）
pellucidly|透明地, 易懂地
paxillary|[网络] 腋窝
papayas|番木瓜树, 番木瓜果( papaya的复数形式 )
phaeacian|[希神]费阿刻斯人(荷马史诗 Odysseus 中居住在 Scheria 岛的一个民族,以航海为生)
pseudologue|[心]幻想性谎语癖患者,不能自我控制的说谎者
pareus|（波利尼西亚人用作围裙或蔽体腰布的）一块长方形印花布( pareu的名词复数 )
precedency|领先, 上席
prinking|化妆, 打扮( prink的现在分词 )
palmaceous|棕榈科的, 棕榈树的, 棕榈状的
phytokinin|植物细胞分裂素
pedometer|步数计, 步程计
plasmodesmus|胞间连丝
pilage|砂布, 砂纸
prologuizing|作序言, 作开场白( prologuize的现在分词 )
primordium|原基
pritchel|带铁头的工具
pavements|人行道( pavement的复数形式 ); 硬路面; 铺过的路面
promptbook|提词者所用剧本
piquancy|辛辣, 辣味, 尖刻, 激励, 可爱
permeation|散发(性), 渗透作用(过程), 浸染
pone|玉米饼
plasmoptysis|胞质逸出
potations|(potation 的复数) n. 喝, 一口的量, 饮酒
prehend|[网络] 抓住；逮捕；理解
proboscidate|有长鼻的
precalculus|& n.学习微积分前必修的(课程)
puccoon|[植]紫草属植物
premedicate|前驱用药, 术前用药
preaches|布道( preach的第三人称单数 ); 劝诫; 说教; 宣传
ponderable|可估量的, 可称量的, 有重量的
philippic|激烈的抨击
propargyl|炔丙基
paroxysms|突然发作, 发作, 阵发( paroxysm的复数形式 )
pegmatite|[地质]结晶花岗岩
purvey|供给, 供应
potentialize|使成为潜在的, 使成为位能, 使成为势能
porcelanic|(岩石)瓷质的, 像瓷的
pennies|pl. (非正式)copper便士, (美)分, 分币
plucked|采( pluck的过去式和过去分词 ); 拔掉; 解救; 弹
prenominate|[废]预先命名, 预先提到
pinnula|羽毛上的羽支
phonotypical|phonotype的变形
pitiless|无情的, 冷酷的, 无怜悯心的
preordains|预先规定, 注定( preordain的第三人称单数 )
perionyxis|[医] 甲周炎, 甲周脓炎
prosocele|[医] 前脑腔
percipiency|感觉, 知觉, 敏悟, 洞察
paulite|紫苏辉石
princedoms|(princedom 的复数) n. 小国君主的权位, 候国, 封邑
peaceless|不平静的, 不安宁的
poy|pre-oriented yarn 预先定向的聚酯纱线; 泰国著名变性女艺人, 17岁成功变性成美女
priggish|一本正经的, 死板的, 自负的
paramo|[地](南美洲北部尤指安第斯山脉的)高山稀疏草地
porphine|[化] 卟吩
physiography|地文学, 地貌学, 自然地理学, 自然现象志
peed|小便, 撒尿( pee的过去式和过去分词 )
posttemporal|后颞骨
pituita|[医] [稠]粘液
prerecorded|事先录音( prerecord的过去式和过去分词 )
polyad|几个紧密相关的零件或元件的组合
palmiste|[网络] 棕榈树
phlebitis|静脉炎
prosiest|prosy（无趣味的）的变形
phlegmatized|[化](炸药)敏感度减少的,减敏的
pilothouses|操舵室( pilothouse的名词复数 )
pleach|编织
portableness|portable的变形
planters|种植园主( planter的复数形式 ); 大农场主; 播种机; 花盆
punchiest|强力的, 因受拳击而脑部昏沉的( punchy的最高级 )
patelloid|碟状的, 盘状的
prawner|对虾, 明虾 (prawn的变形)
precleaner|预清机, 粗选机
pharyngology|咽科学
pathed|(人、畜走出来的)路；小道, 小径；道路；(公园中的)路径
preassign|[计] 预指定, 预分配, 预赋值
perfumery|香料类, 香水(总称), 香料制造业
prepubic|[动]前耻骨的
prostration|平伏, 跪倒, 疲劳, 虚脱
portentously|不祥地；有预兆地；盛气凌人地, 自负地
phenacyl|苯甲酰甲基
pong|恶臭
phototube|光电管
pharyngal|咽的
prepossessed|<正>有好感的; 具有先人之见的； 事先受影响的; 入神的; 心事重重地
plunderable|易受掠夺的
parbleu|[法]嗳呀! 唷!
prolusion|序言, 绪言, 序幕, 序乐, 开场白, 预演
phylae|宗族；种族 (phyle的变形)
potherb|野菜, 调味用香草
pawl|棘爪, 制转杆, 卡爪
pembroke|(=Pembrokeshire)彭布罗克郡(英国郡名)
penholder|笔插, 笔架
prooflike|表面光亮似新铸样币的
proteolipide|蛋白脂体
phycochrome|淡水藻色素
pyrometers|(pyrometer 的复数) n. 高温计
polypoid|水螅似的
palistrophia|[医] 脊柱扭转[症]
peptolytic|解胨的
pawpaw|番木瓜, 番木瓜树
pushcart|手推车
portreeve|市长
pairing|[计] 配对, 成对
polyspast|滑车组, 复滑车
proratable|可按比例分配的
protocorm|原始球茎
plutocracy|富豪统治
pashto|普什图语的
pyrogen|致热质, 发热原
porosis|[医]空洞形成, 骨痂形成
patrilineage|[法] 父系
planispheric|planisphere的变形
pastels|彩色粉笔( pastel的复数形式 ); 彩色粉笔画; 蜡笔画; 轻淡柔和的色彩
picnicker|郊游者
pandarus|[希神]潘达洛斯(利西亚人领袖)
paramours|情夫, 情妇, <古>情人( paramour的名词复数 )
putters|置放者, （高尔夫球）轻击棒( putter的名词复数 )
photomapper|光制图仪
pauperise|<主英> = pauperize
pentagonoid|似五边形的
perdu|隐藏的, 潜伏的, 看不见的
piecemeal|一件一件地, 逐个地, 零碎地
plexuses|（血管、淋巴管、神经等的）丛( plexus的名词复数 )
popcorn|爆米花
pachymenia|膜肥厚, 厚膜
pneumas|元气, 精神, 灵魂( pneuma的名词复数 )
psomophagic|[医] 囫囵吞咽的, 不细嚼的
protandry|[植]雄蕊先熟
peltate|盾状的
primogenial|原始型的
poeticalness|诗道；理想化
proliferated|激增( proliferate的过去式和过去分词 ); （迅速）繁殖; 增生; 扩散
paddymelon|[动]小型沙袋鼠[澳洲土著语]
pharisaism|拘泥形式, 伪善, 法利赛派教义
pluvial|雨的, 多雨的, 洪水的
pigeonholed|把…搁在分类架上( pigeonhole的过去式和过去分词 ); 把…留在记忆中; 缓办; 把…隔成小格
parable|寓言, 隐晦的比较
portioning|分份, 分成几份
paperboy|报童, 送报人
palstave|[考古]青铜凿(亦作palstaff)
pria|President of the Royal Irish Academy 爱尔兰皇家学会会长; Proceedings of the Royal Irish Academy <爱尔兰皇家学会会刊>
paopao|[地名] [法属波利尼西亚] 帕奥帕奥
pacemaking|定步速, 当标兵, 起搏
planipennate|[医]具扁翅的
pmk|邮戳
pima|比马人(北美印第安人的一个部族)
peise|[英国方言]；称, 量, 称…重量
pharisaic|法利赛人的
pileate|具菌盖的
propellants|推进剂; 推进物( propellant的复数形式 )
peba|九绊犰狳
punchless|punch的变形；(纸夹、文件夹、书皮等)不打孔的
picturer|照片, 图画；影片；景色；化身 (picture的变形)
pilon|[人名] 皮隆
pachyrhizus|地瓜, 豆薯属植物
pettle|[苏格兰英语]宠爱；爱抚，抚爱；溺爱；沉溺
priapulida|三部虫门
panela|红沙糖
pakeha|<新西兰>白种人(尤指祖先是欧洲人的新西兰人)
pengo|(pl. pengo, pengos)辨戈(匈牙利从前的货币单位, 1964年为福林所代替)
prodigiously|异常地, 惊人地, 巨大地
phantastical|phantasy的变形
poteen|私酿的威士忌
pediculi|[医] 虱
psorophora|[医] 鳞蚊属
photophore|发光器官
pollable|[计] 可修改的, 可移植的
platyrrhine|(人)有阔鼻的,( 动物)阔鼻类的
phonematics|音声学(研究除语音学和音位学之外的言语构成的物理、生理、心理方面)
pachyntic|[医] 肥厚的
ploesti|普洛耶什蒂
punctuate|vi. 给文章加标点, 加标点符号
perfidious|不忠贞的, 背信的, 有异心的
prothallium|原叶体
porphyria|[医]卟啉症(一种遗传性卟啉代谢的病态紊乱)
platode|扁形的, 扁平的
pleurite|[昆]侧片,侧板
philtre|春药, 灵丹妙药
parnassian|(希腊)帕纳塞斯山的, 诗文学的
protopterus|非洲肺鱼
prosed|散文；单调
paradisaical|天堂的, 天堂似的, 乐园的
pruinate|[医] 霜状的, 霜掩状的
psomophagy|[医] 囫囵吞咽.不细嚼
pharyngocele|[医]咽突出,咽囊肿
puddly|多水坑的, 像水坑的
pelean|[网络] 皮连式；培雷式
palar|板状根
periostraca|角质层 (periostracum的变形)
parazoa|[动]拟生动物, 侧生动物
pentitol|戊五醇, 戊糖醇
preharvest|收获前的,收获期前的
parthenogeny|单性生殖, 孤雌生殖
prelect|讲演, 讲课
paleola|[医]浆片
puerperant|[医] 产妇
pitchmen|(pitchman 的复数) n. 摊贩
potashes|[无化] 碳酸钾；草碱；苛性钾；钾化合物
purist|纯粹主义者
pitches|程度( pitch的名词复数 ); 斜度; 颠簸; 沥青
paters|(pater 的复数) n. 父亲
puerperalism|[医] 产褥病
presages|预示, 预兆( presage的第三人称单数 )
primine|[植]外珠被
perturbator|扰动器
preamplifier|前置放大器
polygyny|一夫多妻
paas|Parkistan Association for the Advancement of Science 巴基斯坦科学促进会; phased array antenna system 相控阵天线系统; Premorbid Asocial Adjustment Scale 发病前活动减少的判断指标
ppi|[经] 生产者物价指数
pacas|无尾刺豚鼠( paca的名词复数 )
panicum|[植]黍
proletarians|无产阶级一员( proletarian的复数形式 ); 无产者; 产业工人; 劳工
pneumatized|[医] 充气的, 含有气腔的
parcenary|共同继承
pelicanry|鹈鹕饲养场
puissance|力, 势, 权力
prepalatal|硬颚前部的
protoconid|[动]下原尖
postcoital|[医] 性交后的, 交媾后的
perpetuated|使永存（perpetuate的过去式与过去分词形式）
proliferous|增殖的, 增生的
phizes|脸；表情；相貌
punctation|刻点; 小斑点
picumnus|[网络] 姬啄木鸟属；褐短嘴旋木雀
philatelical|adj. 集邮的
propenyl|丙烯基
prys|(pry 的第三人称 -s形式) n. 杠杆, 窥探, 好奇者
pipework|管道工程管（组）
precardiac|[医] 心前的
puncheon|短柱, 支柱, 半圆木块, 打印器, 大桶
pithiness|多髓性, 简洁有力
precis|摘要, 梗概, 大意, 概要
pecorino|佩科里诺干酪, 羊乳干酪
petitioning|祈求, 请求, 请愿( petition的现在分词 ); （向法庭）请求, 申请
pyronaphtha|焦石脑油, 重煤油
pinnated|羽状的, 翼,鳍之类的
pleasantries|<正>客气话, 客套, 礼仪( pleasantry的名词复数 )
proplasm|型, 模型, 铸型
pome|梨果
prismoid|[数]平截头棱椎体
percolation|过滤, 浸透
parmesan|帕尔马干酪(意大利产)
perosis|[兽医](雏鸡的) 锰缺乏症
preceptories|圣殿骑士团的地方支部, 圣殿骑士团地方支部的领地( preceptory的名词复数 )
punto|刺中
perimyelitis|[医] 脊髓膜炎; 骨内膜炎
pelviform|盆状的
pestilences|瘟疫, （尤指）腺鼠疫( pestilence的复数形式 )
primiparous|初产的
phormium|[植]新西兰麻
playbill|戏单, 演出海报, 节目单
preprocessor|[计] 预处理程序
prosodial|作诗法的
philately|集邮, 集邮的兴趣, 集邮者(总称)
purples|散黑穗病
panegyric|赞颂, 颂词, 推崇备至
provirus|[微]前病毒
pshaw|interj. 啐(表示不耐烦、轻蔑), 哼
pluvioscope|雨量器
perisoma|[医]体壁（棘皮动物）
prosodical|诗体学的, 韵律学的
photolitho|用照相平版印刷
pings|<非正>砰, 乒( ping的名词复数 )
peafowl|孔雀
psidium|[网络] 番石榴属；番石榴营养学属；乐属
presurgical|(外科)手术前的
phalaris|法拉里斯
perikaryon|(神经细胞的) 核周体
prodroma|[医] 前驱症状
practicum|实习科目, 实习课
pungled|捐…；付…
primeness|初期；主要；基本
pedosphere|表土层
pastorate|牧师职务, 牧师任期, 牧师团
partook|partake过去式
porphyropsin|[生化]视紫(质)
phyllade|[植]鳞状叶
poodle|鬈毛狗, 追随者
pollinia|[医]大量花粉
pervading|遍及, 弥漫( pervade的现在分词 )
pews|教堂的条凳式座位( pew的复数形式 )
praetor|军事执政官, 行政长官
prehension|抓住, 理解
posthitis|[医]包皮炎
preppy|预科生
palinuridae|龙虾科
premeiotic|[生]减数分裂前的,成熟分裂前的
pneumatism|精气论(一种医学理论, 认为生命与一种难以捉摸的气—精气有关)
philosophism|伪哲学, 诡辩
pustular|脓疱的, 有脓疱的
paginating|[计] 编页码
plumlike|plum的变形
puppetize|使傀儡化,使成傀儡
positioned|放置的
postulator|假定者, 要求者
pheasant|雉鸡, 野鸡, 雉科鸟
privatistic|adj. 只关心个人生活（或个人利害）的态度的； 赞成私有制的，主张资本主义的
pelvioplasty|[医] 骨盆成形术
pledger|发誓人, 举杯祝酒的人
precursory|先驱的, 前兆的
paltrily|不足取
penile|[医] 阴茎的
pantoum|(根据隔行同韵的马来诗体改编的) 由隔行同韵的四行诗节组成的诗
pentimenti|经过修改或颜料遮盖的原来笔画[图像]的再现( pentimento的名词复数 )
pleonaste|镁铁尖晶石
perforated|穿孔于, 在…上打眼( perforate的过去式和过去分词 ); （在纸张等上）打齿孔[孔眼线]
poodles|卷毛小狗( poodle的复数形式 )
pedantic|卖弄学问的, 学究式的, 假装学者的
pandect|法令全书, 总论, 总览
poortith|<苏格兰>贫穷,贫困
pyroarsenite|焦亚砷酸盐
photophilic|[生]喜光的,嗜光的,适光的
pronghorn|叉角羚
pedatisect|鸟足状全裂的
plumosite|普通硫锑铅矿
preplacental|[医] 胎盘形成前的
psychedelics|(psychedelic 的复数) a. 引起幻觉的, 荧光的
potman|酒馆的侍者
puristical|修辞癖的, 用语简洁的
polyhedron|多面体
planospiral|(=planispiral)平旋壳
paddlefish|[鱼]匙吻鲟,白鲟
panosteitis|[医] 全骨炎
phreatic|井的, 潜水(层)的, 准火山的
plaids|彩格呢( plaid的复数形式 ); 格子呢; 毛呢; 毛呢长披肩（苏格兰民族服饰的一部份）
phalloid|鬼笔菌
prostomium|[动]口前叶
pukras|[鸟]喜马拉雅山雉
pseudocyst|拟孢囊
panatellas|一种细长的雪茄烟（等于panatell）
pigmenting|(pigment 的现在分词) n. 色素, 色质, 颜料
plashes|（水）溅泼( plash的第三人称单数 )
plunderous|劫掠的,掠夺成性的
proboscidea|长鼻目
pasteup|拼贴画
pterylology|羽毛学
phanariot|法纳尔人( 指Ottoman 帝国时期居住在Constantinople 地区担任土耳其重要神职及官职的希腊人)
polybutylene|[机] 聚丁烯
pyromancer|[网络] 火占师；火法师；火炎术士
porthole|舷窗, 炮门
pajaroello|[医] 皮革钝缘蜱
phaseolus|[医]菜豆（属）
prattfall|丢脸的倒霉, 可耻的失败
poachy|(土地)易被牲口踩得泥泞的,湿而松软的
piroplasma|[医] 梨浆虫属, 贝巴虫属
phlebotomize|抽静脉血, 抽血
picidae|啄木鸟科
poco|[音]稍；少；略
puddling|搅炼, 捣制胶土
peptogen|助消化物质,助消化制剂
pralltriller|[音]逆波音
peroxides|过氧化氢( peroxide的名词复数 ); 过氧化物
peripety|[网络] 陡转术；突转；境遇的骤变
physicky|药物似的,由药物引起的
plunging|跳进的；突进往下的
penetrations|渗透( penetration的复数形式 ); 穿透; <军>突破; （男人阴茎的）插入
polypore|多孔菌
paronomastic|paronomasia的变形
plex|[计] 丛
paynim|异教徒, 穆斯林, 异教界
prelature|高级教士之职, 主教
perisher|做事卤莽的人, 讨厌的人, (行动、方法等的)极端
prelatism|<贬> (教会的)主教制, 主教统辖制度
phiale|[网络] 菲阿勒
provisioning|[经] 物质供应
preplanning|预先计划; 前规划
prutah|普鲁特（以色列旧辅币名）； 普鲁特硬币
pidgin|混杂语言, 混杂行话, 事务
pleiad|(人或物的)一批精华(尤指7个),七明星,七巨头
phosphoruria|磷尿
philtering|春药, 媚药（使人性欲勃发的药物）( philter的现在分词 )
parabranchia|拟鳃器
purger|使清净的人, 清洗用品, 泻药
pipings|(piping 的复数) n. 吹笛, 笛声, 管道, 尖锐声音, 衣服滚边
peasen|pease 的复数
prophyll|先出叶; 原叶
phlegmy|痰的, 含痰的, 生痰的
preconcerted|预定的, 事先计划的
phlebectopia|[医] 静脉异位
puelche|帕尔希风
periuvular|[医] 悬雍垂周的
panspermic|[医]病原普遍存在说的
pounding|重击；重击声
peached|揭发, 告发（peach的过去式与过去分词形式）
perquisition|彻底搜查
papism|[蔑]教皇制度, 罗马天主教
paperweight|镇纸, 压纸物, 压纸器
pylons|（架高压输电线的）电缆塔( pylon的复数形式 ); 挂架
punished|未受处罚的
puddings|（一道）甜食( pudding的复数形式 ); 甜点心; 布丁（通常用面粉经烘烤或蒸煮做成的美味甜食品）; 肥胖而迟钝的人
polychresty|有多种用途的东西(尤指有多种功效的贵重药品)
patens|(paten 的第三人称 -s形式) n. 圣餐盘, 祭碟, 金属浅圆盘
perky|得意洋洋的, 快活的, 敏捷的, 美观的, 傲慢的, 神气的
porting|[计]进入端口
parasitoid|[医] 寄生物样的
porr|槟岛外环公路（Penang Outer Ring Road）
painless|无痛的, 不痛的
prawn|明虾, 对虾
polypodia|[医] 多足[畸形]
pearlweed|漆菇草属
plaguers|杀出个太空
protophyta|[医] 原生植物类
punkey|[网络] 双鱼座
physogastric|膨腹的
polishers|磨光器；磨亮的人；[机] 磨光机
pygmaean|矮人的, 矮小的, 微少的, 无足轻重的, 微薄的
perispomenon|(希腊语中)音调(或长音)符号落在最后一个音节上的
pyramidical|金字塔的, 角锥状的, 金字塔形的, 角锥体的
photosyntax|[网络] 光合作用
playtimes|(playtime 的复数) n. 游戏时间, 娱乐时间, 演出时间, 开幕时刻
pianism|钢琴演奏技巧
pararectal|[医] 直肠旁的
pleophagous|吃多种食物的
pacificator|仲裁者, 调解人
prises|撬动（prise的第三人称单数形式）
polyzoa|[动]群栖虫, 苔藓虫
pitmans|连杆, 联接杆
pharmacists|药剂师( pharmacist的复数形式 )
primates|灵长目
pontile|[医] 脑桥的
petiolar|叶柄的, 生在叶柄上的
pedant|自夸学问的人, 空谈家, 书呆子
pehuenche|[网络] 佩温切；佩文切；皮珍契族
pedatrophia|[医] 儿童消瘦; 肠系膜淋巴结结核
prerogatived|(尤指阶层, 阶级的)特权, 特典；独有的权利；[英国英语]君权, 帝王的大权
polyglottism|通晓数种语言
patriotics|[pl. ]爱国精神的表现[言论、行为], [用作单]爱国的作品[演说、活动]
pelvirectal|[医] 骨盆直肠的
psorospermic|[医] 胶孢子虫的, 鱼浆子虫的
planular|扁平的
pigtails|女孩垂在头两侧编或不编成辫子的长发, 发辫, 辫子( pigtail的复数形式 )
paralinin|核基质, 核液
proxemics|[复] n.[用作单][社]空间关系学
pastoralized|pastoralize的变形
polycrase|(=polycrasite)[矿]复稀金矿, 锗铀钇矿石
photesthesis|[医] 光觉, [对]光敏感, 畏光
predictors|(predictor 的复数) n. 预言者
possessedly|possessed的变形
pubigerous|具短柔毛的
poser|装腔作势者, 难题
pesters|使烦恼, 纠缠( pester的第三人称单数 )
poverties|贫穷( poverty的名词复数 )；缺少；贫乏；低劣
pulsion|推进
playgirl|寻欢作乐的女子, 花花小姐
psammoma|沙瘤
ptinus|蛛甲属
partings|（头发的）分缝( parting的复数形式 ); 分离; 分道扬镳的时刻; 临别时不友好的话（或行为）
porcine|猪的, 猪似的
psora|[医] 疥疮, 牛皮癣
pottage|浓汤
pneoscope|[医] 呼吸描记器
plurilingual|多语种的, 多种语言的
parka|皮制连帽大衣, 派克大衣
parfleche|生皮革(制品), 一种坚韧的水牛皮
perai|[鱼]水虎鱼（产于南美产的一种小鱼）
plucks|勇气, 精神( pluck的名词复数 )
pedaliaceae|[医] 脂麻科, 胡麻科
pathopoiesis|[医] 致病; 罹病性
polemicize|参加争辩,参加辩论,发表辩论文
prie|催乳激素释放抑制因子
prolicide|杀害胎儿(或婴儿)
piankashaw|皮安卡肖人(美国迈阿密的北美印第安部族)
pneumatics|气体力学
palenque|[地名] [巴拿马、厄瓜多尔、哥伦比亚、古巴、洪都拉斯、墨西哥、委内瑞拉] 帕伦克
phleboplasty|[医] 静脉成形术
pickin|(西非用语)小孩
philomath|爱学问的人
proteinuric|[医] 蛋白尿的
pelops|[希神]珀罗普斯(Tantalus 之子)
pathogenesy|[医] 发病机理
pudsey|帕齐（人名）
potentiator|[药]增强剂,增效剂
philosophise|推究哲理, 卖弄大道理
patentee|专利权所有人
pargasite|[矿]韭闪石
propertied|有产的, 使用道具的, 需要道具的
parlours|客厅( parlour的复数形式 ); 接待室; 营业室; 业务室
planlessness|计划；平面图 (plan的变形)
pharisees|法利赛人；伪善者；形式上遵守教义的人（Pharisee的复数形式）
perverts|性变态者( pervert的名词复数 )
ponca|彭加人(在内布拉斯加州和俄克拉何马州保留地的美洲印第安人部落)
poaching|[经] 猎取, 盗取
privatizing|使私有化( privatize的现在分词 )
polypody|水龙骨属植物
paulie|[电影]鹦鹉
polyodontia|[医] 多牙, 额外牙
pron|代名词的（pronominal）；代词 （pronoun）；显著的（pronounced）；发音（pronunciation）
privities|私下知悉, 默契( privity的名词复数 )
profanities|(profanity 的复数) n. 玷污神圣, 不敬, 亵渎, 亵渎语言
prolegomena|前言, 绪论; 前言, 序论( prolegomenon的名词复数 )
payers|付款人, 交款人( payer的复数形式 )
pericenter|近心点; 近中心点
phage|噬菌体
poaches|水煮（荷包蛋）( poach的第三人称单数 ); 侵入他人地界偷猎
phthalimide|苯邻二甲酰亚胺, 酞亚胺
polyphagy|多食症, 杂食性
phosphoritic|phosphorite的变形
periost|[医] 骨膜
pipsqueak|矮小的人, 小人物, 无足轻重的东西
puritanic|清教徒的, 清教主义的, 宗教上极端拘谨的, 道德上极端拘谨的
prospers|成功, 兴旺( prosper的第三人称单数 )
parsimonious|过度节俭的, 吝啬小气的
perseitol|[化] 鳄梨糖醇; 甘露庚糖醇
preferments|(preferment 的复数) n. 晋升, 升任, 优先权, 选择, 偏爱
percentages|百分比( percentage的复数形式 ); 比例; 利润的分成; 提成
pancaking|平坠着陆
peroration|结束语, 演讲, 夸夸其谈
potholders|(potholder 的第三人称 -s形式) n.用以握持热锅的布垫子或厚布
publicized|公布；广告；宣传（publicize的过去分词）
paranucleate|[医] 副核酸盐
platycnemic|[医] 扁胫骨的
plaited|把…编成辫绳( plait的过去式和过去分词 )
pantological|百科全论的, （系统地论述）人类全部知识的
petulance|易怒, 坏脾气, 使性子
prattled|（小孩般）天真无邪地说话( prattle的过去式和过去分词 ); 发出连续而无意义的声音; 闲扯; 东拉西扯
precancel|(收寄大宗邮件或邮包时)预先盖销(邮票)
photodromy|[医] 光动[现象]
pirouetting|作皮鲁埃特旋转( pirouette的现在分词 )
pleuritic|肋膜炎的, 引起胸膜炎的
pterosauria|翼龙目
patriarchism|[法] 宗法主义, 族长政治
pneumotoxin|肺炎球菌毒素
postanal|[医] 肛门后的
procuracies|代理；代理权；检察院
preaseptic|[医]无菌外科以前的
pretzels|椒盐卷饼, <美俚>法国号( pretzel的复数形式 )
partitioned|分区的；分割的；分段的
potheads|瘾君子；巨头鲸鱼
petrolic|石油的, 汽油的, 汽油发动机的
