internet|互联网
inattentive|不注意的, 怠慢的, 疏忽的
impaneled|列名在陪审名单, （为审理某一案件）挑选（陪审团）( impanel的过去式和过去分词 )
infamous|无耻的, 不名誉的, 声名狼藉的
impanelled|列名在陪审名单, （为审理某一案件）挑选（陪审团）( impanel的过去式和过去分词 )
intertwist|(使)绞合, (使)搓合
inclosed|密闭的；封密式的
incalculably|不可胜数地, 无数地
intraocular|眼内的
incohesion|[物]无胶粘性,无内聚力
interwound|interwind的过去式和过去分词
ideamonger|提出新构想的人
invigilate|看守, 监考
incitement|[法] 煽动, 刺激, 怂恿犯罪
insoul|赋予灵魂
ideologist|思想理论家
imageries|(imagery 的复数) n. 肖像, 比喻, 雕刻
invulnerably|invulnerable（不会受伤害的, 刀枪不入的）的变形
incomparable|无比的, 不能比较的
imponderable|无重量的, 无法计算的, 不可估价的
innocents|无辜者（尤指天真无邪的孩子）( innocent的复数形式 )
intradermal|皮内的, 皮层内的
imperiled|危及；使陷于危险
intrapolar|[医] 极间的
incurious|无好奇心的, 不关心的, 平凡无趣的
incapacitant|失能毒剂
indulgently|放纵地, 纵容地
intersystem|[计] 系统间
isotonically|isotonic的变形
impeccancy|impeccant的变形
illus|插图；实例；说明
irreflexive|不反射的
intruded|推进的；侵入的
imbrued|（尤指以血）玷污, 把…浸, 使充满( imbrue的过去式和过去分词 )
indissolubly|不能溶解地, 不可分解地
inaccurately|不精密地, 不准确地
incurring|招致（遭受）
iguanodont|【动物学】具鬣蜥齿的；【古生物】属禽龙科的
impious|无信仰的, 不敬神的, 不虔诚的, 不孝的
interchain|[化] 链间的; 链与链之间
irishism|爱尔兰特色, 爱尔兰风俗
israelitish|犹太人的,希伯来人的,古以色列(人)的
intrusions|闯入( intrusion的复数形式 ); 打扰; （对某事的）干扰; 干涉
incurvature|内曲, 内弯
insulance|绝缘电阻, 介质电阻
incising|（在表面）雕, 刻( incise的现在分词 )
ingenue|天真无邪的姑娘, 扮演天真姑娘的女演员
indusial|有关羊膜的, 幼虫膜的
iamatology|药疗学
intercept|截取, 妨碍, 截距
inaugurates|为…举行就职典礼( inaugurate的第三人称单数 ); 为…举行仪式, 为…举行落成[开幕]仪式; 开创, 创始
isolationist|孤立主义者
infestation|骚扰, 大批出没, 横行
induna|非洲东南部祖鲁(Zulu)人的族长
indrawing|吸入, 纳入
initialled|用姓名的首字母作标记（或签名）于( initial的过去式和过去分词 ); 草签
intourist|前苏联国际旅行社
idiolysin|[医] 自发溶素
imi|intermediate maintenance instructions 中间维护指令
instantial|实例的 , 提供实例的
intimidatory|恐吓的,威胁的
intratubular|[医] 小管内的
inconsumably|inconsumable的变形
immusical|(=unmusical)不和调的, 对音乐不感兴趣的
immy|<美口>(游戏用的)彩色玻璃弹子
ionised|电离（等于ionize）
inferences|推论( inference的复数形式 ); 推理; 推断结果; 结论
incorporeal|无实体的, 灵魂的, 无形体的
intemperance|不节制, 过度, 酗酒
infaunal|infauna（底层水生动物, 底内动物, 海底动物, 潜底性动物 ）的变形
immigrator|(外来)移民
impetrated|祈求, 祈求得到( impetrate的过去式和过去分词 )
insolvably|insolvable的变形
intimidation|恐吓, 威胁
irked|<正, 文>使烦恼, 激怒( irk的过去式和过去分词 )
inducted|使正式就任( induct的过去式和过去分词 )
inceptions|(inception 的复数) n. 起初, 获得学位
incunabula|摇篮期, (在欧洲指1500年以前印的)古版本
ironed|熨平( iron的过去式和过去分词 ); 用鱼叉叉（鱼）; 用铁铸成; 给…加铁具（以使牢固）
idiophone|[乐] 非膜质打击乐器,如三角铁
inviscate|[医]食物混涎法
inbreathed|吸入( inbreathe的过去式和过去分词 )
imprinting|[计] 印刷, 盖印
insularity|岛屿生活状况, 孤立, 岛国性质
intrust|信赖, 信托, 交托
imaginable|可想像的, 可能的
inspanned|<南非>套轭于, 套牛马于车, 把牲口套于车上( inspan的过去式和过去分词 )
imminence|逼近, 危急, 迫近的危险, 急迫
intriguant|阴谋者, 私通者
impendence|迫切, 危急
immittance|[电]导抗
inpatients|(inpatient 的复数) n. 住院病人
irradiant|光辉的, 灿烂的
issuances|(issuance 的复数) n. 发行, 发布
intransitive|不及物的
ironlike|iron的变形
interleave|插入(纸)
indemnify|赔偿, 补偿, 保护, 保障
inflictor|[法] 科罚者, 处罚者, 加害者
ichthyolitic|鱼化石的
inspiringly|鼓舞地;启发地
inhered|存在( inhere的过去式和过去分词 )
inchoateness|inchoate的变形
irid|鸢尾科植物
inkless|无墨水的, 无墨汁的
insectlike|insect的变形
insatiety|不过饱；不足饱
interosseous|[解]骨间的,小腿骨间的, 前臂骨间的
inaurate|[医]（拉inauratueus）金黄色
intervale|丘陵间低地
ibid|如上, 同前
inhibiting|[计] 禁止的, 抑制的
intown|市中心的
invokes|援引( invoke的第三人称单数 ); 行使（权利等）; 祈求救助; 恳求
inhesion|内在, 天赋
iceboating|冰帆
ionium|锾(钍同位素)
inhabited|有人居住的
iffy|富于偶然性的, 可怀疑的, 未确定的
ionises|(ionise 的第三人称 -s形式) v.<主英>=ionize
intercolline|位于小山与小山之间的
invocates|<古>调用（invocate的第三人称单数形式）
infumated|[医]（拉infumatus）烟色的
interned|被拘禁人
inviscid|非粘滞性的, 无韧性的, 不能展延的
inspans|<南非>套轭于, 套牛马于车, 把牲口套于车上（inspan的第三人称单数形式）
imbrown|着褐色, 使成淡黑
inequiaxial|不等轴的
intendance|监督, 行政管理部门, 管理
imbricate|(使)边缘重叠成瓦状
ido|（联合国）工业开发组织（Industrial Development Organization）
implacable|不能安抚的, 难和解的, 不变的
incage|(=encage)囚禁
innutrition|营养不良
illuminative|照明的, 启蒙的, 装饰的
inscribes|写, 刻( inscribe的第三人称单数 )
imminency|迫切, 急迫
interfering|干涉的, 多管闲事的
initiators|(initiator 的复数) n. 创始者, 首倡者, 引爆药
instituting|建立（institute的现在分词形式）
inwrap|包囊,围绕...
isoallyl|(=propenyl) 丙烯基
imperious|专横的, 傲慢的, 迫切的
illusionist|幻想家, 魔术师
ingrowth|向内成长, 长在肉内, 向内成长物
ijussite|棕闪钛辉岩
interclass|年级之间的
inobservancy|忽视
itabirite|铁英岩
isonitroso|异亚硝基
impugnable|可责难的, 可抨击的
icefalls|(icefall 的复数) n. 冰川陡峭部分, 冰崩
impelling|强有力的, 迫使性的
isoprenaline|[药]异丙(去甲)肾上腺素
impeached|控告（某人）犯罪( impeach的过去式和过去分词 ); 弹劾; 对（某事物）怀疑; 提出异议
inhaled|吸入( inhale的过去式和过去分词 )
interweaving|使（与…交织）( interweave的现在分词 )
israelite|以色列人的；犹太人的
improvisator|即兴创作者, 即席演奏者
imposter|冒名顶替者, 骗子
imaginarily|想象中地(imaginary的变形)
irwin|欧文（男子名, 姓氏）
inculpatory|使人负罪的, 责难的
intermeshing|(intermesh 的现在分词) v.使互相结合,使互相啮合
interpol|国际刑警组织
isopropenyl|异丙烯基
inexpertness|不熟练, 拙劣
indochina|印度支那
includable|可包括在内的
interloper|闯入者, 好事者, 无执照营业者
interlocutor|对话者, 谈话者
interflow|合流, 混合
isoglossal|isogloss的变形
indorsing|签名于票据等的背面, 认可( indorse的现在分词 )
internodes|(internode 的复数) [医] 结间部
intenser|(intens 的比较级) abbr. intensified 强化的; intensify 加强; 增强; intensive 加强的
inunct|[网络] 开了
intelligibly|易理解地
illegitimate|不法的, 私生的, 不合规则的, 不合理的, 不符合习惯的
impeach|控告, 怀疑, 检举, 弹劾
intagli|刻有凹纹图形的宝石( intaglio的名词复数 ); 凹雕, 阴文
interspersed|[医]散开的; 点缀的
intermalar|[医] 颧骨间的
iman|伊玛尼（回教首领）；伊曼（女子名）
intertwined|缠结在一起( intertwine的过去式和过去分词 )
invidious|引起反感的, 惹人不快的, 不公平的, 诽谤的
immotile|[生]不能游动的
intervolve|互卷, 卷合, 互相牵连
irredentism|民族统一主义
ikon|圣像, 画像
isoscope|同位素探伤仪
inutile|无益的, 无用的
indogen|[机] 根
inquisitor|询问者, 审问者, 检察官
ions|离子（ion复数）
incienso|香木
illusorily|illusory的变形
ironshot|铁质斑彩
inertias|(inertia 的复数) n. 惯性, 惰性, 迟钝
inequities|不公平, 不公正( inequity的复数形式 )
institutive|创始的；起创立作用的；与创立有关的; 为习惯(或法律)所认可的; 指导性的
incubous|[植](叶子)蔽前式的
intuitivist|直觉主义者
inaugural|就任的, 开幕的
incliner|incline的变形
increaser|增加的
isomeride|同分异构体
invalidator|invalidate的变形
invaders|侵入种；侵略者（invader的复数）
illiteracies|文盲, 无知, 缺乏教育( illiteracy的名词复数 )
ivied|常春藤遮盖着的
inhalational|吸入的
immortelle|不凋花
infuriates|使大怒, 激怒( infuriate的第三人称单数 )
inbuilt|内藏的；嵌入的；内置的
injustices|不公平( injustice的复数形式 ); 非正义; 待…不公正; 冤枉
improvisor|即兴诗人, 即兴演奏者, 即兴演唱者
indexterity|缺乏技巧或灵活
ischidrosis|[医] 闭汗
industrials|工业股票
intra|[计] 节点内
indivisibly|不可分割地
inessential|无关紧要的
interword|[计] 字间
interlaying|插入中间, 插于中间装饰( interlay的现在分词 )
incorporable|可结合的, 可包含的
ineluctably|不可避免地；必然地
insemination|播种, 受胎, 授精
impetiginous|[医]小脓疹的, 像小脓疹的
ingemination|ingeminate的变形
improvises|临时制作, 临时凑成( improvise的名词复数 ); 即兴创作（音乐、台词、演讲词等）
iconomachy|对偶像的敌视
igorot|伊哥洛人, 伊哥洛语
inartificial|天然的, 朴实的, 缺乏艺术性的
interamnian|位于两河之间的, 被河围绕的
indorsation|背书
iliocostal|[医] 髂肋的
intradermic|[医] 真皮内的
insets|插入物, 插进( inset的名词复数 )
iago|埃古(莎士比亚悲剧《奥赛罗》)
isurus|[医]鲭鲨
itches|痒( itch的名词复数 ); 渴望, 热望
imperatorin|[化] 白茅苷; 前胡醚; 王草素
irelander|[网络] 爱尔兰人
intramural|校内的, 内部的
introductive|介绍的, 前言的, 序文的
insentience|无感觉
increscence|(月)盈, 渐增加
inculcator|教诲者
ileotomy|回肠切开术
intaglios|(intaglio 的复数) n. 凹雕, 凹雕玉石
indolence|怠惰, 无痛
inlandish|本地的, 内地的
instore|库存的, 仓库内的；在仓库内进行的
iyar|(历法)依雅尔月(即犹太教历2月,犹太国历8月, 在公历4、5月间,共29天)
impanation|[宗]圣体圣餐合一说( 指祝圣后基督的肉体和血便存在于作圣餐用的面包和葡萄酒中)
interceded|斡旋, 调解( intercede的过去式和过去分词 ); 说情
idly|懒惰地, 空闲地
imbed|[计] 嵌入
inappealable|[法] 不能上诉的
introd|[医][=introduction]介绍, 序论, 带进
internasal|鼻骨间, 鼻孔间
indubitable|无疑的, 确实的, 明显的
impost|税款, 关税
innholder|(=innkeeper)客栈老板, 旅店店主
installers|(installer 的复数) n. 安装者
ibsenian|易卜生的
inscrolling|把……载入卷册
idealities|理想；想象力；虚构事物
intendancies|监督官之职, 监督团( intendancy的名词复数 )
incineration|烧成灰, 焚化, 灰化
idealizes|理想化, 观念化( idealize的名词复数 )
intubates|把管子插进（intubate的第三人称单数形式）
intravesical|[医] 膀胱内的
intensities|强烈( intensity的复数形式 ); （感情的）强烈程度; 强度; 烈度
ichthyotoxin|鱼毒素
illiterates|目不识丁者( illiterate的复数形式 ); 无知
impoliticly|失策地, 不得当
infolded|包, 抱( infold的过去式和过去分词 )
intriguery|阴谋；诡计；复杂的事；私通 (intrigue的变形)
impropriate|把教会财产占为己有
implicant|[计] 蕴含
introverted|内向型性格的, 内倾的
intercoms|内部通话系统( intercom的复数形式 )
illuviation|[地质]淀积作用
intimating|示意, 暗示( intimate的现在分词 )
insociable|不爱社交的, 不友善的
interpleader|[律]交互诉讼(者)
incoercible|不可强迫的, 不能压制的
ingrownness|ingrown的变形
imagoes|成虫( imago的名词复数 )
incumbering|妨害, 阻碍( incumber的现在分词 )
isopor|地磁等年变线
infra|在下, 以后
isidorian|Isidore of Seville, Saint的变形
inseminate|播种, 栽植, 使受胎
intraspecies|[生]种内的
inflammable|易燃的, 易怒的
ijolite|霓霞岩
injunctive|命令的, 禁令的, 指令的
inroads|侵犯, 侵入; 侵害; 成功进入新领域; 进展( inroad的名词复数)
investigable|可调查研究的
imps|（故事中的）小恶魔( imp的复数形式 ); 小魔鬼; 小淘气; 顽童
indan|[化] 2,3-二氢茚; 茚满(曾称)
inweaves|使交织, 使合织, 使织入（inweave的第三人称单数形式）
incendiaries|放火的( incendiary的名词复数 ); 纵火的; 能燃烧的; （人或行为）煽动性的
isfahan|伊斯法罕（伊朗城市）
irreformable|不可改造的,难以纠正的
intarsiate|木造镶嵌细工的
inveigh|痛骂, 漫骂, 臭骂
interprocess|[计] 进程
immaterially|不重要地; 无形地; 非实质地; 非物质地
intramurally|内部地
intercropped|(intercrop 的过去分词) vt. 间作
intertwines|缠结在一起（intertwine的第三人称单数形式）
inapparently|不显性的; 隐性的
illusive|幻影的, 错觉的, 迷惑人的
invocative|祈求的, 祈愿的
isocracy|权力平等主义
ixion|[希神]伊克西翁(拉庇泰王)
infantas|(infanta 的复数) n. 郡主, 公主
idolizing|将（某人）当作偶像崇拜( idolize的现在分词 )
infilling|填入, 填补物
intarsist|细木镶嵌装饰匠
ineluctable|不可避免的, 无法逃避的
informalize|使不拘礼节, 使不拘形式
inlay|嵌入, 镶嵌, 装帧
inexpiably|inexpiable的变形
insuccess|没有成功
invalidly|无用地;无价值地
inlier|内座层
imbruement|imbrue的变形
impudent|鲁莽的, 卑鄙的, 厚颜无耻的
inflicting|把…强加给, 使承受, 遭受( inflict的现在分词 )
informing|增长见闻的；提供情报的；鼓舞的
isagogics|[用作单数]; 入门研究; 基督教《圣经》注解入门
investitures|授权, 授职（仪式）( investiture的复数形式 )
imitant|伪造[代用]的物品[产品]
iodinating|碘化；以碘处理
idylls|描写田园生活的短诗( idyll的复数形式 ); 一段愉快的乡村生活
intensifies|（使）增强, （使）加剧( intensify的名词复数 )
isth|isthmian 地峡的; isthmus 地峡
indorses|签名于票据等的背面, 认可（indorse的第三人称单数形式）
internation|[计] 国际
inflamer|燃烧器, 燃烧物
indianian|印第安纳州（美国中部的州） (Indiana的变形)
immobilizer|牲畜宰前麻昏器, (猪)麻醉器
imbroglios|一团糟, 错综复杂的局面( imbroglio的名词复数 )
illiterately|文盲的
inelegant|不优美, 不雅, 粗野
italianist|意大利研究者, 意大利语研究者
inflight|飞行中发生的, 飞行中进行的
iniquity|不公正, 不公正行为
irradiations|照射；发光, 放射
imminentness|imminent（即将发生的）的变形
infragenual|[医] 髌下的
immobilising|(immobilise 的现在分词) vt. 使不动, 使固定, 收回(硬币)使不流动, 使不能调动, 使无机动性
immunotoxin|抗毒素, 免疫毒素
illocution|[语][哲]语内表现行为(指在特定语境中一讲出话即完成的言语表达行为,如答应、允许等)
instars|(instar 的复数) n. 龄(幼虫两次蜕皮间的虫期)
impetuous|冲动的, 猛烈的, 轻率的, 狂暴的
isotherm|等温线
idesia|山桐子
isochronic|[医] 等时的
isogen|等基因
ios|网间网操作系统（Internet work 0perating System）；国际标准化组织（International Organization for Standardization）；仪表操作台（Instrumentation Operations Station）
inorb|<诗>包围, 围绕
inefficiency|无效率, 无能
indemnifying|保障( indemnify的现在分词 ); 保护; 使免于受罚; 补偿
immunising|(immunise 的现在分词) vt. 使免除, 使免疫
ineducable|难于教育的, 无法感化的
immortalizer|immortalize的变形
insertional|insertion（插入；嵌入）的变形
inkstands|墨水瓶；墨水台（等于inkwell）
insessorial|习惯于栖木的, 适合于栖息的
interlocking|连锁的
inliers|(inlier 的复数) n. 内座层
imploded|（使）向心聚爆( implode的过去式和过去分词 )
infold|包, 抱
inertance|[电] 无抗
inspiratory|吸气的, 吸入的
issuer|发行者
interchanged|（指两人等）交换事物, 互换( interchange的过去式和过去分词 ); 使两人或两物相互易位; （使某事物）交替变化
inadvertency|漫不经心, 粗心大意, 疏漏, 错误
islet|小岛
interferer|干涉
immorality|不道德, 道德败坏, 不道德的行为, 伤风败俗的行为
inexperience|无经验, 不熟练
immunol|immunologic(al)(ly) 免疫（学）的（地）; immunologist 免疫学者; immunology 免疫学
inducing|产生诱导作用的
ideaed|主意多的
insnared|落于陷阱, 诱入圈套( insnare的过去式和过去分词 )
isthmus|地峡, 峡部
intranatal|[医]产期内的,生产时的
incites|刺激, 激励, 煽动( incite的第三人称单数 )
iridocele|[医] 虹膜突出
incisive|敏锐的, 机敏的, 激烈的, 切入的, 锋利的
immobilizing|使不动, 使固定( immobilize的现在分词 )
infamousness|infamous的变形
interfinger|[地]相互贯穿,互相楔接
isodimorphic|isodimorphism的变形
intermix|(使)混和, (使)混杂
incinerator|焚烧装置, 焚烧炉, 焚尸炉
incloser|inclose的变形
idemfactor|[数]幂等矩阵, 等幂矩阵
immortalise|使不朽, 使不灭, 使不死, 使永生
incendiary|放火的, 煽动的, 燃烧的
itemize|分条详述, 详细列举
immunization|免疫
infratubal|[医] 管下的
idealised|（英）把…理想化（等于idealize）
interminable|无限的, 冗长的
implanting|[医]植入术
interaxial|轴间的
inducibility|[生化]可诱导性(指酶分子在存有适当的去阻遏物的情况下可以诱导产生)
ibsenism|易卜生戏剧创作法, 易卜生主义
indignantly|愤怒地
infancies|婴儿期, , 幼年时代（infancy的复数形式）
incomplex|缺乏复杂性的
intracolic|[医] 结肠内的
infraglenoid|[医] 关节盂下的
incises|（在表面）雕, 刻( incise的第三人称单数 )
inshoot|内曲线球
insensately|无感觉地; 无理性地
interpolate|篡改, 插入新语句, 添写进去
inequal|不平等的, 不齐平的
inexpungible|不能除去的, 无法消灭的
ionospheric|[地物] 电离层的（离子层的）
imperially|帝王般地, 威严地, 庄严地
immolates|宰杀…作祭品（immolate的第三人称单数形式）
impluvium|[古罗马](住宅前或庭院中用来积存雨水的)方形蓄水池
inveteracy|根深蒂固, 积习
irade|敕令
iolite|[矿]堇青石
injecting|（给…）注射（药物等）( inject的现在分词 ); （给…）注射（液体）; （给…）添加; （给…）投入（资金）
inimical|有敌意的, 有害的, 抵触的
inglorious|不名誉的, 可耻的, 不出名的
inwall|用墙围住
intervolving|互卷, 卷合, 互相牵连( intervolve的现在分词 )
illuming|发( illume的现在分词 )
incuriously|无好奇心地; 不关心地
integers|整数( integer的复数形式 )
impregnation|充满, 受精, 注入
incognizant|不认识的, 不可知的
insertions|(insertion 的复数) n. 插入, 刊载, 插入物
inflates|使充气（于轮胎、气球等）( inflate的第三人称单数 ); （使）膨胀; （使）通货膨胀; 物价上涨
ionomer|[化]离聚物,离子交联聚合物
inductional|induction的变形
impark|把...围于猎苑内, 围作公园
inkwells|墨水池( inkwell的复数形式 )
inboard|内侧的
introducer|介绍人, 引进者, 创始者
inherently|内在地, 生来地, 固有地
incubating|（卵）被孵化( incubate的现在分词 ); 孵（卵）; <医>潜伏; 逐渐形成
invalidate|使无效
inceptively|inceptive的变形
inerratic|规则的, 稳定的,有固定规律的
incarnates|赋予（思想、精神等）以人的形体( incarnate的第三人称单数 ); 使人格化; 体现; 使具体化
intervolved|互卷, 卷合, 互相牵连( intervolve的过去式和过去分词 )
impeachments|(impeachment 的复数) [法] 控告, 检举, 弹劾
isophorone|异佛乐酮
incast|[英方]添头
introitus|入口, 口, 体腔的洞口, 阴道口
isopod|等足类动物
iodid|碘化物
inhalations|(inhalation 的复数) n. 吸入
incinerators|（废物的）焚化炉( incinerator的复数形式 )
ichthyocolla|鱼胶
inarch|接枝, 插枝
intextine|[医]外壁内层（孢粉）
imperilment|imperil的变形
incrementing|(increment 的现在分词) n. 增加, 增值, 盈余
icequake|冰震(大冰块的崩裂)
intoed|足趾内弯的
illaqueation|[医] 倒睫拔除法
inexpert|不熟练的
isopleth|[计] 等值线
insignias|证章, 官职的标志（如肩章、领章等）( insignia的名词复数 )
irritated|被激怒的, 生了气的, 变粗的, 因刺激而发炎的, 发红的
intituling|称为；以…为标题
interpubic|[医] 耻骨间的
isotype|同位型
inventors|发明家, 发明者( inventor的复数形式 )
isomerized|异构化的
innovators|改革者( innovator的复数形式 ); 刷新者
iritis|虹膜炎
impersonates|扮演( impersonate的名词复数 ); 模仿, 假冒
insolvable|不能解决的
initialing|[法] 草签, 缩写的签名, 花押
ineffectual|无效的, 无益的
inferable|能推理的, 能推论的
isothermal|等温的, 等温线的
incisors|切牙, 门齿( incisor的复数形式 )
interbedded|层间的,夹层之间的
insouciant|漫不经心的, 无忧虑的, 不在意的, 满不在乎的
intension|强度, 内涵
immunize|使免疫, 赋予免疫性
ionian|爱奥尼亚的, 爱奥尼亚式的
imbrutement|野蛮, 残忍
inartistic|非艺术的, 不懂艺术的, 无趣味的
impound|关在栏中, 拘留, 充公
impounded|依法没收, 扣押（某物）( impound的过去式和过去分词 ); 将（违章停放的汽车或走失的动物）暂存待领
ingrafted|接枝, 嫁接；灌输
intermontane|[地]山间的 亦作intermont或intermountain
interties|[电] 互结
interdicting|禁止（行动）( interdict的现在分词 ); 禁用; 限制
imageable|[计] 可成像的,能引起意象的
intumesced|（因受热等）膨胀( intumesce的过去式和过去分词 ); 肿大; 隆起; 沸腾
irradiated|照亮( irradiate的过去式和过去分词 ); 使发光; 使生辉; 用X射线等治疗
impetrate|祈求, 恳求
indianite|粒钙长石
innominate|无名的, 匿名的
indagation|调查, 研究
infinitively|infinitive的变形
inhibitory|禁止的, 抑制的
imams|(imam 的复数) n. 阿訇, 伊玛目
iridotasis|[医] 虹膜展开术, 博森氏手术
ishmaelitism|以实玛利人；被逐出者 (Ishmaelite的变形)
interluder|穿插；间歇；穿插事件；插曲；幕间(或穿插的)表演；幕间(或穿插的)节目；幕间幽默短剧
isomorphous|同形的
intrenchment|堑壕
intersperse|散布, 点缀
inenucleable|不能剜出的
imparadising|使登天堂, 使成乐园( imparadise的现在分词 )
interred|埋, 葬( inter的过去式和过去分词 )
immarginate|[生]无缘的
ism|主义, 学说, 制度
incurvated|（使）向内弯曲, （使）弯曲( incurvate的过去式和过去分词 )
ingrately|ingrate的变形
immigrating|移入( immigrate的现在分词 ); 移民
immerging|浸入( immerge的现在分词 ); 浸没; 隐没; 埋头
infects|（受）传染( infect的第三人称单数 ); 污染; 影响
impassivity|无感情, 平静, 泰然自若
imposers|(imposer 的复数)  拼版工人
intraosseous|[医]骨内的
inclose|围起来, 附上
imido|[化]酰亚胺的
impostorship|骗子；冒充者 (impostor的变形)
isoleucine|[生化]异亮氨酸
inflecting|变（音）, 转（调）( inflect的现在分词 ); 使（词）屈折变化; 屈折变化
impulsivity|认知的熟虑性？冲动性
innervate|使受神经支配, 使神经分布于
involucral|总苞的
incalescent|[化]渐热的, 温度渐增的
intelsat|[计] 国际通信卫星
importunes|纠缠, 向（某人）不断要求( importune的第三人称单数 ); （妓女）拉（客）
instructs|教( instruct的第三人称单数 ); 通知; 教授; 命令
iodation|[化] 碘化作用
infill|填实(空隙等)
isomerism|异性
inactivated|使不活泼, 阻止活动( inactivate的过去式和过去分词 )
intimist|喜欢描写个人情感的画家
inquest|审讯, 讯问, 验尸
illust|今市子（人名）
indexically|索引地, 像索引排列地
inveigle|诱骗；诱使
incompetency|不胜任, 不够格, 不合格, 不适合, 无能力, 不熟练, 无资格
ilex|冬青属植物
interacinar|[医] 腺泡间的
introspect|vi. 进行反省
infraprotein|[医] ┏, 变性蛋白
intros|(intro 的复数) n. 介绍
irksomely|讨厌地;厌恶地
imploding|（使）向心聚爆( implode的现在分词 )
involucred|[医]具总苞的
ironies|反语( irony的复数形式 ); 冷嘲; 具有讽刺意味的事; 嘲弄
insulinize|用胰岛素治疗
intumesce|膨胀, 肿大
idiologism|自解(言)语症
imputative|好归罪于别人的, 归咎性的
impended|进行威胁, 即将发生( impend的过去式和过去分词 )
imping|接枝, 接穗
indues|授予, 赋予（indue的第三人称单数形式）
instr|指示书（instruction）；指导人（instructor）
invalidism|病弱, 伤残
imposes|强迫( impose的第三人称单数 ); 勉强（某人做某事）; 推行; [印刷]把…装版
iiasa|International Institute of Applied Systems Analysis 国际应用系统分析协会
intrafusal|梭内的
interjectory|感叹的, 感叹词的
immoderacy|过度, 无节制
inducts|使正式就任( induct的第三人称单数 )
itched|发痒( itch的过去式和过去分词 )
innerving|刺激神经, 鼓舞, 使活跃( innerve的现在分词 )
irreality|缺乏真实性, 虚构
inclines|斜坡( incline的名词复数 ); 斜度
immortally|不朽地, 无穷地, 无限地
incitingly|incite的变形
increasedly|增多地, 增加地
impanel|列在陪审员名单, 从陪审员名单中选定
imbruing|（尤指以血）玷污, 把…浸, 使充满( imbrue的现在分词 )
irishry|（集合词）爱尔兰人, 爱尔兰人性格
intergroup|团体之间的
inport|[化] 进口
ineffability|ineffable的变形
interloped|闯入；干涉；[法] 侵占他人权益
irradiative|有放射力的, 有启发的
inferring|推断( infer的现在分词 ); 间接地提出; 暗示; 意指
inaugurals|就职典礼（inaugural的复数形式）
illicium|[医][拉]八角属：为木兰科灌木的一属。其果实, 八角, 是茴香油的来源
incautious|不小心的, 轻率的, 不注意的
ioniser|离子发生器
immortals|不朽的人物( immortal的复数形式 ); 永生不朽者
iceni|[复] n.[总称][英史]爱西尼人(古代英格兰东部克尔特人的一个部落)
inkfish|乌贼, 墨鱼
indented|犬牙交错的；受契约约束的；[印刷]缩进排印的
ingrowing|向内生长, 生进肉内的
inderite|多水硼镁石
ingenuities|(ingenuity 的复数) n. 心灵手巧, 精巧, 精巧设计
improperly|[计] 不适当地
imputable|可归罪的, 使负责的, 可嫁祸的
implicating|牵涉, 涉及（implicate的现在分词形式）
involucrum|[植]总苞, [解]包膜
immeasurable|不可测量的, 无限的, 广大无边的
impenitence|不知悔改, 顽固
ionizes|& vi. （使）电离, （使）成离子（ionize的第三人称单数形式）
ironshod|[网络] 无聊
ironmaster|铁工厂厂长
inhabits|居住于, 栖居于( inhabit的第三人称单数 )
intrant|入学者, 就任者
irishwomen|爱尔兰妇女；有爱尔兰血统的女子
isotron|同位素分析器
illusively|错觉地；幻影地
inexpugnably|inexpugnable的变形
interionic|[化]离子间的
immoralize|使不道德
inspectress|女检查员,(负责检查旅馆女服务员工作的)女监督
inframammary|[医] 乳房下的
incisor|门牙
insipidity|无味, 清淡, 无生气
interlopers|闯入者( interloper的复数形式 ); 干涉他人事务者
insalutary|不卫生的, 不健全的
immunise|使免除, 使免疫
intones|吟诵, 吟咏( intone的第三人称单数 )
inflexed|向内[向下]弯的,内折的
ironfisted|吝啬的, 残忍的
immersions|(immersion 的复数) n. 沉浸, 专心, 陷入
invultuation|(巫术)显形
ischiocele|[医] 坐骨孔庙
inoxidable|不可氧化的
ingratiating|逢迎的, 迎合的
isthmic|地峡区域之居民
idiospasm|局部痉挛
inappellable|不得上诉的
inosculation|吻合, 连结, 接合
isomerase|[生化]异构酶
immunoassay|[化] 免疫测定
incremental|增加的, 增值的
instipulate|[医]无托叶的
isaiah|以赛亚(希伯来预言家), <<以赛亚书>>
imperatively|命令式地
importuning|纠缠, 向（某人）不断要求( importune的现在分词 ); （妓女）拉（客）
isabella|伊莎贝拉（女子名）
insuring|保证( insure的现在分词 ); 确保; 为…保险; 投保
interlinked|互连的
intrusional|intrusion的变形
importuner|importune的变形
irresolution|无决断, 优柔寡断
indomethacin|消炎痛
impearls|使形成珍珠状, 用珍珠装饰（impearl的第三人称单数形式）
isagogic|(尤指基督教《圣经》注释)入门的(亦作isagogical)
intralumbar|[医] 腰髓内的, 脊髓腰段内的
imitators|模仿者, 仿效者( imitator的复数形式 )
immoderate|无节制的, 过度的, 不合理的, 过分的
idiomatical|惯用的;特色的
idiolect|个人言语方式
impactful|有效的, 有力的
infimum|[数]下确界
idylist|田园诗人;牧歌作者
imagistic|意象主义的; 意象派的
indorsement|(=endorsement)票据等后面的署名, 认可
inhalation|吸入
infrequency|稀罕
incide|[医]（拉）切, 割
incendivity|可燃性,引火性(能)
