new|新的
nebs|(neb 的复数) n. 嘴, 鼻
novelization|novelize（使小说化）的变形
nagging|唠叨的, 责备挑剔的
novennial|每九年的
noncanonical|不在经典中的
natrix|游蛇属
nonliteral|[网络] 非文字；批判的实在论并不拘泥字句
narcotism|麻醉状态
nitration|用硝酸处理, 硝化, 硝基置换
nodality|波节性（原形是nodal）
nigrifies|使…成黑色；变黑
nondominant|非显性的
neared|近的；亲近的；近似的
nidor|(食品)烹烧时的香味
neuroid|神经元网络
nbg|no bloody good <英口>不好，不行
nonaddict|无瘾吸毒者
nervously|焦急地；神经质地；提心吊胆地
nymphaeum|罗马式建筑(房间), 水道口
nonrhythmic|[网络] 非节律性
narcissus|水仙
negations|否定
navaids|(navaid 的复数) n. 助航系统
nimiety|过多
naiad|水中的仙女, 女游泳家
nondeciduous|不脱落的, 不落叶的
nidge|以凿子修削(石头)
niblick|九号铁头球棒
nucleases|(nuclease 的复数) n.[生化]核酸酶
nosomania|疾病妄想
neuromast|[动]神经丘
nibblers|(nibbler 的复数) n. 切片机；毛坯下料机, 步冲轮廓机
naif|(=naive)像孩子的, 天真的
neutrinos|中微子( neutrino的名词复数 )
neurad|[医] 向神经
nilgai|[动]蓝牛(羚的一种,分布于印度,因其雄者毛色呈蓝灰而得名)
natter|抱怨, 唠叨, 瞎扯
numdah|毡子鞍垫
nullipore|[植] 珊瑚藻, 红藻科植物
nitrofuran|[药]硝基呋喃,呋喃西林
nonrandom|非随机的
neocene|晚第三纪的
narcotizes|麻醉, 使昏迷, 起麻醉作用( narcotize的第三人称单数 )
nast|国家科技成果网；国家应用软件产品质量监督检验中心；尼泊尔皇家科学和技术学院（Royal Nepal Academy of Science and Technology）
nuthouses|精神病院
novation|更新
novelle|novella的复数形
nonpersonal|[网络] 非人性化
neurotomy|神经切除, 神经解剖学, 神经切除术
nontrade|非贸易
newcome|新到的, 新来的
nicest|最美好的, 最令人愉快的（nice的最高级）
noncellular|非细胞的, 无细胞的
nonrelative|[医]非亲缘
nervate|有叶脉的
nightwalking|夜游
nineteens|十九( nineteen的名词复数 )；（通常指在非正式谈话中）喋喋不休
negligently|疏忽地；粗心大意地
nasalizing|用鼻音发声, 使鼻音化( nasalize的现在分词 )
nephilim|拿非利人
narcotherapy|麻醉疗法
nomina|nomen的复数形
nonspectral|谱外的
nonylene|壬烯
nonarcing|无[不发]火花的, 无弧的
nuggar|(尼罗河上载货或运兵的)大驳船
nehemiah|尼希米(古希伯莱领导人), <<尼希米记>>(<<圣经>>中一卷)
noonflower|波罗门参属植物
neossoptile|雏羽
nates|臀部
northernness|[网络] 北方
notations|记号, 标记法( notation的复数形式 )
nota|背板（notum的复数）
nicknamed|给…起绰号（nickname的过去式与过去分词形式）
nitrogenize|使氮化, 使含氮
nephros|[解]肾
nods|点头( nod的第三人称单数 ); 打盹; 打瞌睡; 点头致意
noncaloric|无热量的,热量极低的
nance|女人气的男人, 搞同性关系的人
nets|网（net的复数）
nonadherent|[医] 非粘连的
neums|(neum 的复数) n. 纽玛记谱法
niobe|[希神]尼俄伯（她的十四个儿子因自夸而全被杀死, 她悲伤不已, 后化为石头）
nitrogenous|氮的, 含氮的
nonideal|非理想的
nullities|<正, 律>（尤指婚姻）法律上无效( nullity的名词复数 ); 不存在; <罕>无足轻重的人
nytril|乙酸乙烯酯和1, 1-二氰基乙烯共聚物
nard|甘松, 甘松油膏
natantly|浮在水上地
nulliparous|从未生育过者的, 未产妇的
nesty|[人名]内斯蒂
navies|海军( navy的名词复数 )
nonalcoholic|不含酒精的
necklaces|项链( necklace的复数形式 )
nonplussing|使迷惑( nonplus的现在分词 )
numbat|[动](产于澳大利亚西南部的)袋食蚁兽[土著语]
negotiated|谈判, 协商, 议定( negotiate的过去式和过去分词 ); 兑现（支票等）; 通过, 越过（险要路段）
neoytterbium|(=ytterbium)镱
neurotome|[医] 神经刀; 神经管节
naphthaline|[化] 萘
noncoherent|非相干的, 疏松的, 松散的, 不粘聚的, 不附着的, 无粘性的
nibelung|（德国传奇中）矮人种的一员；王子西格夫里特的拥护者（或追随者）
nomothetes|[网络] 梭伦被推举为立法者
nitrometer|[化]测氮管,氮量计
nucleate|(使)成核
neurectasia|[医] 神经牵伸术
nationalize|使归化, 使国有化, 使成国家, 使民族化
nameable|可指名的, 可命名的；值得注意的；值得纪念的
nucelli|珠心( nucellus的名词复数 )
numinousness|numinous的变形
neurite|[解]神经突
nymphlike|美少女似的, 仙女似的
nickelodeon|五分钱娱乐场, 一种旧式自动点唱机
noncareer|非职业的
negatived|消极的( negative的过去式和过去分词 ); <数>负的; 拒绝的; 无预期结果的
nodulizing|[化] 附聚作用; 烧结作用
nabber|抓人者
neuroses|[医] 神经机能病, 神经[官能]症
nightglow|[气]夜气辉
nestlings|婴儿；未离巢的雏鸟
nefarious|恶毒的, 极坏的
nigella|[网络] 黑种草属；大马士革黑种草；黑种草花
nepenthe|(据传说古希腊人用的)忘忧药, 解忧烦之物
naish|(Naish)人名；(英)奈什
nodulate|[植](使)生根瘤
nonsuit|诉讼驳回
nonphysical|adj. 非实体
nunatak|[地质]冰原岛峰
nudophobia|裸体恐怖
neognathae|新颚超目
neuston|漂浮生物
nymphs|宁芙；纽墨菲；居于山林水泽的仙女（nymph的复数）
neurosome|[医] 神经细胞[胞]体; 神经微粒
nonjuring|拒绝宣誓效忠的
nastic|[植]倾性的, 感性运动的
numskull|笨人, 傻瓜
nympho|慕男狂；花痴（等于nymphomania）
numero|号, 期
needful|必要的, 需要的
newmarket|纽马克特[英国英格兰东南部城镇](著名的赛马中心)
nosebleed|鼻出血
nonsegmental|[医]非节（段）的
nagel|纳高（德国拍卖行）
nonruminant|非反刍类
niellist|乌银镶嵌师
nailwort|指甲草属
noctilio|兔唇蝠属
nummulitidae|钱币虫科
noddy|笨人, 傻瓜, 黑燕鸥
nontaxable|[网络] 应征税；不补课税的
nondense|[数]疏的,无处稠密的
negligentia|[法] 过失
nitraniline|[化] 硝基苯胺
nefandous|说不出口的,邪恶的, 讨厌的
nuns|（通常指基督教的）修女, （佛教的）尼姑( nun的复数形式 )
norbergite|块硅镁石
nonwhite|非白人的
nonmedical|非医学的
noam|诺姆(Noah的异体)(m.)
niphablepsia|[医]雪盲
nonrecourse|(=without recourse)无追索权
nachschlag|[音]后倚音
nutshell|坚果壳, 极小的东西
ninepin|九柱戏的木柱
nerviness|肌肉发达, 有勇气, 厚颜
novae|新星（nova的复数）
newsstand|报摊, 报刊出售处
novillero|<西> n.见习斗牛士
nonjurant|不愿宣誓的人, 拒誓者
nits|（虱等的）幼虫( nit的复数形式 ); 卵; <英口>糊涂虫; 傻瓜
nictitating|眨眼( nictitate的现在分词 )
naso|national astronomy space observatory 国家天文学空间观测台，国家航天天文台
narwal|[动] 一角鲸,独角鲸(一种齿鲸,雄性有一长牙)
nuttallia|[医] 纳脱原虫属
numberplate|号码牌
neurospasm|[医] 神经性痉挛
nondepletion|非衰竭状态
nightmares|噩梦( nightmare的复数形式 ); <口>可怕的事情, 无法摆脱的恐惧
neutrino|中微子
nerts|int. <俚>[表示厌恶、轻蔑、嘲讽等]呸,胡说
necrotise|, vt. [主英国英语]=necrotize
nervosism|神经衰弱
nonsteroid|& adj.[生化]非甾类化合物(的),非类固醇(的)
nondeparture|不背离, 不偏离[移]
nuttiest|nutty（多坚果的, 产坚果的）的最高级形式
nestings|(nesting 的复数) [计] 嵌套
nuances|细微差别
nitwitted|傻的, 笨的
nidorous|(=nidorose)腐肉臭的, 恶臭的
nerka|红大麻哈鱼
nutramin|[医] 维生素(别名)
naming|命名
nonfictional|非虚构
nasute|鼻形兵蚁(指白蚁)
notonectid|仰泳蝽
neckerchief|围巾, 颈巾
nedder|New English Dictionary 《牛津大词典》；no evidence of disease 无征兆疾病[亦作 NED]
nonobjective|非写实的, 非客观的
nacelles|(nacelle 的复数) n. 飞机的引擎机舱, 飞机的驾驶员室, 吊篮
nonferrous|非铁的
necrophaga|食尸动物
nosher|吃小吃的人, 吃快餐的人
nebulizer|喷雾器
nibbling|步冲轮廓法；抗偏驶性；分段剪切
nibbed|装了尖头的
netter|网客；网友；网虫
nonteaching|非教学的,与教学无关的
nitella|丽藻属
noisemaking|, adj. noisemaker的变形
nonnatural|非自然的, 勉强的
nitrite|亚硝酸盐
nutritionary|nutrition的变形
nontenure|[律]否认不动产转让的抗辩, (被告提出的)并未占有土地的抗辩
nominates|提名…为候选人( nominate的第三人称单数 ); 任命; 挑选; 指定（时间、日期、名称等）
nutritory|[医] 营养的
nonrecurrent|不再发生的,不反复出现的,不复发的
nepidae|[网络] 蝎蝽科；蠍蝽科；红娘华科
notochord|脊索
nayar|[地名] [墨西哥] 纳亚尔
nutcrackers|木制玩具；胡桃夹子（nutcracker的复数）
nepotistical|重用亲属的；袒护亲戚的；任人唯亲的；裙带关系的
needily|needy的变形
nonjoinder|未参加诉讼
namelessness|[医]无名
niacin|烟碱酸
nightcap|临睡前喝的酒, 睡帽
nondelivery|无法投递, 没有送达
notarizes|对…公证( notarize的第三人称单数 )
necrotize|使坏死
nonsecretor|[医]非分泌者(指具有A、B或AB血型而其唾液或其他分泌液中不含有ABO血型物质的人)
negroid|黑人似的, 象黑人的, 黑人特性的
nonpyogenic|[医] 非化脓的
nitrous|氮的, 含氮的, 硝石的
neuratrophia|[医] 神经萎缩, 神经营养不良
nobbily|贵族似地, 时髦地, 华丽地
negotiates|谈判, 协商, 议定( negotiate的第三人称单数 ); 兑现（支票等）; 通过, 越过（险要路段）
nephology|云学
nemichthys|线口鳗属
niggers|灯花
natick|纳蒂克（美国马萨诸塞州东部城镇）；纳蒂克方言
navar|[电] 使用传送波长由10和60公分的雷达
nei|别处不含（not elsewhere included）；噪声等效强度（Noise Equivalent Intensity）
nictating|眨眼；瞬目
nispero|[网络] 吴凤柿；人心果；佩罗胶
nonadmission|不接纳,不准进入
nuggets|（天然）块金, 块( nugget的复数形式 )
nitratine|[化] 钠硝石; 智利硝石; 硝酸钠
neurologists|(neurologist 的复数) n. 神经病学者, 神经科医师
naturalizes|接收（外国人）入籍( naturalize的第三人称单数 ); 使归化; 将（植物等）引进异域种植; 吸收
nant|小河谷
napalms|凝固汽油, 凝固汽油弹( napalm的复数形式 )
nimmed|偷( nim的过去式 ); 窃; 扒; 拿取
nepouite|镍绿泥石
novo|芬兰诺瓦公司
nudnick|讨厌的家伙
nectocalyx|(=nectophora)(管水母)泳钟
navigating|航行, 操纵（navigate的现在分词形式）
neuromas|神经瘤
nodulize|烧结, 粘结, 熔结
numbskull|(=numskull)笨蛋, 傻瓜
neverland|梦幻岛；永无乡（等于never-never land, 童话故事里彼得·潘生活的地方）
nival|雪的, 多雪的
neurogliosis|[医] 神经胶质瘤病
nostomania|[心]怀乡病, 怀旧
neonatus|[医] 新生儿
noms|Network Operation and Management Symposium 网络运营与管理研讨会; network operators management system 网络操作员管理系统
nonathletic|非变应性的
naturalists|博物学家( naturalist的复数形式 ); （文学艺术的）自然主义者
nonkosher|[网络] 不锈钢
natant|浮在水上的, 漂浮的, 游泳的
nazi|纳粹党人
nonexplosive|不爆炸的, 防爆炸的
nonnormal|非正规的, 非正态的
necktie|领带
nowel|[机] 下模
natters|唠叨, 瞎扯( natter的第三人称单数 )
notarizing|对…公证( notarize的现在分词 )
nandina|[医] 南天竹属
neb|嘴, 鼻
nonradiative|非辐射的, 不辐射的
nylghau|[动] (=nilgai)印度大羚羊
nonability|无能
nummary|货币的
nonoptional|没有选择的
noy|[物]纳(感觉噪度的单位)
nabbed|逮住, 捉住（某人）( nab的过去式和过去分词 )
narking|密告；作眼线
netherstock|(=stocking)长袜
neurogram|[心]记忆痕迹,印迹
nucula|小坚果
nictation|眨眼睛, 瞬目
nikko|日光（日本本州岛中部城市）
nosological|[医] 疾病分类学的
newari|[网络] 尼瓦利；尼瓦尔语；尼瓦尔人
navigates|给（船舶、飞机等）引航, 导航( navigate的第三人称单数 ); （从海上、空中等）横越; 横渡; 飞跃
nances|[哥斯达黎加] 楠塞斯
norland|北国, 北部地方
nitroso|[机] 亚硝基
nailery|制钉工厂
nona|[医] 南欧嗜眠性脑炎
natt|[人名] 纳特
niton|[化] 氡
nodded|点头；打瞌睡；摇动（nod的过去式）
nonprovided|<英>(小学)不靠地方教育当局供给经费的
nazim|警察总长(印度和伊斯兰教各国高级警官), 督军
nonvector|[生]非传病媒介
newish|尚新的
nebulae|pl. 星云
nonda|【植物】姜饼树(产于澳大利亚)；姜饼(姜饼树的果实)
neese|[人名] 尼斯
neoblastic|[医] 新组织的
neanic|[昆]蛹期的, [动]青年期的
normocyte|正常红血球
nightingales|夜莺( nightingale的复数形式 )
nostology|老人病学
nooses|绞索, 套索( noose的名词复数 )
nanaimo|纳奈莫[加拿大西南部港市](位于温哥华岛东南部, 临乔治亚海峡)
noncyclic|不定期的, 不经常的, 非周期[循环]的
needleworker|刺绣工
numerated|识数的, 有计算能力的( numerate的过去式和过去分词 )
nipa|聂帕榈, 聂帕榈果汁酒, 聂帕榈树叶屋顶
neuronism|神经元论
nonexclusive|无排他性的；非独家的
nevyanskite|天然铱锇矿
novenas|(novena 的复数) n. 连续九天的祷告式
nymphal|蛹的
nog|木钉, 根株, 支架
nist|[计] 美国国家标准及技术研究所
nickelage|镀镍
nutriments|营养物；促进生长的东西
nucleolated|有细胞核的
notching|[化] 开槽
nonmodern|[网络] 非现代的
nitrobarite|[化] 钡硝石
nontechnical|非技术性的
nooks|角落( nook的复数形式 ); 隐蔽处; 每个角落; 到处
neuroticize|[网络] 神经质
naze|海角
normalizer|[计] 标准化部件, 规整器
nightside|夜面, 阴面
nonet|九重奏曲
nanomelous|[医] 小肢的, 短肢的
nonstarter|未能出赛的马, 无成功希望的人
nodus|节, 结节, 难点
necroses|坏死
northeaster|东北大风
nociceptor|伤害感受器
novocain|<拉>[药] 奴佛卡因(一种局部麻醉剂)
nuptials|婚礼; 婚礼( nuptial的名词复数 )
nibbled|啃, 一点一点地咬（吃）( nibble的过去式和过去分词 ); 啃出（洞）, 一点一点咬出（洞）; 慢慢减少; 小口咬
narwhal|独角鲸（等于narwal）；一角鲸（一种齿鲸, 雄性有一长牙）
noiselessly|无声地, 静静地
nan|奶奶（小孩儿语）；印度, 巴基斯坦式的微微发酵的面包
nebulite|星云岩
necro|(Latin prefix—corpse or dead) （拉丁文前缀）尸体或死者
nisan|(历法)尼散月(即犹太教历1月,犹太国历7月,在公历3、4月间,共30天)
neurosarcoma|[医] 神经肉瘤
nigua|穿皮潜蚤
nestitherapy|(=nestotherapy)饥饿疗法
nucleotidase|[生化]核苷酸酶
neti|净鼻术（瑜伽洁净技法）
nicked|带切口的
noiseful|喧闹的
novelettish|<贬>柔情小说的, 伤感的
neighborless|无邻居的
nonliterary|不合标准语的
notionality|国籍
neuroclonic|[医] 神经性阵挛的
norn|诺恩(命运三女神之一)
numerating|识数的, 有计算能力的( numerate的现在分词 )
nosh|小吃, 点心
nabla|纳布拉琴, 劈形算符(数学符号), 微分算符[子]
nucleoside|[化] 核苷
nontan|(=nonontan tanning)非鞣质, 非单宁
normans|诺曼人
nidulant|[医]在腔中的, 巢状的
nemo|现场转播节目
nourishing|有营养的, 滋养多的
nacrous|真珠质的, 有光彩的
nucleophile|[化]亲核试剂
nibs|上司, 大人物
numberable|可（计）数的
nurtural|[网络] 滋养
neurosal|[医] 神经机能病的, 神经[官能]症的
nautiluses|鹦鹉螺, 缸鱼, 鹦鹉螺号( nautilus的名词复数 )
necrographer|(=necrologist)死亡启事作者
nurturing|养育( nurture的现在分词 ); 培育; 滋长; 助长
niccolous|[化] (罕用,见nickelous)(正)镍; 二价镍的
nitros|硝化淀粉
naam|[法] 扣取, 动产扣押
neuropsychic|神经精神的
neuriatry|[医] 神经病疗法
nonelastic|无弹性的
ninnies|笨人, 傻子( ninny的名词复数 )
neatly|整洁地, 干净地, 匀称地
noontide|中午, 最高点, 正午
nondeceptive|不骗人的
nontypical|非定型的, 不典型的
naughtily|顽皮地, 无礼地
nitroamine|硝胺
nabu|non-adjusting ball-up (unsolvable confusion) 无法调节的混乱（无法解释的混乱）
nematocera|[医] 长角亚目(昆虫)
needlers|(needler 的复数) n. 刺激别人者；揶揄他人者
naupathia|恶心,晕船,极端厌恶
nonactinic|无光化性(的), 非光化(的)
nordicity|Nordic的变形
nerves|神经质, 神经紧张
nicotiana|烟草
nixy|nix的阴性形式
nonsterile|[医]有菌的
naturopath|[医] 自然医[术]士
noncallable|不可赎回
neuroactive|刺激神经组织的
notional|概念的, 想像的
nonacid|非酸性的, 非酸味的
niggles|为小事操心, 吹毛求疵( niggle的第三人称单数 ); 不断地烦扰
neocyanine|新喹啉兰
nuzzles|（用鼻）掘( nuzzle的第三人称单数 ); 擦; 依偎; （用头或脸）紧挨
necroscopy|尸体剖检, 验尸
nondepositor|非储户
noo|Navy Oceanographic Office <美国>海军海洋局
nakedly|裸体地；露出地
nonopening|un. 不开孔
necrophilism|[法] 恋尸欲, 尸体色情, 奸尸
naphthalol|水杨酸萘酯
nonliquid|不是流体的, 非流动性的
nonconformer|nonconform的变形
nobby|贵族似的, 时髦的, 华丽的
nonspatial|[网络] 非空间场
neurocytoma|神经细胞瘤
necrologist|写讣告的人, 编死亡者名录的人
nottoway|[地名] [美国] 诺托韦
noodled|(noodle 的过去时) n. 面条, 笨蛋
naivete|天真烂漫, 无邪, 纯真
nigrine|铁金红石
narcomedusae|刚水母亚目
nuptial|婚礼
narial|[解]鼻孔的
narks|密告；作眼线
nemertean|[动] 纽虫(一种海虫)
neurocyte|[解]神经细胞
nonego|非我
nectarous|神酒似的, 甘美的
nucleuses|核, 中心, 核心, 细胞核, 原子核
nonwoven|非纺织的
nephelometry|用悬液计测量悬液
nyaya|[网络] 正理派；正理学派；正理论
nietzsche|尼采的
noticing|介绍( notice的现在分词 ); 关注; 关照; 说到
neologist|新语创造者, 新语使用者, 新教义信奉者
neigh|马嘶声
northing|北向纬度差, (天体的)北偏, 北航
nonsurgical|[医] 非外科的
neurility|[医] 神经性能
nutate|[植](茎的)俯垂, 下垂
nitwit|笨人, 傻子
natures|性质（nature的复数）
neeld|[人名] [爱尔兰人、苏格兰人、英格兰人姓氏] 尼尔德 Neil的变体
negating|取消( negate的现在分词 ); 使无效; 否定; 否认
newsreel|新闻影片
nurturance|养育, 养成, 培育
nonflowing|不流动的
notecase|皮夹子
nonnumerical|非数值的
naiadaceae|[网络] 奈ace科
nowt|(=naught)邪恶, 恶人
niddering|卑鄙, 不诚实的人
nitpicker|爱吹毛求疵的人挑错的人
nominator|提名者, 任命者
naumannite|硒银矿
nonrational|非理性的
nudibranch|[动] 裸鳃亚目动物
nuttier|nutty（多坚果的, 产坚果的）的比较级形式
newberyite|镁磷石
nonlevel|非水平的
nurturers|(nurturer 的复数)  养育者, 营养物
napoleonize|以拿破仑方式统治
nene|[鸟] 夏威夷雁(棕灰色,现濒临灭绝)
nectared|有花蜜的, 甘美的
noviceship|见习期
nome|（古埃及的）省；（现代希腊的）州
nailing|敲钉用的, 极好的, 出色的
nucleant|形成核的
nominalistic|唯名论的
nesh|热脆的, 松软的, 粉状的
notabilia|[复] n.值得注意的事物(或事件)
necrogenic|死质性的
nitroglucose|[化] 硝化葡糖
nejdi|, n. Nejd的变形
nighty|睡衣
nascency|发生, 起源
navarho|[电] 一种等幅波
necrectomy|[医] 坏死[物]切除术
netleaf|柔毛斑叶兰
nertz|<俚>（热衷的, 发狂的）呸, 胡说
nummulated|[医]钱币形的, 钱串状的
negativism|否定论, 否定态度, 抗拒性
nothingness|无, 微不足道, 无价值, 不存在, 虚无
nonthermal|非热能的
neurogastric|[医] 胃神经的
nonconductor|不传导体, 绝缘体
neurotomical|neurotomy的变形
nidation|[生理]营巢, 着床(指受精卵植入子宫内膜)
narratively|用故事体
natricine|游蛇
neet|啃老族（=Not in Education, Employment or Training）
nectareous|神酒似的, 甘美的
negatively|否定地, 消极地
nonremittal|[网络] 无礼
nepeta|[医]假荆芥属
nonpositive|[数]非正的,(整数)负的,(函数)负值的
nonvolatile|[医] 非挥发性的
nematocidal|杀线虫的
nigher|nigh（接近地）的比较级形式
ninthly|第九, 在第九位, 在第九个
necklike|neck的变形
neurography|神经X线照相术
nomogram|列线图
nonnasality|口腔
negativing|消极的( negative的现在分词 ); <数>负的; 拒绝的; 无预期结果的
natuary|分娩室
natured|表示“本性...的、性...情的”之义
nonuse|不使用, 不形成习惯
nonary|九进法的
nobelist|诺贝尔奖获得者
nonheritable|[网络] 不可遗传
nixon|尼克松（美国第37任总统）
needlewomen|缝纫女工( needlewoman的名词复数 )
nephelognosy|测云学
nom|名义上的（等于nominal）
nuzzled|（用鼻）掘( nuzzle的过去式和过去分词 ); 擦; 依偎; （用头或脸）紧挨
nidget|<古>白痴,愚人
naturalness|自然, 当然
nitpicking|挑剔细微末节的, 找小错儿的
nonius|游标
nappie|一种玻璃碟子
niflheim|(北欧神话中的)死人国(永远寒冷、 黑暗和多雾的极北地区)
ninths|第九, 九分之一( ninth的复数形式 )
naseberry|[植] 人心果, 人心果树(=sapodilla)
notchwing|[昆](欧洲)卷叶蛾
nonstaining|不污染的
nasolacrimal|[医] 鼻泪的
nonfreezing|[机] 不冻的, 不结冰的
nill|不想, 不愿
niceness|美好的事物
naja|[医] 眼镜蛇属
nooky|<粗>性交, 交配,性交时的女性
nutmegged|nutmeg的变形
nosophyte|病原植物
nomarchy|省长管区, 州长管区
notonectidae|仰泳蝽科
nervature|脉序
nemean|[希腊]复仇女神的
noritic|adj. 苏长岩的
nucha|项
nephrotomize|[医]进行肾切开手术
nirvanas|(nirvana 的复数) n. 天堂
nonvanishing|[数]非零的
nonspecial|非特殊的
noetic|智力的, 纯理智的, 纯粹理性的
noshes|吃点心
namelessly|无名地
nosogeny|[医] 发病机理
neglecter|neglect的变形
naps|国家自动支付系统（National Automated Payment System）
notability|显著, 著名, 著名人物
noises|噪音
neurotoxia|[医] 神经中毒症(把神经衰弱看作一种中毒)
nervelet|小神经
