tree|树
torsiometer|转轴测量器, 功率测量仪
tellingly|有效地；显著地
tenured|终身的；长期保有的
torches|手电筒( torch的名词复数 ); 火把, 火炬
thrawnly|thrawn的变形
theorised|(theorise 的过去分词) vi. 建立理论, 讲理论, 推理
thwacks|拍地一声打, 强打( thwack的名词复数 )
theomorphic|神形的, 有神之形象的, 似神的
talc|滑石, 云母
trisomic|(染色体)二倍加一的,一套半染色体的,三染色体的
tropidine|托品定, 莨菪定
turbinotome|[医] 鼻甲刀
teasels|起绒草( teasel的复数形式 )
technography|(研究技术工艺的发展和分布等的)技术工艺学
torah|教导, 律法, <<旧约>>之首五卷
tambookie|刺果刺桐
toolman|刀具工
tragedian|悲剧演员, 悲剧作家
talesmen|候补陪审员( talesman的名词复数 )
tulle|薄纱
trombidium|[医] 恙螨属(旧名)
tinkly|叮当响的
torchbearer|持火炬者, 启蒙者
tailwinds|顺风
tarsier|[动](东印度)眼镜猴, 跗猴
tubiferous|[医] 有结节的; 有块茎的
tyrannically|暴虐地;专横地
trivoltine|三化的, 三抱的, 一季产生三代的
twitters|（鸟）叽叽喳喳的叫声( twitter的名词复数 ); 格格的笑声; 一个网站名称
taguan|[网络] 标语
tachycardia|心动过速
tincted|色彩；颜色
tactlessly|粗鲁地, 笨拙地, 不老练地
trichion|发际中点
teardrops|泪珠, 泪状物( teardrop的复数形式 )
thiobacilli|硫杆菌
troubler|[法] 捣乱者, 闹事者
typewrite|打字
touristy|游览者的, 游览者喜欢的
tonelessness|声调平板
tropes|(trope 的复数) n. 转义, 比喻
twi|契维语(属于克瓦kwa 语支, 主要在加纳通用)
topaz|黄晶, 黄玉, 南美蜂岛
trachytic|[地]粗面岩状的
trophedema|营养性水肿
travail|分娩的痛苦, 阵痛, 辛劳
thermoform|(塑料等的)加热成形,热力塑型
transpalmar|[医] 经掌的
torsten|(Torsten)人名；(德、芬、瑞典)托尔斯滕
tetroxide|四氧化物
tautened|（使某物）变紧( tauten的过去式和过去分词 ); 拉紧; 绷紧; 紧张
topographic|地形的, 地形学的
teart|(在英格兰某些含钼过多的牧场中对)牛身的刷洗
torchwood|火炬木；脂檀
thrashing|鞭打, 打谷
thriftless|不节俭的, 浪费的, 无用的
tarantula|鸟蛛, 狼蛛
tabardillo|鼠型斑疹伤寒
topdressing|顶肥, （道路的）表面处治
tractus|[医] 束, 道
triene|[化]三烯
tutsan|[植]土三金丝桃
tangents|<数>正切( tangent的复数形式 ); 突然转移话题; 突兀的转向; （铁路或道路的）直线区间
terreous|土色的
tethers|（拴牲畜用的）系绳( tether的名词复数 ); 系链; （能力等的）限度; 范围
tunefully|声音悦耳地; 和谐地
toasted|向…祝酒, 为…干杯( toast的过去式和过去分词 ); 烤火, 取暖, 使暖和
thrombocyst|[医] 血栓囊
tiffs|争吵( tiff的复数形式 ); （酒的）一口; 小饮
tarriance|拖延, 耽搁
ticktocks|滴答声
threw|throw的过去式
twigger|细枝, 嫩枝；【解剖学】(神经或血管的)末梢
tressy|<古>(似)有一绺头发(或发辫)的
tensiometer|张力计
twerp|讨厌的家伙, 蠢人
thraldom|奴隶的身分/地位, 奴役, 束缚
toupees|男用假发, 遮秃假发( toupee的复数形式 )
tonger|钳具
tophus|痛风石
tapetal|[医] 毯的
tetrapturus|四鳍旗鱼属
telescoping|套车
tutty|粉状氧化锌
tenositis|[医]腱炎
thewy|肌肉发达的, 有力的
teuchit|英国早春雷暴
taipei|台北
thataway|朝那个方向, 按指示
telodynamic|[机](用缆绳或滑轮)传送动力的
testable|可试验的, 有资格作证人的, 有资格立遗嘱的, 可根据遗嘱处理的
tubotympanal|[医] 咽鼓管鼓室的
thiophenic|thiophene的变形
twiddly|琐碎的, 繁杂的
toran|道朗(一种近程无线电定位系统)
tunable|可调音的, 能调谐的, 音调美的
travois|(北美印第安人的)一种旧式雪橇
tridecyl|十三烷基
typographers|(typographer 的复数) n. 印刷工人, 印刷商
topo|（等于toppo）威尼斯平底渔船
trachycarpus|棕榈属
tailcoats|(tailcoat 的复数) n. 燕尾服
trammelling|束缚, 妨碍( trammel的现在分词 ); 用网捕捉
tussles|<口>扭打, 争斗( tussle的名词复数 )
tunicary|有膜的
tubercles|(tubercle 的复数) n. 小瘤, 结节
toadish|toad的变形
tiring|引起疲劳的, 累人的
tawa|[地名] [缅甸] 达瓦
thivel|<英方>(用以搅粥等食物的) 搅棒
tailgating|借道
tungstenite|硫钨矿; 辉钨矿
tinier|极小的, 微小的( tiny的比较级 )
tetched|=teched [变体]
trilinear|三线的, 包含三条线的,以三条线为界的
termini|目的地, 界标
trophesial|[医] 神经性营养不良的
tyrosinuria|酪氨酸尿
tabloid|小报, 小型画报, 药片, 文摘
toxalbumin|[生化]毒白蛋白
takedown|拆卸, (非正式)失面子, 羞辱
toppling|不稳而倒下( topple的现在分词 ); 将…推翻, 打倒
typtology|敲击显灵招魂术(一种江湖骗术), 降神术
transl|translate 翻译; translation 翻译; translator 翻译; translated 翻译的
transitivity|[计] 传递性
tremetol|佩兰毒素, 白蛇根毒素
taciturnly|沉默寡言地; 按钉; 抢风变向
toellite|(=tollite)榴英云玢岩
tablier|(女子的)围裙,(旧时女服上的)围裙式装饰
thiochrome|[生化]硫色素,脱氢硫胺(素)
takin|扭角羚；羚牛
ticks|十字叉；滴答声；扁虱；褥套（tick的复数）
trippingly|轻快地, 流畅地
totty|<古>发昏的,喝醉的
tetralite|[化] 特屈儿
theologaster|浅薄的神学家,假神学家
transverter|[电]换流器
translators|译员( translator的复数形式 ); 翻译者; 翻译家; 翻译机
tpd|[化] 程序升温脱附
tosspots|(tosspot 的复数) n.<古>酒徒, 醉汉
titillation|[医] 搔痒, 撩痒
tenons|在…上制榫（tenon的第三人称单数形式）
tsarevitch|沙皇的长子
thyiad|[希神]梯伊阿得(酒神 Dionysus 的女信徒)
trichomonas|[医] 毛滴虫属
theistically|theistic的变形
ticktack|滴答声, 突突声
tarrow|[人名] 塔罗
turdine|[鸟]鸫的
triturating|弄成粉( triturate的现在分词 ); 粉碎; 磨碎; 捣碎
tubulous|管的, 有管的, 管形的, 有管状小花的
tympanohyal|鼓室(与)舌骨弓
thrombin|凝血酶
topographer|地志学者, 地形学者
tackify|使有黏性,增强…的黏着性,使更黏
taxometer|量片器
tergal|背的, 背甲的
thingamabob|<口>(用以指某人或某事)某人, 某件东西
tch|业务信道；总胆固醇；话务信道
thrombectomy|[医]血栓切除术
thurniaceae|硅草科
terpene|[化] 萜烯; 萜(烃)
throated|用沙哑的声音或嗓音发音（throat的过去式与过去分词形式）
tautly|绷紧地; 紧张地;  结构严谨地; 紧凑地
tubectomy|[医]输卵管切除术
tergiversate|搪塞, 推托, 变节, 背叛
transfinite|无限的, 超穷的, 超限的
thalweg|最深谷底线
trigonia|三角蛤属
thiocresol|硫甲酚, 甲苯硫酚
teazel|使织物起绒, 为...拉绒
trusteeships|(trusteeship 的复数) n. 托管制度, 托管人职责
topsy|混天倒地（歌曲名）
treadboard|踏板
typefounding|铸字业
thermoses|热水瓶,保温瓶[亦作 thermos bottle(或 flask,jug)]
textualism|拘泥于<<圣经>>原文, 墨守原文
tomorrows|明天( tomorrow的复数形式 ); 将来, 未来
twitchers|(twitcher 的复数) n. 观察研究稀有鸟类的人
tpm|全面生产维护（Total Productive Maintenance）；可信计算平台模块（Trusted Platform Module）
tearstained|泪水沾湿的
tasajo|肉干
tenonitis|[医] 腱炎, 眼球囊炎
treetops|树稍( treetop的复数形式 )
truism|自明之理, 众所周知, 老生常谈
tiswin|(美国西南部印第安人酿制的)发酵饮料
tornal|内角的
tablelands|(tableland 的复数) n. 高地
tectocephaly|舟形头(畸形)
teasel|川续断
typhlolexia|文字盲, 视性失语
truistic|无人置疑的, 平凡的
tote|提, 负, 携带, 加, 合计
tetard|蝌蚪；大头鱼；小孩
transvaluate|以新价值观重新评估,重新评价
traducers|(traducer 的复数) n. 诽谤者
teratoid|[生]畸胎样的
trysting|幽会
taxiing|乘出租汽车；滑行（taxi的ing形式）
tirralirra|快活地
transgressor|违反者, 犯规者, 罪人
thudding|重击, 砰然下落( thud的现在分词 )
ticked|被套
typographies|(typography 的复数) n. 凸版印刷术, 排印, 印刷版面式样
turnspit|负责旋转烤肉叉的人, 转叉狗
tholepin|桨耳
tuners|无线电收音机( tuner的复数形式 ); 调音师
thieveless|无效的, 无目的的
thermohaline|[海洋]热盐的,温盐的
tudor|英国都铎王朝
tokology|[医](=tocology)产科学
turbidimeter|浊度计,浊度表
tropicalize|使热带化
tragus|[解]耳屏, 耳珠
topsides|(topside 的复数) n. 干舷部
tattle|闲谈, 闲话, 饶舌
tactically|在战术上
trolled|轮唱, 使转动；放声高唱；拖饵钓鱼
tricyclist|骑三轮车者
truckline|汽车货运线
telega|(俄国的)四轮运货马车
threnodic|threnody的变形
tympanicity|[医] 鼓响性
tallowy|动物脂质的, 油腻的, 象油脂一样颜色的, 萎黄的, 苍白的
tussal|[医]咳嗽的, 与咳嗽有关的, 咳嗽表现的
tetracosane|(正)二十四(碳)烷
tabret|小手鼓
tenalgia|[医] 腱痛
thesauruses|同义词词典( thesaurus的复数形式 ); 百科全书; 汇编; 宝库
timbres|(timbre 的复数) n. 音色, 音质
texaco|德士古（财富500强公司之一, 总部所在地美国, 主要经营炼油）
trompil|开孔
tomas|托马斯
talebearing|说小话, 散布谣言
taffia|(西印度群岛产的)劣质甜酒
thenardite|[矿]无水芒硝
thatcher|盖屋顶者
triarchies|三头政治( triarchy的名词复数 )
tannalbin|鞣酸蛋白
toluidide|[化]N-某酰基甲苯胺
trochoid|次摆线, 车轴关节
tridental|三叉戟式飞机
tetrarchical|tetrarch的变形
tanoan|塔努安语(北美印第安语语系的一种)
tachyphemia|[医] 言语快速, 急语
twined|成双的；搓成的
toucan|巨嘴鸟
triazole|[化]三唑, 三氮杂茂
trisepalous|[植]三萼片的
thrustor|向上钻营的人, 推进器
toxoplasma|[医] 弓形体属, 弓浆虫属
terpolymer|[有化] 三元共聚物
thrillful|[网络] 激动人心
tightropes|（供走索者表演用的）绷索, 钢丝( tightrope的复数形式 )
thurible|香炉
toweringly|towering的变形
trithionate|连三硫酸盐
trepidations|(trepidation 的复数) n. 恐惧, 惊惶, 忧虑
towelling|制毛巾的布料
trickiest|狡猾的( tricky的最高级 ); （形势、工作等）复杂的; 机警的; 微妙的
tuckers|打横褶者( tucker的名词复数 ); 打褶装置; 打皱褶着; 领布
tepees|（兽皮或树皮制的）圆锥帐篷( tepee的复数形式 )
tillerman|舵工; 转舵手
tinniest|锡的；含锡的；像锡的；有锡味的 (tinny的变形)
tizwin|(美国西南部印第安人酿制的)发酵饮料
terser|（说话、文笔等）精练的, 简洁的, 扼要的( terse的比较级 )
tristylous|[植]三花柱的
thioneine|巯基组氨酸三甲(基) 内盐, 硫因
twinberry|[植]总苞忍冬, 蔓虎刺
threose|[化] 苏糖
tephrite|[地]碱玄岩
tylopod|(骆驼等动物)有胼足的,趾底有肉垫的
tinkerers|(tinkerer 的复数) n. 喜欢捣鼓小器具、小发明的人
thowless|<苏格兰>没精打采的,呆滞的,无生气的
tegumental|[医] 体被的, 皮肤的
tutorly|有关(或适合)家庭教师的,有关(或适合)辅导教师的
timor|帝汶岛(马来群岛中一岛)
tetradactyl|四趾的
tzarevitch|沙皇的长子
telokinesis|末期动态
trichophytic|[医] 发癣菌病的; 促进毛发生长的
thegns|(thegn 的复数) n.[英史]大乡绅, 领主
titanomachy|[希神]提坦巨神反宙斯战争
titanaugite|钛辉石; 钛辉石
tagalong|追随者
toilsomely|辛苦地
tremolo|震音, 震音装置
tocology|产科学
trampler|trample的变形
truckled|靠小脚轮移动( truckle的过去式和过去分词 ); 屈从; 讨好; 用小脚轮使移动
thymines|(thymine 的复数) n. 胸腺嘧啶
tropophilous|[植]适应气候变化的,湿旱生的
turbary|泥煤田, 泥炭采掘场
tenpin|[美](十柱戏的)柱子
tourette|Tourette综合征（儿童岁于秽语多动综合征, 病因不明, 分为先天遗传型和后天获得型）
tusayan|[地名] [美国] 图萨延
tocher|<苏格兰>n.嫁妆
theos|(theo 的复数) abbr. 理论上的（theory）
tabet|<苏格兰>感觉
triphibian|陆海空三栖的, 陆海空联合作战的
treadmills|枯燥无味的工作[生活方式]( treadmill的复数形式 ); （尤指旧时由人或牲畜踩动踏板使之转动的）踏车; （锻炼身体的）跑步机, 走步机
troupial|[鸟](中南美产的)黄鸟,黄鹂
trickers|(tricker 的复数) n. 耍诡计的人, 骗子
tastemaker|时髦风尚的首创者, 开创时髦风尚的事物
tripotassium|三钾
tanga|坦噶(坦桑尼亚港市)
temblor|地震
tercel|雄鹰
temporized|敷衍( temporize的过去式和过去分词 ); 拖延; 顺应时势; 暂时同意
troves|(trove 的复数) n. 发现物, 收藏品
troglodytes|类人猿( troglodyte的名词复数 ); 隐居者; 穴居者; 极端保守主义者
trypsin|胰蛋白酶
threadfin|[鱼]马鲅, 须鳂[胸鳍呈须状,故名]
tetraskele|[网络] 四星
tillering|分蘖
trinities|<正>三人小组( trinity的名词复数 ); 三件一套; 三合一
tort|民事侵权行为
tace|<拉>vi.[用于祈使句]别作声
ticking|坚质棉布
threnody|哀歌, 葬歌, 挽歌, 悲哀, 哀悼
tantrist|密教经典, 印度教经典 (tantra的变形)
tracheotome|[医] 气管刀
terzet|<意>n.[音]三重唱,三重奏[字面意义： trio]
turbulently|横
taping|磁带录音
teston|退斯通（一种英、法等国的古银币）
targumist|塔古姆的译者、研究者
tegmenta|被盖；大脑脚盖；芽鳞 (tegmentum的变形)
terdiurnal|一日三次的
tinsmiths|(tinsmith 的复数) n. 锡匠, 洋铁匠
transecting|横断, 横切( transect的现在分词 )
throbber|动态浏览图示
toddling|（幼儿等）东倒西歪地走( toddle的现在分词 ); 蹒跚行走; <口>溜达; 散步
tranquilized|使平静, 使安静( tranquilize的过去式和过去分词 )
telescoped|错开的; 窜边的; 套叠的
tarpeian|塔尔皮亚岩石的
tropaeolin|[化]金莲橙(一种染料)
trapeze|吊秋千
toot|嘟嘟声, 作乐
tonsure|剃发, 剃去头发的部分, 削发仪式
tunics|（动植物的）膜皮( tunic的复数形式 ); 束腰宽松外衣; 一套制服的短上衣; （天主教主教等穿的）短祭袍
tinkling|叮叮声
trudging|& vi. 跋涉, 吃力地走（trudge的现在分词形式）
trapezing|(trapeze 的现在分词) n. 吊秋千
tibicen|[网络] 黑背钟鹊；黑背锺鹊
tritium|氚
truths|真理, 真实, 实际情况, 真相, 真实性, 忠实性
teutophil|& n.亲条顿(的),亲德派(的)
toyon|柳叶石楠树
teiglach|(=taiglach, teiglech)用蜂蜜煮熟的小块面团
tsamba|糌粑(藏族的主食)
touchdowns|触地得分( touchdown的复数形式 ); <空>着陆, 降落
tenotomy|割腱术
tipping|倾卸台
triradiate|向三方射出的
tubers|（植物的）块茎（如马铃薯等）( tuber的复数形式 ); <解>结节; 隆起; 肿胀
tramlines|(钢中夹杂在薄板表面上留下的) 条痕, 纵痕, (轧件在孔型中过充满造成的)耳线
totterer|蹒跚行走的人
tonies|时髦的, 漂亮的；贵族化的
tonging|(tong 的现在分词) n. 钳子, 帮会
technocausis|[医] 烙[铁]术
tearoom|茶室
territoried|领土；领地；领海；版图；一片土地；地区；地带
thrombotic|血栓形成, 栓塞
titterer|[网络] 滴滴涕
tannaim|tanna的复数
targeman|<古>持盾者
twelvepenny|[史]值12便士的
thalarctos|[网络] 北极熊属
terne|镀铅锡铁板
tenorite|[矿]黑铜矿
therian|[动] adj.(正)兽亚纲的
trisomy|[生]三(染色)体性,三(染色)体细胞
toa|[医] 旧结核菌素
tensive|张力的
tandy|(Tandy)人名；(英、德)坦迪
trotcozy|[苏]披巾
tares|(tare 的复数) n. 巢菜, 稗子, 皮重
tibialis|[医] 胫骨肌; 胫骨的
ticuna|[医] 南美箭毒
telpherage|架空电缆运输, 高架索道运输
transited|通过（transit的过去式与过去分词形式）
tariffs|关税制度; 关税( tariff的名词复数 ); 关税表; （旅馆或饭店等的）收费表; 量刑标准
trollflower|金莲花
toting|手提, 背负, 携带( tote的现在分词 )
toothily|toothy（有牙齿的）的变形
tortuosity|扭曲, 迂回曲折, 弯曲的部分
tane|(Tane)人名；(罗、塞)塔内
tanacetone|艾菊酮
turnsole|向阳性植物
taxgatherer|[法] 税务员, 收税员
tetra|脂鲤
thole|桨架, 钉
taeniasis|绦虫病
technicolor|彩色印片法, 鲜艳的色彩
tracasserie|烦扰,混乱,忙乱,小争吵
textual|文本的, 原文的
tweeters|(tweeter 的复数) n. 高频扬声器
tourneying|参加马上比武( tourney的现在分词 )
teary|哭泣的
tucum|南美洲图皮棕榈, 刚毛棕榈
thymogenic|[医] 情感性的
tundras|（多数位于北极圈的）冻土带( tundra的复数形式 ); 苔原; 冻原; 寒漠
tangiest|味道浓烈的, 气味浓重的( tangy的最高级 )
tracheolar|小气管
trichiurus|[医]带鱼
timberhead|船肋骨端头
tuny|和谐的, 音色优美的
thlipsis|[医] 血管压缩
thiamin|硫胺, 维生素B1
tait|[计] 泰特
tabacosis|[医] 烟草中毒, 烟末沉着病, 烟尘肺
trunch|truncheon （粗短的）棍子; 警棍; 权杖; 职杖
thymoquinone|百里醌
transmits|发射, 播送, 广播( transmit的第三人称单数 ); 传播; 传导; 传（热、声等）
titularies|,n. titulary的变形
turgency|turgent的变形
towboat|拖船
tickled|（使）发痒( tickle的过去式和过去分词 ); （使）愉快, 逗乐
talar|[医]距骨的
trichosporum|[医] 毛孢子菌属
triplex|三重的
twill|斜纹织物
tonnish|吨, 大量, 许多
tracklaying|铺轨
taxman|收税员,税收检查员
teil|(=teil tres)[植](欧洲)菩提树
trainable|可训练的, 可教育的
toothpick|牙签
tost|vbl.toss的过去式及过去分词
tarter|tart（酸的, 辛辣的）的比较级形式
telford|泰尔福特路面(由大石与碎石作基础,再用小石经辗压坚实筑成平滑面层的一种路面)
tragulus|鼷鹿
tribulate|使经受苦难,给…磨难
toorie|帽缨
tind|山峰；角峰
tetracyclic|[植]四轮列的, 四轮花的
tyrannic|暴君的, 专横的, 专制的, 暴虐的, 残酷的
tautology|同义反复, 赘述, 重言式
transpolar|横越南极(或北极)的, 穿过极地的
tectology|组织构造学
toecap|鞋尖装饰, 鞋头
tonalist|[音]使用(传统)调性的作曲家, 作品以有调性为特色的作曲家
totemite|崇拜图腾种族的人
trixie|特里克茜（女子名, 等于Beatrix）
topknot|头饰, 羽冠, 顶髻
trippant|(纹章上的狮子或其他野兽)抬起前蹄行走的
talons|（尤指猛禽的）爪( talon的复数形式 ); （如爪般的）手指; 爪状物; 锁簧尖状突出部
tarsectopia|[医] 跗骨脱位
taeniacide|杀绦虫药
terrorize|使惊恐, 恐吓
tailleur|<法>n.定做女服
tripersonal|(基督教神学)(神性)三个位格的( 指圣父、圣子、圣灵三个位格的)
topectomy|[医]额叶皮质局部切除术
thuriferous|产乳香的,燃烧时散发芳香的
tombless|tomb的变形
tybalt|(Tybalt)人名；(英)蒂博尔特
triode|三极管
tetragynous|[植]四雄蕊的
tantalus|上着锁的透明酒柜
tabefaction|衰弱
thwarted|阻挠( thwart的过去式和过去分词 ); 使受挫折; 挫败; <旧>横过
tov|有效期（Time of Validity）；总监测量（Total Observed Volume）；总需氧量（total oxygen demand）
thiocarbamyl|[化] 硫代氨基甲酰
tracheas|气管
tribometer|摩擦计
thickheaded|笨的, 愚蠢的
teethe|长牙齿
terap|马来亚木波罗
tyrannizer|tyrannize的变形
tipsier|喝醉的；歪曲的；不稳的 (tipsy的变形)
tactful|机智的, 老练的
tubules|(tubule 的复数) n. 小管, 细管
tickweed|[网络] tick草
thaumatology|奇迹学, 奇迹论
thalassemia|[医] 地中海贫血, 库利氏贫血
tombed|坟墓；死亡
threonine|[生化]苏氨酸
tunga|[医] 潜蚤属
touchily|难以取悦地
tritoma|[植]火把莲
thanedom|大乡绅的身份
theobald|西奥博尔德(男子名)
tyroglyphus|[医] 粉螨属
travelogues|旅行纪录片( travelogue的复数形式 ); 旅行广播节目; 游记; 关于旅游的讲座
tunk|轻拍,扣击,重击
trifles|琐事；鸡毛蒜皮的事（trifle的复数形式）
tonsillith|[医] 扁桃体石
thermogenous|[医] 生热的
tactual|触觉的, 凭触觉的
tubovaginal|[医] 输卵管阴道的
taxiways|(taxiway 的复数) n. 滑行道
theologian|神学者
triolein|[化]三油精(指天然的甘油三油酸酯)
trinol|垂诺耳
tyrosine|酪氨酸
tubfuls|一桶的容量；一满桶
tanking|地下室防水层
thrombosing|形成血栓
trapeziform|<美>不规则四边形的,<英>梯形的
tilers|(tiler 的复数) n. 砖瓦匠, 秘密会所看守人
tollage|[法] 税, 通行税, 征税
telfordize|用大石块铺砌(路面)
tweeting|吱吱地叫（小鸟鸣叫）
tuxedos|<美>餐服, 无尾晚礼服( tuxedo的复数形式 )
topknots|(topknot 的复数) n. 头饰, 羽冠, 顶髻
topalgia|局部痛
telegonic|感应遗传的, 异父遗传的
tryptamine|[生化]色胺,β-吲哚基乙胺
theonomous|由上帝统治的, 服从上帝意志的
tomahawks|美洲印第安人用的战斧( tomahawk的复数形式 )
theologue|神学学生, 神学家
toxigenicity|生毒性
tactite|接触岩
turncock|供水栓, 龙头开关员
throe|剧痛, 阵痛
teliospore|[植](锈菌)冬孢子
trifacial|[解]三叉神经的
tweedle|动听的尖细声, 鸟叫声
theologise|<主英>=theologize
tailpipes|(tailpipe 的第三人称 -s形式) n.[汽]排气管
tickles|（使）发痒( tickle的第三人称单数 ); （使）愉快, 逗乐
tokonoma|(日本房屋起居室的)床之间,壁龛
tannometer|鞣液比重计
tailcoat|燕尾服
towner|城镇居民
trooped|成群结队地走（troop的过去式与过去分词形式）
terfez|块菌
turnera|[医] 特纳草叶, 达米阿那
tricolette|针织网眼丝织物
testimonies|（法庭上证人的）证词( testimony的名词复数 ); 证明, 证据
twirl|(使)快速转动, 捻弄
thymoprivic|[医] 胸腺缺乏的
tumefacient|肿胀的, 肿大的, 引起肿胀的
taborine|(用单根鼓棒敲奏的) 狭长小鼓
trifoveolate|三穴的
tartans|花格图案( tartan的复数形式 ); （地中海）单桅帆船; 方格花纹; (T-)塔当（一种铺路用的塑料）
tumoral|肿瘤样的
tightwire|绷紧的钢索
typecast|(根据演员体形与性格)分配角色, 浇铸(铅字)
tanging|强烈的味道或气味( tang的现在分词 )
tranquilize|使……安静；使……镇定
thalli|菌体; 叶状体, 扁平体( thallus的名词复数 )
toco|鞭苔, 责罚
timbermen|支架工
triumphs|胜利( triumph的名词复数 ); 巨大的成就; （成功的）典范; （巨大成功或胜利的）心满意足
trehala|虫茧蜜(小亚细亚一种甲虫所产,可食用)
tholing|<英方>忍受, <古>有耐心( thole的现在分词 )
tsarinas|沙皇皇后( tsarina的复数形式 )
telegraphese|电报文体, 电文体
tactician|战术家, 谋士
toughest|最坚强的；最坚韧的；最粗暴的；最苛刻的（tough的最高级）
typonym|类型名称, 模式名称
torso|躯干, 裸体躯干雕像
tade|[计] 拆卸
tyloma|胼胝
trichuris|[医] 鞭虫属
tendotome|[医] 腱刀
tylosoid|拟侵填体
thiosulfate|[化]硫代硫酸盐(或酯)
transfigure|使变形, 使改观, 美化
tearing|撕裂般的, 痛苦的, 猛烈的
tetrol|呋喃
tenantship|租佃, 租赁
templum|[医]后颊（昆虫）
toggles|棒形纽扣( toggle的名词复数 )
torrone|蜂蜜杏仁糖
triples|（使）增至三倍( triple的第三人称单数 )
twattle|,v.<罕> =twaddle
thanked|谢谢, 感谢( thank的过去式和过去分词 ); 责怪
thio|[化]含硫的,硫代(氧)的
treacle|糖蜜, 过分甜蜜的声调
trues|真理, 真实（true的复数形式）
thallophyte|叶状体植物
tritons|(Triton 的复数) n. 氚核
tal|事物处理应用语言（Transaction Application Language）
tautologized|重复使用同义字( tautologize的过去式和过去分词 )
troublingly|trouble的变形
thrapple|<苏格兰>(尤指马的)咽喉, 气管
tabis|[网络] 塔比绸；塔布斯
torpid|麻痹的, 迟缓的, 迟钝的, 蛰伏的
thunderless|thunder的变形；thunder against的变形
twills|斜纹织物( twill的名词复数 )
thevetin|[化] 黄夹竹桃苷
tangut|唐古特语, 唐古特人, 西藏人
tenderness|柔软, 亲切, 柔和, 敏感, 易触痛
toque|无边女帽, 羽饰丝绒帽
taillights|（车辆的）后灯，尾灯( taillight的名词复数 )
tenantlike|似承租人的,遵守承租人的权利和义务的
trichomonad|[动]毛滴虫(原生动物,寄生于人及动物)
toxicologic|[医] 毒理学的, 毒物学的
toda|takeoff distance available 可用起飞距离; third-octave digital analyzer 三倍频程数字分析器; time of day accounting 费率时间表
theotherapy|宗教疗法
terpenoid|萜类化合物, 类萜
treasurers|（团体等的）司库, 财务主管( treasurer的复数形式 )
taxonomer|分类学者
tweaker|弹弓
tantalise|诱发无法实现的希望, 使干着急, 惹弄, 逗惹, 逗弄
typhlopexia|[医] 盲肠固定术
testudinate|龟
transverses|横向物( transverse的名词复数 ); 横轴; 横断面; <数>横截轴
tenaculums|[医]n.（拉）持钩, 支持体
tetraploidy|四倍性
tostada|炸玉米粉圆饼(亦作tostado)
tachism|抽象派绘画法
taeniae|[医] 绦虫, 带
tuckahoe|茯苓
technicist|技术员, 技师
toons|(toon 的复数) n. 红椿
threnetical|悲哀的, 哀悼的
twelfth|num. 第十二, 十二分之一
tenebrism|[画]暗色调主义
telae|[医] 组织
telencephal|[医] 端脑, 终脑
teaseled|使起绒( teasel的过去式和过去分词 )
tackboard|(钉通知等用的)布告板,图表板
tembe|[地名] [刚果民主共和国] 登贝
terpeneless|[医]无萜的
theine|咖啡因, 茶碱
tripinnate|[植]三回羽状的
truepenny|老实可靠的人
tieing|缝线接头；结头
thither|位于那一边的, 向那边的
theophanies|神的出现( theophany的名词复数 )
trippet|(间隔一定时间敲击其它零件的)敲击装置
transmutes|使变形, 使变质, 把…变成…( transmute的第三人称单数 )
trinidadian|特立尼达人
tuatara|(新西兰产的)大蜥蜴
trampolines|蹦床, （杂技表演中翻筋斗用的）蹦床, 弹床( trampoline的复数形式 )
trunnioned|有炮耳的, 有耳轴的
thetic|武断的；独断的；扬音节开始的
telescopist|使用望远镜的人, 用望远镜观测者
trios|三重奏（ trio的复数形式 ）; 三人一组; 三重奏[三重唱]乐曲; （小步舞曲、谐谑曲等的）中段
tonotaxis|趋声性
telpher|电动缆车, 高架索道
tosses|（轻轻或漫不经心地）扔( toss的第三人称单数 ); （使）摇荡; 摇匀; （为…）掷硬币决定
treater|谈判者, 处理器, 提纯器
transhape|变像
tungusic|通古斯满语族(阿尔泰语系的语族之一)
toploftiness|toplofty的变形
titularity|titular的变形
twanger|弦声；拨弦声；(琴弦的)弹拨
triableness|triable的变形
thrashes|鞭打以示惩罚( thrash的第三人称单数 ); 战胜, 完全击败; 乱窜[跳], 辗转反侧; 打谷, 打麦
tightfitting|(衣服)紧身的,贴身的
tipsiest|喝醉的；歪曲的；不稳的 (tipsy的变形)
taiyal|泰耶尔语
trueness|真, 真实, 纯真
tetter|皮肤病, 丘疹
trigonite|斜楔石(砷锰铅矿)
targum|塔古姆(<<即圣经注疏>>)
thyroidal|[医]甲状腺性
tinseled|用金箔装饰( tinsel的过去式和过去分词 )
temporally|现世地
travellers|旅行者（ traveller的复数形式 ）; 旅游者; 旅客; 游客
tides|潮汐（tide的复数）
turnipy|芜菁味的
tiliaceous|椴科植物的
technic|技巧, 技能, [谓语用单数]工艺学
tristate|[计] 三态
toxicophidia|毒蛇
throwback|掷回, 挫折, 阻止
tristachyous|三穗的
toryfy|用保守主义原则(或政策)影响
throb|跳动, 搏动
tremophobia|[医] 震颤恐怖
tramroads|(tramroad 的第三人称 -s形式) n. 矿车轨道
tao|(道家学说中的)道
turfy|草皮的, 泥炭的, 与赛马有关的
trivalve|(贝壳)三瓣的
tachypnoea|[医]呼吸急促，气促
