old|旧的
oversewn|oversew的过去分词
omphalocele|[医]脐突出
ohmic|欧姆的, 以欧姆测定的, 电阻性的
outfitter|服饰用品商店
osoberry|拟樱桃果
oddment|零头, 碎屑, 零碎物件, 奇特的东西
overarches|在…上方成拱形( overarch的第三人称单数 )
oughts|（表示愿望）应当（显示所采取行动正确或明智）( ought的第三人称单数 )
outwith|<苏格兰> = outside
ovariole|[昆]卵巢管
oopod|(=oopodeus)产卵器(尾剌的一部分), 卵袋
octennial|每八年的, 延续八年的
oceanward|向海的
omadhaun|<爱尔兰>傻子,蠢人
omphali|omphalos的复数
ozonium|束丝菌属
oafs|畸形儿, 痴儿, 懒汉, 笨人, 笨汉, 呆子, 蠢人
outgeneraled|用优越的战术打仗, 以指导凌驾( outgeneral的过去式和过去分词 )
ouches|(ouch 的第三人称 -s形式) interj. 哎唷(表剧痛)
overruled|批驳, 推翻, 拒绝( overrule的过去式和过去分词 )
overaction|[医] 作用过度
obelized|加剑号, 加疑问号( obelize的过去式和过去分词 )
oneirology|梦学,圆梦学
ottawas|渥太华（加拿大首都）
otolithic|[医]位觉砂的, 耳石的
ourself|自己；我们
octahedrons|(octahedron 的复数) n. 八面体
outrider|骑马侍从, 先驱者,摩托车警卫
obstructed|阻塞的；梗阻的, 不通的
oleiferous|产油的, 油性的
oenanthol|[医] 庚醛
olivaceous|橄榄绿的
osteocystoma|[医] 骨囊瘤
overdoes|做得过分( overdo的第三人称单数 ); 太夸张; 把…煮得太久; （工作等）过度
overworking|工作过度或时间过长( overwork的现在分词 ); 滥用（词等）
officered|指挥（officer的过去式与过去分词形式）
obtund|使迟钝, 使缓和
organza|透明硬纱
owlish|猫头鹰般的, 面孔严肃的, 看似聪明的
oleg|奥列格（俄罗斯名）
overselling|销售过多, 卖空, 吹嘘过度( oversell的现在分词 )
obsecrating|恳求
otitic|[医] 耳炎的
overgrows|长满, 长得超过, 长得过大( overgrow的第三人称单数 )
optioned|得到或获准进行选择(option的过去式，过去分词); 调动球员
opobalsamum|[医] 麦加香脂
obtainment|获得
overpasses|立交桥, 天桥, 高架道路( overpass的复数形式 )
octogenarian|80岁到90岁(的人)的
ommiad|倭马亚朝
overdraw|透支(银行帐户), 把(弓等)拉得过度, 夸大, 夸张
outspans|卸马具；给牛车卸轭
opercula|operculum的复数
obstructs|阻塞( obstruct的第三人称单数 ); 堵塞; 阻碍; 阻止
orthodontia|正牙学, 畸齿校整术
oxlips|(oxlip 的复数) n. 高报春
ontic|本体的, 实体的, 具有实体的
oxygenize|[化]使氧化
oocytes|(oocyte 的复数) n. 卵母细胞
overdoing|做得过分( overdo的现在分词 ); 太夸张; 把…煮得太久; （工作等）过度
oryzanin|[化] 硫胺; 硫胺素; 维生素B-1
olivinic|olivine的变形
ouzel|黑鸫
ommastrephes|[网络] 柔鱼属；赤鱿属
overfullness|overfull的变形
oligodynamic|[pl.]微动作用, 徽动力学
outfighting|远距离作战
overswing|[电] 逾荡
oestrone|[生化]雌(甾)酮
outlasted|比…长久, 比…活得长( outlast的过去式和过去分词 )
oliva|[医] 橄榄体
oophore|<废>=oophyte
osteofibroma|[医] 骨纤维瘤, 纤维骨瘤
ovoid|卵形的, 梨形的
overwrap|(香烟、面包等的)透明外包装纸
octoradiate|八出的, 八辐射的
ozoena|臭鼻症
odonata|蜻蜓目
oie|Office International des Epi-zooties （法语）国际兽疫局; Office of International Epizootics 国际兽疫学办公室; Organisation Internationale des Employeurs (French=International Organization of Employers) （法语）国际雇主组织; Office of Indian Education 印度教育办公室
outhouse|外屋, 户外厕所
outtop|升在…之上, 在高度上超过
objectivity|客观, 客观现实, 客观性
ornithomancy|鸟占术( 根据鸟的飞翔和鸣叫卜凶吉的占卜术)
octuplets|[医]一胎八儿
originals|原稿；原件（original的复数）
oblation|向上帝的供奉, 祭献, (对宗教、慈善业的)损献, 祭品
orchidalgia|[医] 睾丸痛
osiris|奥西里斯(司阴府之神)
offlap|退覆
ochry|ochre的变形
oriolus|[网络] 黄鹂属；金黄鹂；西双版纳
orate|演说, 演讲, 高谈阔论
ovicide|杀卵剂, 灭卵剂
overmanned|(overman 的过去分词) n. 工头, 师傅, 仲裁人
obsolescing|成为过时, 成为废物( obsolesce的现在分词 )
obtrusive|强迫人的, 冒失的, 莽撞的, 伸出的
overfilm|把薄膜盖在...上
oversleeping|睡得太久, 睡过头( oversleep的现在分词 )
ostia|[医] 口, 门口
orals|（尤指外语考试中的）口试 ( oral的复数形式 ); （大学里的）口试
organizers|组织者( organizer的复数形式 ); 备忘记事本, 电子笔记本
oppilated|使阻塞；使便秘
oviductal|[医]输卵管的
ostalgia|[医] 骨痛
outstandings|未偿贷款; 未清算帐目
oillet|孔眼, 视孔
oread|[希神][罗神]俄瑞阿得(山岳女神)
orontium|[网络] 奥昂蒂属；金棒芋属
overblowing|过吹
odiously|令人作呕地; 讨厌地, 可恨地
orchiditis|[医] 睾丸炎
overalled|穿着工作服的
outshout|叫得比…响
outsat|outsit的过去式和过去分词
oppilate|使阻塞, 使便秘
obstetrician|产科医师
oceanfront|海滨
orris|鸢尾草, 金花边
olp|[医][=obstructive lipoprotein]梗阻性脂蛋白
overlapping|[计] 重叠, 覆盖
oxidate|(使)氧化
ovigenesis|[医] 卵[子]发生
overdrifted|被吹积物(如雪等)覆盖的
oligotrichia|[医] 毛[发]稀少, 稀毛[症]
outmodes|使过时( outmode的第三人称单数 )
osage|奥塞奇人
oughtness|有义务的状态
odorously|芬芳地
overladed|overlade的过去式和过去分词
ocelli|ocellus的复数
orbitary|眼睑的
operagoer|经常看歌剧的人
overrunner|泛滥成灾；超出限度 (overrun的变形)
orchidopexy|睾丸固定术
oxyacanthine|刺檗碱
outage|(水、电、煤)断供, 储运损耗
outwears|比…经久, 使筋疲力尽, 用旧( outwear的第三人称单数 )
ointment|软膏, 油膏
oscheocele|[医] 阴囊瘤, 阴囊肿大, 阴囊疝
octopine|真蛸碱, 章鱼(肉)碱, 羧乙基精氨酸
ovularian|[网络] 卵巢
orioles|金莺类, 白头翁科的小鸟( oriole的复数形式 )
optimising|(optimise 的现在分词) vt. 使最优化, 使尽可能有效
odea|odeum的复数
overfish|对(鱼)进行过度捕捞
obligato|助奏, 助唱
overused|使用过度( overuse的过去式和过去分词 )
outbade|outbid的过去式
omniscope|潜望镜
obovoid|[植]倒卵球形的
olpe|[地名] [德国] 奥尔珀; [地名] [美国] 奥尔皮
ortman|[人名] 奥特曼
olson|(Olson)人名；(瑞典、芬、西、印尼)奥尔松；(英)奥尔森
obliviscence|遗忘,遗忘倾向
orpin|(=orpine)[植]景天
onshore|向陆的, 陆上的, 在国内的
otectomy|[医] 耳组织切除术
outspreading|展开的( outspread的现在分词 ); 铺开的; 扩张的; 传开的
overlade|使超载, 使负载过重
outranks|居…的上位, 地位高于( outrank的第三人称单数 )
otiose|不必要的, 怠惰的, 没有用的, 多余的
outpitch|[网络] 打者的球路
orphanize|使成孤儿
ordainment|命令
obeliscal|obelisk的变形
overage|过老的, 老朽的
overcorrect|对...矫枉过正, 对...惩治过度
octavo|八开纸, 八开本
opobalsam|[医] 麦加香脂
orthocentre|[数]垂心
octahedrite|[矿]锐钛矿
ophitic|辉绿岩结构的; 辉绿状的
oilstone|油磨刀石
ophiopluteus|蛇尾长腕幼虫
octonion|八元数
oast|烘干窑
outscorn|以轻视制服(或挫败)
ophiuroid|& adj.海蛇尾纲动物(的)
oligomerous|[医]（拉oligomerus）少基数的
outstare|以目光压倒(对方), 使动摇, 使屈服
oligotropic|[医]采少种花的（指蜂）
outmatch|优于..., 胜过, 凌驾于, 击败
ossicula|[医] 小骨
optima|最佳, 最适当的食物量, 最适条件, 最适度
othman|-mans （无靠背、无扶手的）长软椅
offs|偏移；关闭状态；低价股票（off的复数）
outweary|使筋疲力尽
orgasmic|性高潮的; 令人非常愉悦的；使人极为兴奋的
obviates|避免, 消除（贫困、不方便等）( obviate的第三人称单数 )
outwits|以智取胜, 以计击败( outwit的第三人称单数 )
omentopexy|[医] 网膜固定术
obscenely|下流地；淫秽地
ornithoid|鸟状的
oftenness|often的变形
outlawed|宣布…为不合法（outlaw的过去式与过去分词形式）
overhung|overhang的过去式和过去分词
octoate|辛酸盐
outpatient|门诊病人
overbake|烘烤过度
oscillometry|[物化]振量法, 示波测量法, 高频指示
operette|小歌剧
overabundant|太充足的；过多的
orchilytic|[医] 溶睾丸组织的, 破坏睾丸组织的
oxygenic|含氧的
ovulates|排卵( ovulate的第三人称单数 )
oecumenicity|[宗](尤指在普世教会运动推动下的)普世基督教大联合(状态)
oncogenicity|致肿瘤性
oblata|[网络] 丁香叶忍冬；扁糙果茶
outcastes|(outcaste 的第三人称 -s形式) n. 被逐出种姓的人
outdoorsmen|(outdoorsman 的复数) n. 常在野外活动的人
overgrazed|在（土地等）上实行过度放牧, 过度放牧( overgraze的过去式和过去分词 )
oncometric|[医] 器官体积测量的
ostentatious|装饰表面的, 铺张的, 夸示的, 华美的, 显眼的
overtrain|(使)训练过度
oogonium|[生]卵原细胞, 藏卵器
obscurely|费解地, 晦涩地；隐匿地
overweigh|重于..., 价值超出..., 压倒, 使感沉重, 使苦恼
orfray|精致的刺绣
overdoses|使…用药过量( overdose的第三人称单数 )
omoplate|肩胛骨
otosteal|[医] 耳骨的
oxygenium|[医] 氧(8号元素)
obtruded|强行向前, 强行, 强迫( obtrude的过去式和过去分词 )
overlay|覆盖, 覆盖图, 使负担过重
outbox|待发箱
ophiurida|蛇尾目
orators|演说者, 演讲家( orator的复数形式 )
otopathy|[医] 耳病
obsecrate|恳求
oolong|乌龙茶
opacus|[气](云)蔽光的
ostracod|介形亚纲动物
orthis|正形贝属
odontoid|牙状的
overdrew|overdraw的过去式
overfree|过分自由的
osmosing|（使）渗透( osmose的现在分词 )
orientate|向东, 朝向
outridden|骑得比…更好, 安然度过风暴( outride的过去分词 )
oxyphilic|嗜酸的
oniscoidea|潮虫亚目
obnoxious|可憎的, 使人不愉快的, 令人讨厌的
orientalism|东方式, 东方语风格, 东方知识, 东方学
obnubilate|以云遮暗； 使模糊, 使糊涂
overliver|overlive的变形
ouch|interj. 哎唷(表剧痛)
osteodentin|[医] 骨性牙质
osculated|接吻, 接触, 有共同点( osculate的过去式和过去分词 )
osteria|客栈,旅店
ostrogothic|东哥特王国
overwhelmed|淹没( overwhelm的过去式和过去分词 ); 压倒; 覆盖; 压垮
octobers|十月( October的名词复数 )
overproduced|过度地生产( overproduce的过去式和过去分词 )
osmanthus|木犀属植物
onsetter|[采矿]井底把钩工
otiosity|闲散, 悠闲
onycholysis|[医] 甲松离, 甲脱离
obstinately|顽固地, 固执地
obsoleteness|废弃
overformed|过冶成的
osteitis|骨炎
obsequies|pl. 葬礼
overheating|[经] 过分的经济活动
overnervous|过于紧张的, 神经过敏的, 太胆小的
overanalyze|过度分析；想得太多；钻牛角尖；小题大做
oilseeds|油籽
oversupply|过度供给
ochratoxin|[微]赭曲霉素
overdevelops|使过度发达, 显像过多( overdevelop的第三人称单数 )
oeillade|<法>n.媚眼,秋波
overhit|[体](把…)击得过重(或过远)
otomyces|[医] 耳真菌属
oasthouse|忽布烘干房; 烘炉; 烘房
overseeding|过量播撒
outwardly|表面上, 在外, 外表上
ostriches|鸵鸟( ostrich的复数形式 ); 逃避现实的人, 不愿正视现实者
orrhology|(=Serology)血清学
outfielder|外野手
offed|[用于祈使句]走开, 滚开, 站开（off的过去式与过去分词形式）
overusing|使用过度( overuse的现在分词 )
outsing|(-sang, -sung)比...唱得好[响],唱出来
okro|<美方>=okra
outlays|支出, 费用( outlay的第三人称单数 )
overinterest|[经] 过多利息, 外加利息
ostensive|直接表示的, 诡称的, 表面的, 外表的
oenometer|葡萄酒酒度计(测定酒度)
osphyalgia|[医] 腰痛
obeys|服从, 听从( obey的第三人称单数 ); 遵守, 遵循
obtunded|使迟钝, 使缓和( obtund的过去式和过去分词 )
oxygenation|以氧气处理, 氧化
obscured|遮蔽的；湮没的
osteomata|骨瘤
oxytone|尾重音词, 最后音节为重音的词
oomycetes|[网络] 卵菌纲；卵菌类；卵球菌亚纲
ovibovine|性质介于牛羊之间的动物, 麝香牛
ont|光网络终端（Optical Network Termination）
overstocking|进货过多( overstock的现在分词 ); 过多的进货, 库存过剩
overplaying|夸大…的重要性, 表演过火, 打（或踢）得比…好( overplay的现在分词 )
orthorrhapha|[医] 直裂部(生物)
oostegite|抱卵片
oilery|油库
outclimb|比…爬得高,比…高
orcanette|阿看草制剂
ossature|骨骼
overclouding|使阴暗( overcloud的现在分词 ); 使布满乌云; 使忧郁; 乌云密布
opiniative|固执己见的, 武断的
overcontrol|超调现象
occupiers|占有者, 占用者, 居住人( occupier的复数形式 )
otolite|[医] 耳石, 耳沙
oldster|老人
otoconial|[医] 耳石的, 耳沙的
odic|颂歌的
overturning|颠覆性的
ozonizing|以臭氧处理, 使含臭氧, 变成臭氧( ozonize的现在分词 )
orbitotomy|[医] 眶切开术
omnipotence|全能, 无限力量, 全能之神
orthopod|[医] 矫形外科医师
opiums|鸦片( opium的名词复数 )
odours|气味, 臭气( odour的复数形式 )
owd|occiput-wall distance 枕部-壁距离; oil-in-water dispersions 水中油分散; ocular Whipple disease 眼惠普尔病; optical Wigner distribution 光学维格纳分布
overtimes|[体]四次击球
orneriness|不合作；故意刁难（ornery的名词）
ouzo|希腊产的饭后酒之一种
octuple|八倍的, 八份的
oases|绿洲（oasis的复数形式）
overtrained|（使）训练过度( overtrain的过去式和过去分词 )
oolitic|[地]鲕粒岩的, 像鲕粒岩的
officiator|主婚人
otacousticon|[医] 助听筒
overfatigue|使疲劳过度
ovens|烤箱, 炉( oven的复数形式 )
outjumping|(outjump 的现在分词) vt.比…跳得高(或远)
oldland|古结晶岩区；侵蚀古陆块
officialdom|官场, 官僚圈子, 公务员, 官僚主义
onsweep|朝前疾驰
orpine|(=orpin) n.[植]景天
outspanned|, vi. outspan的变形
orientating|朝向( orientate的现在分词 ); 面向; 确定方向; 使适应
overwise|聪明过分的
orthogenetic|直向演化的（orthogenesis的变体）
osmolarity|[机] 克分渗透压浓度
opotherapy|[医]液汁疗法,器官(制剂)疗法
overroasts|把…烤得过度, 把…焙炒过度（overroast的第三人称单数形式）
ozonise|[网络] 臭臭
opponens|[解]对向肌
outcrops|露出地面的岩层( outcrop的名词复数 )
opsonify|[医] 受调理[素作用]
overglass|玻璃灯罩
oscillation|振动, 动摇, 变动, 彷徨, 电波
osmiridium|[矿]铱锇矿
outbids|出价高于（别人）( outbid的第三人称单数 )
orographic|地形的, 山岳形态的
overcrowding|[法] 过公拥挤
oncostman|领取计日工资的矿工
onomasticon|专有名称词典
olfactive|嗅觉的
outdare|较...更大胆, 不惧地面对, 蔑视
oviposits|（昆虫）产卵( oviposit的第三人称单数 )
osmundine|干紫萁根(用作兰花等的生根介质)
othelcosis|[医] 耳溃疡, 耳化脓
overzealous|过分热忱的
omnipresent|无所不在的, 普通存在的
overindulged|溺爱, 过度放纵( overindulge的过去式和过去分词 )
ooid|鲕粒
opticon|内髓
ontologies|(ontology 的复数) n. 存在论, 本体论, 实体论
oilbirds|(oilbird 的复数) (=guacharo) n.(南美产的)大怪鸱
outface|无畏惧地面对, 蔑视
obverse|(钱币、奖章等)正面, 主要的一面, 对立面
ovinia|羊天花, 羊痘
onychophagia|[医]咬(指)甲癖
osteorrhaphy|[医] 骨缝术
overslept|oversleep的过去式和过去分词
overdrafts|透支, 透支额( overdraft的复数形式 )
ootheca|卵巢
outbraved|在勇气上超过( outbrave的过去式和过去分词 )
overhunting|[网络] 超过狩猎
offload|卸下, 卸货
oliphant|(古代猎人用的)象牙号角
oilily|油似地, 光滑地, 马屁十足地
oversells|销售过多, 卖空, 吹嘘过度( oversell的第三人称单数 )
overviews|综览, 概观, 概述( overview的复数形式 )
outplay|技术优于..., 胜过, 打败
overbooks|(overbook 的第三人称 -s形式) vt. 使过量预订；超额订出
oint|球接头；关节
otologist|耳科医生
oothecal|ootheca的变形
olease|油酸脂酶
oversell|销售过多, 卖空, 过分吹嘘
oxysome|(细胞中的)氧化粒
overstrain|伸张过度, 使过度紧张, 使工作过度
overtrick|(桥牌中的)超约得墩
oleograph|油画式石版画
otiatrics|[医]耳病治疗学
optometry|视力测定(法), 验光配镜(法)
ochroma|[网络] 轻木属；属拉丁名；轻木林
offal|碎屑, 残渣, 下水, 不能吃的部份, 垃圾, 被鄙弃的人
overcommit|[计] 过量使用
overmuchness|[网络] 过度
oarweed|[植]昆布
obeying|服从, 听从( obey的现在分词 ); 遵守, 遵循
ornithodoros|[医] 纯绿蜱属
overwintered|过冬, 把…保存过冬( overwinter的过去式和过去分词 )
octuplet|八胞胎；八重态
otophone|助听器
oilstove|煤油炉, 石油炉
osteolite|[矿]土磷灰石
ostracodermi|甲胄鱼类
overreact|反应过度, 反作用过强
orthicon|正析象管
overcomes|战胜, 克服( overcome的第三人称单数 ); 被（烟、感情等）熏[压]倒, 使受不了; 受到…的极大影响
overblown|停息的, 盛开过的, 浮夸的
outmode|使…过时；使…不流行
ohms|<电>欧姆（电阻单位）( ohm的复数形式 ); 欧姆定律
outen|<方>从……里面
optimized|最佳化的；尽量充分利用
overfatigued|使疲劳过度
oilskins|（一套）油布衣裤
ornithopoda|[古生] 鸟脚亚目
outflux|外向通量, 外流, 流出口, 出口
oysters|牡蛎, 蚝（oyster的复数形式）
odysseus|奥德修斯（荷马史诗《奥德赛》中的主人公； 曾指挥特洛伊战争, 献木马计, 使希腊获胜）
overpopulate|使(一地区)人口过剩,使人口过密
obeche|非洲轻木
oriole|金黄鹂
overexertion|[医] 用力过度
oolemma|[医] 卵膜, 明带(哺乳类)
overworn|overwear的过去分词
orthophoric|[医] 正位的, 直视的
overblouse|女式长罩衫
ormond|(Ormond)人名；(英、意)奥蒙德；(法)奥蒙
ofo|[网络] 奥福美国医学研究卫星(Orbiting Frog Otolith)；欧富；净油系统
oxymoron|矛盾修饰法, 逆喻
ostinato|[音]固定音型(指不断反复的音型)
oryzenin|米谷蛋白
oblongatal|[医] 延髓的
oxidable|(可)氧化的
osier|柳, 柳条
ovoids|(ovoid 的复数) a. 卵形的, 梨形的
octolocular|[医]八室的
overroof|给…盖上屋顶, 给…装顶盖
ochraceous|[医]（拉ochraceus）赭（黄）色
overachieved|（学生）成绩超出智力测验预示水平； 完成得比预期要好, 超过预期目的( overachieve的过去式和过去分词 ); 超过（预期目的等）
orrery|太阳系仪
overburdens|装载过多, 负担过多, 使过劳( overburden的第三人称单数 )
oaves|畸形儿, 痴儿, 懒汉, 笨人, 笨汉, 呆子, 蠢人
opaqueness|[化] 不透明性; 不透明度
offloaded|卸下, 卸货( offload的过去式和过去分词 )
orphaned|[计][修]孤立
outweight|在重量上超过
obturation|充填, 闭塞
ordinations|授予神职( ordination的复数形式 ); 授圣职
ordinated|(ordinate 的过去时) n. 纵线, 纵座标
odalisque|(奥斯曼宫廷中的)女奴隶, 婢妾
orl|orlon (synthetic fiber) 奥纶（合成纤维）
outlaying|支出, 费用( outlay的现在分词 )
oceanwards|adj. 向海的
outproduce|在生产上超过
omnidistance|全程
orisons|(orison 的复数) n. 祈祷
overbuy|买得过多, 过度购买(股票、债券)
oryzopsis|[网络] 落芒草属
outsole|皮鞋的鞋跟
ottinger|[人名] 奥廷格
oarsman|划手
ofer|奥弗（男子名）
ossiculotomy|[医] 听小骨切开术
obscures|使…模糊不清, 掩盖( obscure的第三人称单数 )
orbic|orbicular 圆的; 环状的; 完整的; orbicularis 轮匝肌
outrank|在级别方面比...高, 在地位方面比...高, 在身分方面比...高
oligarchies|寡头统治的政府( oligarchy的名词复数 ); 寡头政治的执政集团; 寡头统治的国家
outpourings|倾泄, 流出, 流露( outpouring的复数形式 )
octaroon|黑人血统有八分之一的混血儿
overcrop|连续耕作使土地贫瘠
octahedrally|八面体的
omniformity|omniform的变形
oculate|[昆] 具单眼的 (=ocellate)
orthopteroid|直翅类的
operatives|工作人员( operative的复数形式 ); （尤指）体力劳动者; 密探; （尤指政府的）特工人员
odorants|(odorant 的复数) n. 恶臭物质, 加臭剂
outlie|露营, 放在...外面
octuples|使成八倍( octuple的第三人称单数 )
operettas|轻歌剧, 小歌剧( operetta的复数形式 )
orly|奥利（法国北部城镇）
overtiring|使（尤指病人等）过度疲劳( overtire的现在分词 )
obtruncate|砍去头部
outbalancing|重量上超过( outbalance的现在分词 )
oxygenate|氧合, 充氧
overstressed|(overstress 的过去分词) [计] 过载, 超载
octopod|八足类动物
olefin|石蜡, 烯烃
overwhelms|淹没( overwhelm的第三人称单数 ); 压倒; 覆盖; 压垮
odyssean|(荷马史诗)《奥德赛》(式)的,(似)奥德修斯的,(似)奥德修斯历程的
octahedral|八面的, 八面体的
obeisant|obeisance的形容词形式
olds|老者（old的复数形式）
overpeopled|人口过密的, 居民太多的
oxyneurine|[化]甜菜碱, 三甲铵乙内酯
overgrowing|长满, 长得超过, 长得过大( overgrow的现在分词 )
oogamous|[生]卵配生殖的
outflanked|翼侧包围( outflank的过去式和过去分词 )
osteostraci|骨甲鱼目
oviposit|排卵, 产卵
overstaff|为…配备人员过多
overpeople|使人口过剩, 使人口过密
oryza|[医] 稻属
octarchy|八人执政
overdraws|透支( overdraw的第三人称单数 )
overcrowded|挤满的; 过度拥挤的
osmol|[化]渗摩(用克分子表示的渗透压单位)
omphalotomy|[医]断脐术
olfaction|嗅觉
overhanded|重复缝纫, 锁边( overhand的过去式和过去分词 )
onobrychis|[网络] 红豆草；驴食豆属；驴食草属
oecist|(尤指古希腊的)殖民地开拓者
obscuration|遮蔽, 晦涩, 费解, 掩星
oad|(Oad)人名；(阿拉伯)瓦德
owenite|欧文主义者
osset|(主要居住在高加索奥塞梯地区的)奥塞梯人
observances|遵守, 奉行, 庆祝( observance的复数形式 )
otto|玫瑰油
oversteer|对方向盘反应过敏
oxhide|牛皮
oban|奥班厚花呢
orangery|橘园, 柑橘温室
ophiological|ophiology的变形
outsoles|(outsole 的复数) n. 皮鞋的鞋跟
osteomas|骨瘤
oxydation|[化]氧化
odes|常微分方程；颂歌集
orchidotomy|[医]睾丸切开术
omphalosite|[医] 脐营养[无心]畸胎
objected|不赞成( object的过去式和过去分词 ); 抗议; 拒绝接受; 抱反感
omagra|[医] 肩[关节]痛风
overwork|过度操劳的工作, 额外工作
obstruent|[罕][解](体内通道的)堵塞物(例如肾石), 止泻剂
ocherous|(=ochreous) adj.赭石的,含赭石的,赭色的
osteocranium|[动]骨颅
oestradiol|[生化]雌(甾)二醇
optionally|随意地
obligated|有义务的; 必须的; 有责任的
oxygenous|氧气的, 含氧的, 产生氧气的
overactive|[医] 活动过度的
occult|神秘的, 不可思议的, 超自然的
obstructer|障碍物；妨碍者
oxidiser|氧化剂
oater|[美俚]西部电影或电视节目
oysterage|牡蛎养殖场
oddly|奇怪地
oddside|砂型假箱
obliquities|倾斜度( obliquity的名词复数 )
opticians|眼镜（制造）商, 配制眼镜技师( optician的复数形式 )
osseomucoid|骨粘蛋白
orchids|兰花( orchid的复数形式 )
octandrious|[植]八雄蕊的
orangeism|奥兰治党主义（信奉新教,反对爱尔兰民族主义和天主教,企图使新教占统治地位）
overstating|夸大（某事）( overstate的现在分词 )
oxygenized|使氧化
outwore|outwear的过去式
odontology|牙科学
oviducts|(oviduct 的复数) n. 输卵管
overvaliant|[网络] 高价值
orgiast|(古希腊、古罗马时)参加秘密祭神仪式者
overrating|对（质量、能力等）估价过高( overrate的现在分词 )
oblivions|(oblivion 的复数) n. 遗忘, (头脑的)一片空白状, 湮没, 大赦, 赦免
ointments|软膏( ointment的复数形式 ); 扫兴的人; 煞风景的事物; 药膏
ololiuqui|伞房瑞威亚（一种墨西哥旋花科藤本植物）
outlands|(outland 的复数) n. 靠近边界之土地, 边境地区
oncotic|[医] 肿胀的
outclassing|比…高一等, 大大超过( outclass的现在分词 )
oatmeal|燕麦片, 燕麦粥
ocreate|[医]具托叶鞘的, 具鞘状菌托的
octobrist|[俄][史]十月党人
outblaze|发光芒,迸发热情
outmarching|比…前进更快, 追过( outmarch的现在分词 )
overmastered|压倒, 征服, 制服( overmaster的过去式和过去分词 )
onymous|署名的
obl|[医][=oblatum]（拉）药包, 胶囊
ordain|注定, 规定, 任命
overthrown|overthrow的过去分词
obsequiously|谄媚地；奉承地
overtrade|(企业)贸易过度
ornithomimus|似鸟龙属
ovulating|排卵( ovulate的现在分词 )
oestrin|<废>=oestrogen
overdosage|过剂量
oxyberberine|氧化小蘗碱
outliner|大纲编辑器, 拟稿程序（用以生成文档结构）
overrisen|干舷过高, (船身)过高于水面
omicron|希腊字母第15字
overpraise|过度夸奖, 过奖
outspend|用钱超过(收入等), 过度消耗, 开支比...更大
oyez|int. 听, 静听(宣传者或法警促人注意的呼声)
oceanus|俄亥阿诺斯神(大洋神)
organs|器官；机构；风琴（organ的复数）
omarthritis|[医] 肩关节炎
ombudsmen|调查官员舞弊情况的政府官员( ombudsman的复数形式 )
oxblood|无光泽的深红色, 棕红色
outclass|比...更高级, 远高于, 远胜于, 轻易击败
obligating|使（在法律或道义上）负有责任或义务( obligate的现在分词 ); 对…施以恩惠
obsoleting|[计] 舍弃的, 废弃的
oxamidine|[化] 氨肟
ostrichlike|鸵鸟般的
odyl|自然力, OD 过量毒品
obsignatory|批准, 认可
ovigerm|[医] 原卵, 胚卵
oleoptene|玫瑰蜡, 挥发油精
octillion|千的九次方, 千的十六次方
outstations|(outstation 的复数) n. 边防哨, 分部办事处
orthoepical|[语]正音法的, 发音正确的
overpowers|压服( overpower的第三人称单数 ); 击败; （感情等）压倒; 使无法忍受
orogenic|切向压缩力的
oberon|奥伯龙(民间传说的仙王), 天卫四
orphaning|使成为孤儿（orphan的现在分词形式）
orleanism|[网络] 奥尔良主义
overleaf|在背面, 在次页
onefold|单一的, 单纯的
overentreat|以恳求说服,以恳求把…争取到自己一边
obtainer|获得者
overdressed|（使）穿得太讲究( overdress的过去式和过去分词 )
overtook|overtake的过去式
oogonia|[医] 卵原细胞
ospreys|(osprey 的复数) n. 白色的羽毛, 鹗
ovolytic|卵溶解
oleometer|油比重计
ophir|俄斐(《圣经·列王记》中的盛产黄金和宝石之地)
outride|较...骑得更好(或快、远), 赶过, 经受住(风暴等)
ocellar|眼班状的
overmany|过多的
ochred|赭石；赭色
osteophyma|骨赘
oilcup|(用以灌注润滑油的)油杯
outgush|涌出,喷出
osselet|小骨
oakmoss|[植]橡苔,栎扁枝衣(所产树脂用于香料制造)
oticodinia|[医] 耳病性眩晕
overshooting|过幅射
overline|跨路[线]的
oligocholia|[医] 胆汁过少
orthodontist|畸齿校整医生
obviative|另指他, 第二个他(如：“他拿他的书”中的第二个“他”)
obex|(脑)障, (脑)闩
orbiculation|orbiculate的变形
oliguria|尿少
odontiasis|[医] 牙生出, 出牙, 牙病
ovoglobulin|卵球蛋白
organa|organon和organum的复数
obsequious|谄媚的, 奉承的, 顺从的
outshine|光亮强过..., 使相形见绌, 使失色
orbed|球状的, 圆形的
obeyed|obey的过去式
otherness|相异, 不同, 差异性
oculi|[医] 眼
opencut|露天开采的
okapis|霍加皮（产于非洲东部）( okapi的名词复数 )
ostensibly|可公开, 显然, 表面, 外表, 诡称, 假装
oinomania|[医] 震颤谵妄, 酒毒性谵妄, 间发性酒狂
overrich|过浓的
oligidic|[化]( 除水外) 活性组分在化学方面未定的
odontoloxia|[医] 牙不齐, 牙错Ж
oxacillin|[微]苯甲异噁唑青霉素,新青二
otoscope|耳镜
oligotrophy|[医] 营养不足, 营养过少
overworks|工作过度或时间过长( overwork的名词复数 )
ozonizer|臭氧发生器
outweighing|在重量上超过( outweigh的现在分词 ); 在重要性或价值方面超过
overtire|使过度疲劳
outscoring|得分超过( outscore的现在分词 )
outliver|outlive的变形
