world|世界
wheatgrass|麦草, 冰草
wisped|把…卷成小把（wisp的过去式与过去分词形式）
wac|（美）陆军妇女军团（Women's Army Corps）
wrongest|不确实的( wrong的最高级 )；不道德的；出错；不合要求的
wittiness|机智, 临机应变
wort|草, 植物, 麦芽汁
workingwomen|妇女运动者, 女工( workingwoman的名词复数 )
wabi|Windows application binary interface Windows （操作系统）应用程序二进制接口
wenched|通奸( wench的过去式和过去分词 )
wishers|(wisher 的复数) n. 祝愿者, 希望者
wafd|华夫脱党,埃及国民党
worral|[人名] [英格兰人姓氏] 沃勒尔 Worrall的变体
wob|washed overboard （保险业用语）浪击落海的; 浪击落水（指被浪冲出舷外）; washing overboard （货物被）浪击落海; 冲失
woodlarks|(woodlark 的第三人称 -s形式) n.[鸟](欧洲产)森林云雀
wuzzy|<罕> = woozy
weel|& adj.<苏格兰>=well
washup|洗净
wertherian|(德国诗人歌德)
wintle|[人名] [英格兰人姓氏] 温特尔 Windle的变体
wainwright|四轮运货马车修造工
wondered|对…感到好奇（wonder的过去式与过去分词形式）
wasted|浪费的
whitestone|玻璃假宝石
wharfman|码头带缆工人
workaday|工作日的, 平常日子的, 普通的
waxberry|[植]杨梅, 杨梅果
waterage|水路运输, 水运费
wench|少妇, 乡下姑娘, 女仆
wagerer|赌注；赌博；赌物 (wager的变形)
waw|希伯来语的第六个字母(亦作waw)
wickiup|椭圆形草棚
waled|(wale 的过去时) n. 隆起的伤痕, 鞭痕, 凸条纹, 精华, 选择
wynds|(wynd 的复数) n. 狭巷
wager|赌注, 赌博, 赌物
whetted|（在石头上）磨（刀、斧等）( whet的过去式和过去分词 ); 引起, 刺激（食欲、欲望、兴趣等）
willie|威利（男子名, William的昵称）
winemaking|葡萄酒酿制
wristlock|扭曲对方手腕的一招
wharfie|<澳新口>码头工人,(码头)装卸工人
wounder|wind的变形
woofer|低音扬声器
wearisome|使疲倦的, 使厌倦的, 乏味的
weightometer|自动称重仪; 称重计
wooshed|飞快的移动
welkin|苍穹, 天空
welshmen|威尔士男子( Welshman的名词复数 )
washings|(washing 的复数) n. 洗涤, 浸, 洗涤物
watersheds|分水岭( watershed的复数形式 ); 分水线; 转折点; 流域
wretchedly|可怜地, 鄙劣地, 差劲地
wrathful|愤怒的, 愤慨的
wordsmith|擅长文字的人, 舞文弄墨者；作家
wrapup|[计] 隐蔽, 收卷
wearingly|wearing的变形
wasat|[地名] [缅甸] 瓦萨
warrantors|(warrantor 的复数) n. 保证人
wesselton|威塞尔顿钻石
wye|Y字形物
widdle|& vi.<口>撒尿,小便
wrights|(wright 的复数) n. 制作者, 工人
webwheel|(钟表等的)板轮,盘式轮
wapperjaw|<口>突出的下巴
whiplashes|(whiplash 的第三人称 -s形式) n. 鞭子的顶端, 鞭绳
warlord|军阀, 军阀式领袖
washbasins|盥洗池, 洗脸池, 洗脸盆( washbasin的复数形式 )
whipsaw|狭边钩齿粗木锯,双重不利的事物
wriggly|蠕动的, 回避的
whammies|(whammy 的复数) n. 吉祥物, 晦气
winker|使眼色的人, 马眼罩
wap|无线应用协议（Wireless Application Protocol）；工作分配计划（Work Assignment Plan）
woodchat|百舌鸟
whooped|叫喊( whoop的过去式和过去分词 ); 高声说; 唤起
wildered|（使）迷失, （使）困惑( wilder的过去式和过去分词 )
waveband|（无线电的）波段
warrin|[人名] 沃林
wolfhounds|猎狼犬( wolfhound的复数形式 )
wowed|<俚>使惊叹, 使佩服( wow的过去式和过去分词 )
woodworms|木蛀虫( woodworm的复数形式 )
wainscotting|(wainscot 的现在分词) n. 护壁板, 墙裙
wayward|任性的, 难以捉摸的, 不稳定的, 刚愎的
workhouses|囚犯工厂, 贫民习艺所( workhouse的名词复数 )
wilfulness|任性；倔强
wrecked|失事的（船）；迷幻的, 兴奋的
welch|韦尔奇（姓氏）
willpower|毅力, 意志力
woodwork|木制品, 木制家具, 木工手艺, 木工活, 房屋内的木建部分
withdraws|取[收]回( withdraw的第三人称单数 ); （使）撤退[出]; 提; 收回
whimsy|怪念头, 离奇的东西, 反复无常, 绞盘
wizened|干枯的, 枯萎的, 干瘪的, 消瘦的
wherethrough|经其处, 经此
wheelman|舵手, 骑自行车的男子
wittol|[古]知道妻子不贞而予以容忍的丈夫
wrinkles|皱纹；皱褶（wrinkle的复数形式）
womanpower|妇女力量
wende|[人名] 温德
worshipful|崇拜的, 尊敬的, 尊贵的
woodbox|木柴箱
womby|有子宫形室的；空洞的
wittily|机智地, 机敏地, 俏皮地
weaves|编, 织, 织成( weave的第三人称单数 ); 编排; 杜撰; （把…）编成
wolfishness|wolfish的变形
woollen|毛织品
wandy|<英方>(乐队指挥棒似)长而易弯曲的
wettability|可湿性
wising|意识到, 觉察（令人不愉快的实情）( wise的现在分词 )
whyfor|理由,原因[方言：why]
weatherstrip|(门、窗的)挡风雨条
weariness|疲倦, 厌倦, 疲劳
wariness|谨慎, 注意, 小心
weaknesses|虚弱( weakness的复数形式 ); 软弱; 弱点; 偏好
witchcraft|巫术, 魔法, 魔力
wase|[人名] [苏格兰人、英格兰人姓氏] 韦斯 Wace的变体; [地名] [尼日利亚] 瓦塞
waifs|无家可归的人( waif的复数形式 ); 流浪儿; 无主的东西或动物; （海上）漂流物
wholesomely|卫生地, 有益健康地
wino|醉鬼, 酒鬼
waverers|(waverer 的复数) n. 摇晃的人, 犹豫不决的人, 动摇不定的人
waring|华林（一数学问题, 自定义记录中删除将不会付诸循环）；华陵（姓氏）
whiney|好发牢骚的, 嘀咕不停的,烦躁的
watermen|船夫, 桨手, 运水人( waterman的名词复数 )
wheelhouse|舵手室, 驾驶室
withered|枯萎了的, 雕谢了的
wartwort|泽漆
wos|(wo 的复数) abbr. 准尉军官（warrant officer）；陆军部（war office）
winnock|<苏格兰> = window
wasteweir|退水堰,弃水堰
whirring|呼呼作声地飞（或转）, 作呼呼声( whir的现在分词 ); 使呼呼地飞（或转）, 呼地一声把…带走; 呼呼声( whirr的现在分词 )
wis|知道；以为
wolverine|[动]狼獾,豹熊,狼獾皮
weirdos|古怪的人, 奇怪的人( weirdo的复数形式 )
warns|警告( warn的第三人称单数 ); 提醒; 告诫; 预先通知
witcheries|巫术, 魅力( witchery的名词复数 )
willowy|柳树多的, 易弯的, 苗条的, 优雅的
whimseys|奇想；怪念头
wayless|无路的
waylay|伏击, 埋伏
woodchopper|伐木者
warring|交战的, 敌对的, 冲突的
wifie|<口>=wife
wagonette|(有两排面对面座位的)四轮游览轻便马车
wounding|[法] 伤害
whitened|（使某物）变白或更白( whiten的过去式和过去分词 )
wiriest|(wiry 的最高级) a. 金属线制的, 瘦长结实的
waldensian|韦尔多教派的人
womp|(电视荧光屏上突然出现的)白色闪光[拟灯泡等的爆裂声]
wilders|摆动( wigwag的第三人称单数 )
whiffled|徐缓地吹, 摇动( whiffle的过去式和过去分词 )
welted|(welt 的过去时) n. 贴边, 鞭痕, 殴打
withershins|逆时针方向地, 左向转动地
wangan|湾岸高速
wastery|<苏格兰>浪费,挥霍(亦作 wastrie)
workwise|就工作而言
wintertide|冬, 冬季
whalebone|鲸须, 鲸须制品
whereafter|然后, 随后
whiggishly|Whiggish的变形
wavers|匀墨辊；挥动者；烫发师；卷发器；波段开关（waver的复数）
whangee|紫竹
whensoever|(=whenever)无论何时
warks|[方言]痛, 疼痛
witing|（苏）责难；罚金
wally|好的, 第一流的, 大的
woodcarvings|(woodcarving 的复数) n. 木雕
whitely|产生白色地；发白光地
worldbeater|举世无双的人, 巨大的成功
womanliness|女性气质
whiners|(whiner 的复数) n. 哀呜者, 哀诉者, 嘀咕者
waterbrain|[兽医]眩倒病
witnessing|[法] 作证, 证明, 确认
weldless|无焊缝的
wainscoted|用护墙板装饰( wainscot的过去式和过去分词 )
whiling|消磨, 打发（时间）( while的现在分词 ); （愉快而懒散地）度过（时间）（常与 away 连用）
withstood|withstand的过去式和过去分词
watter|瓦消耗量, 瓦消耗者
wapped|包装,卷,缠绕<br />vbl. 包装,卷,缠绕
wheedle|以甜言蜜语诱惑, 用甜言蜜语骗
wilder|(使)迷失
woodsy|树林的
waldorf|华德福教育；华尔道夫酒店；华道夫（男子名）
winrow|深沟
wotteth|<古>wit的第三人称单数现在式
wayleave|通行权
wourali|[植]箭毒马鞍子,箭毒(箭毒马鞍子的毒素,南美印地安人用以浸制毒箭)
warpwise|[纺]经向地
wesleyism|[网络] 卫浴
workhorse|载重马, 做重活的人
wrongheaded|判断错误的, 顽固的, 固执的, 坚持错误的
wildfowling|& adj. 捕猎野禽的
withstands|经受, 承受( withstand的第三人称单数 )
withies|柳树, 柳条绳索( withy的名词复数 )
whisperings|(whispering 的复数) n. 低语, 私语, 耳语, 流言, 谣言, 沙沙声, 飒飒声
wisent|欧洲野牛
waxhaw|[地名] [美国] 瓦克斯霍
watermark|水位标志, 水印
withdrawals|收回, 取回, 撤回( withdrawal的复数形式 ); 撤退, 撤走; 收回[取回, 撤回, 撤退, 撤走]的实例; 推出（组织）, 提走（存款）, 戒除毒瘾, 对说过的话收回, 孤僻
workup|病情的检查, 整理, 引起, 印刷物表面的污迹
waterproofed|使防水, 使不透水( waterproof的过去式和过去分词 )
woofers|(woofer 的复数) n. 低音扬声器
waxbill|梅花雀
wych|[人名] [英格兰人姓氏] 威奇 Wich的变体
woodshed|柴间
witchman|巫医
wadable|可涉水过的
warhorse|军马, <口>老兵, 老练的人
wights|(Wight 的第三人称 -s形式) n.人类,人
wobbles|<使>晃动( wobble的名词复数 ); <使>摇摆不定; 抖动; 颤动
windstorm|暴风
wadeable|可涉水过的
wirecutters|(wirecutter 的复数)  钢丝钳
wallman|[人名] [英格兰人姓氏] 沃尔曼 Wall的变体
wipers|擦拭者( wiper的复数形式 ); 手帕; 雨刷; 接帚
whatnot|放古董的架子
waterdrop|滴水, 水滴
wineberry|悬钩子
wheeze|喘气
walsh|沃尔什（姓氏）
wormier|有虫的, 虫蛀的；似虫的；卑躬屈膝的 (wormy的变形)
whetting|（在石头上）磨（刀、斧等）( whet的现在分词 ); 引起, 刺激（食欲、欲望、兴趣等）
wholesales|商品批发；批发（wholesale的复数）
wieners|[电影]法兰克福香肠
windburned|饱经风霜的[亦作 windburnt]
wapentake|小邑
washers|洗涤者( washer的复数形式 ); 洗涤器; 洗碗机; 洗衣机
whiteface|[地名] [美国] 怀特费斯
womanishness|女人气, 女人腔
wrenches|一拧( wrench的名词复数 ); （身体关节的）扭伤; 扳手; （尤指离别的）悲痛
warsle|<苏格兰> v.& n.= wrestle
workbench|工作台
wettings|(wetting 的复数) n. 变湿
whalemen|捕鲸者；捕鲸船员
writhes|（因极度痛苦而）扭动或翻滚( writhe的第三人称单数 )
waldgrave|[法] 王室管林官
winged|有翼的, 高速的, 迅速的, 飞行的, 翼受伤的
waterspouts|海龙卷；排水口
wisp|小把, 小物体, 纤细的东西
wakens|醒来, 睡醒( waken的第三人称单数 ); 唤醒, 弄醒; （使）觉醒, （使）振奋, 激发
workfolks|劳动者
wresting|摔跤
witen|wit的复数现在式
watercolour|水彩画
waitings|(waiting 的复数) n. 等候
whittled|切, 削（木头）, 使逐渐变小( whittle的过去式和过去分词 )
waddles|（像鸭子一样）摇摇摆摆地走( waddle的第三人称单数 )
waggery|开玩笑, 玩弄恶作剧, 诙谐, 笑话
woebegone|愁眉苦脸的
wranglers|争执人( wrangler的复数形式 ); 在争吵的人; （尤指放马的）牧人; 牛仔
weepingly|weeping的变形
whirlwind|旋风
windchest|(管风琴的)风箱
wadmal|(旧时不列颠诸岛和北欧乡下人穿的) 瓦德麦尔呢
woodsia|岩蕨属
weaponless|无武器的, 没有武装的
wunderkind|(pl. Wunderkinder)[德]神童
waistband|腰带, 束腰带
wiredancer|走钢丝演员
wondrous|令人惊奇的
wisehead|自以为万事通的人
washtub|洗衣盆
whyever|无论任何理由
wels|[鱼]六须鲇(产于中欧和东欧的淡水鱼,重者可达180克)
winterberry|[植]美洲冬青
wetness|湿润, 下雨
woundless|没有受伤的
wetproof|防潮的,防水的
warpage|[机] 翘曲
wingbeat|飞行时翅膀的拍击
walapai|[网络] 拉帕人
weigela|[植]锦带花
wetly|潮湿地, 有湿气
whisperingly|whispering的变形
wrathily|wrathy的变形
woolward|[人名] 伍尔沃德
westernizing|（使）西化( westernize的现在分词 )
wainscoting|壁板料, 壁板
wonderer|惊奇；奇迹；惊愕 (wonder的变形)
woolpacks|(woolpack 的第三人称 -s形式) n. 卷毛云
wrynecked|斜颈的, 脖子歪的
wellhead|水源, 泉源
waterbury|沃特伯里（美国康涅狄格州中西部城市）
wailers|(wailer 的复数)  哀悼者, 恸哭者
windsock|风向袋, 风向标
worrisome|令人烦恼的, 麻烦的, 劳碌命的
whiffer|whiff（吹送, 吹起；喷）的变形
windbreaks|防风林( windbreak的复数形式 ); 防风物; 防风墙; 防风设备
weeting|(weet 的现在分词) v.<古>=know
wrapt|vbl.wrap的过去式及过去分词
wiretaps|窃听或偷录, 窃听情报, 窃听装置( wiretap的名词复数 )
whiptail|鞭尾症
worriless|无忧虑的
wineglasses|(wineglass 的复数) n. 玻璃酒杯
wooded|树木繁茂的
wolly|[英国方言]腌制的黄瓜(或油橄榄)
wafered|（用封信条）封（信封等）( wafer的过去式 )
wobbled|<使>晃动( wobble的过去式和过去分词 ); <使>摇摆不定; 抖动; 颤动
windowpanes|(windowpane 的复数) n. 窗玻璃
weirdie|<口>古怪的人,怪物,怪事
wears|穿着( wear的第三人称单数 ); 磨成; 使疲乏; 同意
womanishly|女人气地, 女人腔地
warmness|温暖；亲切
wig|假发, 斥责
washy|稀薄的, 水分多的, 多水的, 淡的, 退色的, 乏味的, 脆弱的
wronskian|朗斯基矩阵
woodhewer|[医]砍林鸟
warworn|疲于战争的, 饱受战争创伤的
wavering|摇摆的, 抖动的, 摇曳的, 犹豫不决的, 动摇的
whoresons|(whoreson 的复数) n. 私生子, 下贱人
wonton|馄饨
wasty|浪废的, 废料[物]多的
windward|向风, 上风
woolworth|伍尔沃斯（姓氏）
waffle|胡扯, 闲聊
wisteria|柴藤
wireway|电线管道, 电缆
wispiness|wispy的变形
walling|砌墙；墙壁
wristwatches|手表( wristwatch的复数形式 )
windsail|帆布通风筒, 风车之叶片
windrowing|干草列, 被风吹集于一处之落叶, 狭长的一行( windrow的现在分词 )
wrackful|毁坏(性)的,破坏(性)的
windhover|[动]茶隼
worthless|无价值的, 无益的, 无足轻重的
worsened|（使）变得更坏, （使）恶化( worsen的过去式和过去分词 )
wiretapper|(对电话等)搭线窃听者, 窃听器
wawled|, n. [主苏格兰英语]=waul
wallflower|[植]桂足香,桂香香水, 局外人
whosis|不知其名的或一时想不起名字的人或物
wareroom|商品陈列室, 商品储藏室
washerwomen|（旧时的）洗衣女工( washerwoman的名词复数 )
woolenette|<美>= woollenette
whinnies|（轻微的）嘶声( whinny的名词复数 )
wofully|woful的变形
winder|络纱工, 络筒机, 络纱机, 开发条的钥匙
whittler|削木者
winsomeness|winsome的变形
whop|打, 抽出, 打败, 征服
whit|些微, 一点点
whistler|吹口哨的人, 发啸声的东西
weaning|[医] 断奶
weekender|外出度周末的人
whimsies|怪念头( whimsy的名词复数 ); 异想天开; 怪脾气; 与众不同的幽默感
woolskin|羊毛皮
wolframium|[化]钨
woodranger|<美>森林警备队队员
wherein|在哪方面, 在那方面
wichtisite|玄武玻璃
wader|涉水者, 涉禽, 高统防水长靴
woefulness|忧愁, 可怜
worklessness|workless的变形
wantoning|任性( wanton的现在分词 ); 反复无常; 生活奢侈; 挥霍（钱财）
weeps|（通常因悲伤）哭泣( weep的第三人称单数 ); 流泪; 悲哀; 哀悼
wrenching|苗木铲根；修截苗根
whippets|（赛跑用的）小灵狗, 轻型战车( whippet的复数形式 )
whenabouts|(事件发生的)大约时间
whippoorwill|[鸟]北美夜鹰
wracked|失事船只；破坏；[植] 漂积海草
wolframinium|锑钨耐蚀铝合金
wheeled|有轮的；轮式的
willying|, vt. -lied,-lying = willow [亦作 willey]
wriest|(wry 的最高级) a. 扭歪的, 歪曲的, 歪斜的
waterbeds|水床；电热充水床垫
wields|手持着使用（武器、工具等）( wield的第三人称单数 ); 具有; 运用（权力）; 施加（影响）
wharfage|码头费
wolffian|body[生](胚胎学用语)沃尔弗体,中肾
waterskin|(储水或运水用的)革制水袋
windiest|有风的( windy的最高级 ); 受风吹的; 废话连篇; 心情紧张的
wrester|夺取
weirdly|古怪地
writhing|（因极度痛苦而）扭动或翻滚( writhe的现在分词 )
wanderjahr|<德> n.(手艺工人在外流动干活学习的)漫游年
whores|妓女, 男妓( whore的名词复数 ); 性关系不道德的女子
windlass|绞盘, 辘轳
witnessed|作证( witness的过去式和过去分词 ); 表示; （摆证据）…就是证据; 是…的迹象
whitethorn|英国山楂
wantless|无所需求的
wincey|上等绒布, 棉绒
waterless|无水的, 干的, 不用水的
winifred|威妮弗蕾德(f.)
whelps|幼兽, 小狗( whelp的名词复数 )
waterfronts|海[湖]滨, 江边( waterfront的复数形式 )
woodlark|[鸟](欧洲产)森林云雀
widgets|窗体小部件；小工具（widget的复数）
weighter|衡器
wanger|[人名] 万格
waxers|(waxer 的复数) 上蜡工, 打蜡工, 上蜡机操作工, 涂蜡机, 上蜡机 waxer man 涂蜡机操作工
weir|堰, 鱼梁
wallower|打滚者；沉溺者；纵乐者
wisps|一缕( wisp的复数形式 ); 一绺; 一小捆; （烟、蒸汽的）一缕
wesleyans|(wesleyan 的复数) adj. 卫斯理公会派的；约翰卫斯理的
withamite|[矿]黄红帘石
winches|绞车起货机; 卷扬机, 绞车, 辘轳( winch的名词复数 )
webbed|网状的, 有网的
whin|荆豆
westmost|最西的, 极西的
wheresoever|在其上
wassailed|痛饮, 为…干杯( wassail的过去式和过去分词 )
wednesdays|每星期三, 在任何星期三
wardress|监狱女看守, 女典狱官
widgie|<澳俚>女流氓,女无赖
whiffs|些微的气味、空气或烟( whiff的名词复数 ); （呼吸时）吸入的少量的某物; <口>难闻的气味
winery|葡萄酒厂
weeklong|为时一周的,持续一星期的
wigwagged|摆动( wigwag的过去式和过去分词 )
wirespun|抽成铁丝的, 太琐碎的
wiener|<美>=frankfurter
winked|使眼色( wink的过去式和过去分词 ); 递眼色（表示友好或高兴等）; （指光）闪烁; 闪亮
wamp|Wire Antenna Modelling Program 有线天线建模程序
welcoming|欢迎( welcome的现在分词 ); 迎接; 乐于接受; 希望有
wraiths|幽灵( wraith的复数形式 ); （传说中人在将死或死后不久的）显形阴魂
whipstock|鞭杆
winching|用卷扬机移动…( winch的现在分词 )
wormwood|苦艾, 苦恼
wrecks|沉船( wreck的名词复数 ); （事故中）遭严重毁坏的汽车（或飞机等）; （身体或精神上）受到严重损伤的人; 状况非常糟糕的车辆（或建筑物等）
winnipeg|温尼伯（加拿大城市）
wawls|号叫；痛哭
wearifully|weariful的变形
wittichenite|脆硫铜铋矿, 硫铋铜矿
woodenware|木制用具
winceyette|色织棉法兰绒
whoops|interj. 哎哟
wintered|过冬（winter的过去式与过去分词形式）
wilhelm|威廉（William的德语形式, 男子名）
wacky|古怪的
warred|进行战斗, 作战（war的过去式与过去分词形式）
whigmaleerie|胡思乱想, 幻想, 怪想
whereupon|因此, 于是
whiplash|鞭子的顶端, 鞭绳
wiretap|搭线窃听
wordings|(wording 的复数) n. 用词, 措词
wallah|要人, 经办业务人
wrang|wrangler 辩论者, 争吵者
wonga|[鸟]澳洲大白面鸽[土著语]
wigwagging|摆动( wigwag的现在分词 )
woodbin|木柴箱
waur|& adj.<苏格兰> = war
whidah|长尾鸟的一种
wrists|腕, 腕关节( wrist的复数形式 )
wartweed|[植物]泽漆
wharfs|码头, 停泊处
windage|风力影响, 游隙, 风力修正量
wyomingite|金云斑白榴岩
wonk|[俚]书呆子, 死用功的学生
weevil|象甲
wastages|(wastage 的复数) n. 浪费, 浪费量, 废物
waif|无家可归者, 无主物, 飘流物, 流浪者, 信号旗
woold|[航海]卷缠
wimble|锥, 钻孔器, 钻孔清除器
washleather|揩拭用（麂）皮, 软革
wandered|漫游( wander的过去式和过去分词 ); 走神; 神志恍惚; （思想）开小差
workpeople|工人们, 劳工们
wernerite|[矿]方柱石
waterward|向水,朝水
wrongdoers|做坏事的人, 违法犯罪者, 作恶者( wrongdoer的复数形式 )
wholism|〈哲〉整体论
wrastle|, vt.& n.<方>= wrestle
whished|呼呼作声, 以呼呼声催促( whish的过去式和过去分词 )
withing|用细枝条捆( withe的现在分词 )
whitewashing|粉饰, 美化, 掩饰( whitewash的现在分词 ); 喷浆
woodier|瘦弱的
wedging|[医] 楔分, 楔开, 楔紧
washman|男洗衣工
whydah|[鸟]维达鸟,寡妇鸟(暗色长尾的非洲鸟)
wackiest|古怪的, 反常的, 疯疯癫癫的( wacky的最高级 )
wrongdoing|干坏事, 坏事
wolfgang|沃尔夫冈（男子名）
warrener|养兔场主, 养兔场管理员
woundwort|治伤草(如药用水苏、疗伤绒毛花、聚合草、西门肺草等)
whitmanesque|(美国诗人)惠特曼风格的；惠特曼诗歌风格的
wildfowl|猎鸟
whitey|白人社会
wildwood|天然林
whoopla|喧哗, 狂欢
writative|想写作的, 爱写作的
wurst|香肠
wolfskin|狼皮
wasting|造成浪费的, 消耗性的
winer|维纳（姓氏）
weakish|有些弱的, 略淡的
whaleback|鲸背状物, 鲸背甲板船
warlords|军阀( warlord的复数形式 )
whare|(新西兰毛利人的)棚屋,房屋
ween|料想, 以为
wearers|(wearer 的复数) n. 穿用者
whittret|<主苏格兰>=weasel
wristlet|腕套, 护腕
wordage|文字, 一篇故事中的词汇量, 用词, 措词
wreathy|花环的, 花圈的, 花冠的
wrawl|[网络] 挥舞着
waterwheel|水轮, 水车, 辘轳
waxer|上蜡工, 打蜡工, 上蜡机操作工, 涂蜡机, 上蜡机 waxer man 涂蜡机操作工
whereabout|行踪；下落
waller|石垛工；煤矿井下充填工
wateriness|多水, 稀薄, 平淡
warless|无战争的, 不参加战争的
withholdment|withhold的变形
wheelbases|前后轮之车轮轴距离, 轴距( wheelbase的复数形式 )
woodless|无木头的, 无森林的
warty|有疣的, 多疣的, 似疣的
wrestled|（与某人）搏斗( wrestle的过去式和过去分词 ); 扭成一团; 扭打; <体>（与…）摔跤
watchdog|看门狗, 监察人
washouts|<非正>失败, 惨败( washout的复数形式 )
weathermost|[海]最上风的,最迎风的
wops|<方>[昆](大)黄蜂,(大)胡蜂
woodcutters|伐木者( woodcutter的复数形式 )
wheatworm|小麦线虫
winos|(wino 的复数) n. 醉鬼, 酒鬼
woggle|童子军领带的皮环
washdown|彻底冲洗
whiz|飕飕声, 精明的人, 专家
wkly|weekly 每星期的; 一周的; 周刊; 周报
walpurgis|Walpurgis Night 沃普尔吉斯之夜（芬兰和瑞典的4月30日）
wimbling|锥；钻孔器；从钻孔中清除碎石的工具
whoppers|特大的（或硕大的）东西( whopper的复数形式 ); 谎言; 瞎话; 弥天大谎
wasteless|用不尽的, 无穷的
winnowing|扬( winnow的现在分词 ); 辨别; 选择; 除去
whiffler|经常改变主意的人, 无定见者, 使用遁辞的人, 诡辩者
withholds|扣留( withhold的第三人称单数 ); 拒绝给予; 抑制（某事物）; 制止
warf|威斯康星校友研究基金（Wisconsin Alumni Research Foundation）
worthier|应得某事物( worthy的比较级 ); 值得做某事; 可尊敬的; 有（某人或事物）的典型特征
walachian|瓦拉几亚[人,语]的
winking|[医] 瞬目
witchy|像巫师的；与巫师有关的
wherry|浅水客货船, 单人双浆小赛艇
woolf|伍尔夫（英国作家）；伍尔夫（姓氏）
wisenheimer|<美><俚>自作聪明的人, 自以为无所不知的人
wynd|狭巷
willies|焦虑不安；心惊肉跳；小鸡鸡（儿童用语, willy的复数）
whirlpool|漩涡, 涡流
waited|等候( wait的过去式和过去分词 ); 等待; （尤指长期地）希望; 盼望
wyes|字母Y；Y字形物
